wavelength_nm	final_result_transmittance	cst_average_transmittance
3.7973712158e+02	8.3596146107e-01	8.7362121588e-01
3.8015682983e+02	8.3502238989e-01	8.7230112502e-01
3.8057653809e+02	8.3340787888e-01	8.7071589515e-01
3.8099624634e+02	8.3213025331e-01	8.6887887262e-01
3.8141595459e+02	8.3085221052e-01	8.6680352435e-01
3.8183566284e+02	8.2863175869e-01	8.6450322652e-01
3.8225537109e+02	8.2605445385e-01	8.6199106136e-01
3.8267507935e+02	8.2388478518e-01	8.5927962411e-01
3.8309478760e+02	8.2149827480e-01	8.5638084216e-01
3.8351449585e+02	8.1859713793e-01	8.5330580739e-01
3.8393420410e+02	8.1552320719e-01	8.5006461994e-01
3.8435391235e+02	8.1299585104e-01	8.4666624630e-01
3.8477362061e+02	8.0957603455e-01	8.4311838894e-01
3.8519332886e+02	8.0625581741e-01	8.3942736764e-01
3.8561303711e+02	8.0209690332e-01	8.3559721409e-01
3.8603274536e+02	7.9916751385e-01	8.3163149348e-01
3.8645245361e+02	7.9500180483e-01	8.2753233578e-01
3.8687216187e+02	7.9100292921e-01	8.2329946491e-01
3.8729187012e+02	7.8704041243e-01	8.1893074862e-01
3.8771157837e+02	7.8244060278e-01	8.1442211331e-01
3.8813131714e+02	7.7732402086e-01	8.0976711541e-01
3.8855102539e+02	7.7251923084e-01	8.0495821900e-01
3.8897073364e+02	7.6723760366e-01	7.9998467473e-01
3.8939044189e+02	7.6206338406e-01	7.9483376976e-01
3.8981015015e+02	7.5585657358e-01	7.8949039579e-01
3.9022985840e+02	7.4980324507e-01	7.8393694688e-01
3.9064956665e+02	7.4350154400e-01	7.7815321195e-01
3.9106927490e+02	7.3665243387e-01	7.7211626604e-01
3.9148898315e+02	7.2973388433e-01	7.6580036033e-01
3.9190869141e+02	7.2212457657e-01	7.5917681472e-01
3.9232839966e+02	7.1457850933e-01	7.5221391827e-01
3.9274810791e+02	7.0586776733e-01	7.4487684082e-01
3.9316781616e+02	6.9644272327e-01	7.3712756695e-01
3.9358752441e+02	6.8697905540e-01	7.2892485863e-01
3.9400723267e+02	6.7711228132e-01	7.2022233294e-01
3.9442694092e+02	6.6631734371e-01	7.1096872669e-01
3.9484664917e+02	6.5549969673e-01	7.0111686031e-01
3.9526635742e+02	6.4338517189e-01	6.9061302713e-01
3.9568606567e+02	6.3000285625e-01	6.7940111545e-01
3.9610577393e+02	6.1659336090e-01	6.6742314238e-01
3.9652548218e+02	6.0148531199e-01	6.5461998064e-01
3.9694519043e+02	5.8624124527e-01	6.4093230971e-01
3.9736489868e+02	5.6955039501e-01	6.2630183340e-01
3.9778460693e+02	5.5249357224e-01	6.1067279471e-01
3.9820431519e+02	5.3422063589e-01	5.9399381927e-01
3.9862402344e+02	5.1466441154e-01	5.7622011048e-01
3.9904376221e+02	4.9488490820e-01	5.5731458244e-01
3.9946347046e+02	4.7292363644e-01	5.3725632906e-01
3.9988317871e+02	4.5040223002e-01	5.1602325628e-01
4.0030288696e+02	4.2750841379e-01	4.9361821863e-01
4.0072259521e+02	4.0556949377e-01	4.7009593753e-01
4.0114230347e+02	3.8362821937e-01	4.4551778667e-01
4.0156201172e+02	3.5277032852e-01	4.1997468137e-01
