wavelength_nm	current_final_result_transmittance	nearest_dataset_average_transmittance	nearest_neighbor_tandem_result_transmittance
3.7973711347e+02	7.7686411142e-01	8.6570197344e-01	8.6345481873e-01
3.8015682291e+02	7.7300304582e-01	8.6515665054e-01	8.6158758402e-01
3.8057653235e+02	7.6944373947e-01	8.6452263594e-01	8.6040544510e-01
3.8099624179e+02	7.6677295480e-01	8.6379671097e-01	8.5951972008e-01
3.8141595123e+02	7.6260528323e-01	8.6297589540e-01	8.5886752605e-01
3.8183566067e+02	7.5768735565e-01	8.6205720901e-01	8.5726344585e-01
3.8225537011e+02	7.5244314698e-01	8.6103749275e-01	8.5588335991e-01
3.8267507956e+02	7.4754982887e-01	8.5991352797e-01	8.5464578867e-01
3.8309478900e+02	7.4140779367e-01	8.5868221521e-01	8.5287106037e-01
3.8351449844e+02	7.3600622199e-01	8.5734027624e-01	8.5152769089e-01
3.8393420788e+02	7.2985375000e-01	8.5588425398e-01	8.5001486540e-01
3.8435391732e+02	7.2331379342e-01	8.5431051254e-01	8.4841585159e-01
3.8477362676e+02	7.1701122942e-01	8.5261505842e-01	8.4656763077e-01
3.8519333620e+02	7.0997678852e-01	8.5079354048e-01	8.4514272213e-01
3.8561304564e+02	7.0294435181e-01	8.4884023666e-01	8.4281057119e-01
3.8603275508e+02	6.9481272177e-01	8.4674960375e-01	8.4083640575e-01
3.8645246453e+02	6.8738493710e-01	8.4451586008e-01	8.3879488707e-01
3.8687217397e+02	6.7951225741e-01	8.4213113785e-01	8.3656924963e-01
3.8729188341e+02	6.7106909281e-01	8.3958607912e-01	8.3408474922e-01
3.8771159285e+02	6.6188400202e-01	8.3686929941e-01	8.3135879040e-01
3.8813130229e+02	6.5301890744e-01	8.3396738768e-01	8.2844632864e-01
3.8855101173e+02	6.4339722712e-01	8.3086436987e-01	8.2554137707e-01
3.8897072117e+02	6.3444062849e-01	8.2754200697e-01	8.2261174917e-01
3.8939043061e+02	6.2389509399e-01	8.2398039103e-01	8.1900638342e-01
3.8981014006e+02	6.1381018575e-01	8.2015943527e-01	8.1520992517e-01
3.9022984950e+02	6.0375538936e-01	8.1606078148e-01	8.1141173840e-01
