design_wavelength_nm	410.0000000000
selection_metric	minimum_absolute_dataset_average_valley_wavelength_error
dataset_spectrum_definition	(T_0deg + T_30deg + T_60deg) / 3
selected_dataset_index_zero_based	545
selected_dataset_a_file	00546.a
selected_dataset_b_file	00546.b
nearest_dataset_min_wavelength_nm	409.9561932331
nearest_dataset_min_transmittance	7.4948608875e-02
nearest_dataset_wavelength_distance_nm	0.0438067669
nearest_dataset_R	4.2000000000
nearest_dataset_n_host	1.5500000000
nearest_tandem_R	4.2657117844
nearest_tandem_n_host	1.5445585251
nearest_tandem_min_wavelength_nm	410.3759026743
nearest_tandem_min_transmittance	7.1237862110e-02
current_final_R	5.7935714722
current_final_n_host	1.5443760157
current_final_min_wavelength_nm	410.3759026743
current_final_min_transmittance	6.0495708628e-03
nearest_minus_current_min_wavelength_nm	0.0000000000
nearest_minus_current_min_transmittance	6.5188291247e-02
nearest_input_vs_tandem_mse	4.0962840735e-06
nearest_input_vs_tandem_rmse	2.0239278825e-03
nearest_input_vs_tandem_mae	1.1896818772e-03
nearest_input_vs_tandem_max_abs_error	1.0528437793e-02
nearest_input_vs_tandem_r_squared	9.9982354560e-01
nearest_input_vs_tandem_correlation	9.9993365941e-01
nearest_tandem_vs_current_final_mse	7.0367631630e-03
nearest_tandem_vs_current_final_rmse	8.3885416867e-02
nearest_tandem_vs_current_final_mae	3.4180929142e-02
nearest_tandem_vs_current_final_max_abs_error	3.5901498931e-01
nearest_tandem_vs_current_final_r_squared	8.4620351910e-01
nearest_tandem_vs_current_final_correlation	9.6332928777e-01
