candidate_index	selected	final_notch_valid	final_wavelength_eligible	cvae_wavelength_eligible	jointly_eligible	cvae_min_wavelength_nm	cvae_abs_wavelength_error_nm	cvae_min_transmittance	cvae_fwhm_nm	final_min_wavelength_nm	final_wavelength_error_nm	final_abs_wavelength_error_nm	final_min_transmittance	final_baseline_transmittance	final_notch_depth	final_fwhm_nm	valley_penalty_normalized	fwhm_penalty_normalized	quality_score	ideal_to_final_mse	cvae_to_final_mse	R	n_host
0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.4636175537e+02	3.6382446289e+00	9.6869030967e-03	6.2643532449e+01	5.4971942139e+02	-2.8057861328e-01	2.8057861328e-01	2.5755444076e-03	9.8204189539e-01	9.7946635098e-01	6.1201532441e+01	2.5755444076e-02	2.0400510814e+00	1.0329032627e+00	2.9986011332e-02	1.7263457994e-04	5.3279008865e+00	2.4756965637e+00
1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	5.4804058838e+02	1.9594116211e+00	4.1187036037e-01	2.7927093468e+01	5.4929974365e+02	-7.0025634766e-01	7.0025634766e-01	3.9425331354e-01	9.8886781931e-01	5.9461450577e-01	2.6357384251e+01	inf	inf	inf	1.5731236655e-02	1.4801022189e-04	2.5686504841e+00	2.4572353363e+00
2.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.4636175537e+02	3.6382446289e+00	3.0225254595e-03	7.4280392884e+01	5.4929974365e+02	-7.0025634766e-01	7.0025634766e-01	1.5368257882e-03	9.7960311174e-01	9.7806628596e-01	7.1907566094e+01	1.5368257882e-02	2.3969188698e+00	1.2061435638e+00	4.3346196669e-02	9.3806695077e-05	5.8402023315e+00	2.4615437984e+00
3.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.5349682617e+02	3.4968261719e+00	1.0392827541e-01	3.5162055093e+01	5.5139825439e+02	1.3982543945e+00	1.3982543945e+00	8.1033900380e-02	9.8638617992e-01	9.0535227954e-01	3.4504545282e+01	8.1033900380e-01	1.1501515094e+00	9.8024525661e-01	8.7700024476e-03	1.3588381989e-04	3.7060389519e+00	2.4768357277e+00
4.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	5.5349682617e+02	3.4968261719e+00	4.3462429196e-02	4.0251235400e+01	5.5307708740e+02	3.0770874023e+00	3.0770874023e+00	2.8521392494e-02	9.8457264900e-01	9.5605125651e-01	4.0092416953e+01	inf	inf	inf	1.3196870604e-02	3.7606866681e-04	4.1427717209e+00	2.4814436436e+00
5.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	5.4636175537e+02	3.6382446289e+00	4.1738837026e-03	6.6017440459e+01	5.4762091064e+02	-2.3790893555e+00	2.3790893555e+00	1.9433966372e-03	9.8106145859e-01	9.7911806195e-01	6.2934805309e+01	inf	inf	inf	3.2549527851e-02	3.1251809560e-04	5.5019359589e+00	2.4645934105e+00
6.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.4636175537e+02	3.6382446289e+00	1.8655864522e-02	5.1345563976e+01	5.4929974365e+02	-7.0025634766e-01	7.0025634766e-01	7.1669607423e-03	9.8289799690e-01	9.7573103616e-01	5.1780031826e+01	7.1669607423e-02	1.7260010609e+00	8.9883533415e-01	1.9763698862e-02	1.1933784845e-04	4.8431696892e+00	2.4761533737e+00
7.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.4636175537e+02	3.6382446289e+00	2.3780766875e-02	4.5634130927e+01	5.4929974365e+02	-7.0025634766e-01	7.0025634766e-01	1.6301192343e-02	9.8249971867e-01	9.6619852632e-01	4.4528090640e+01	1.6301192343e-01	1.4842696880e+00	8.2364080572e-01	1.4119313531e-02	8.6282925622e-05	4.5099840164e+00	2.4747824669e+00
8.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	5.4636175537e+02	3.6382446289e+00	4.0780757554e-03	6.0972852272e+01	5.4762091064e+02	-2.3790893555e+00	2.3790893555e+00	2.4591695983e-03	9.8184764385e-01	9.7938847425e-01	5.9785092069e+01	inf	inf	inf	2.8327358116e-02	3.2240353175e-04	5.3226447105e+00	2.4696993828e+00
9.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.5349682617e+02	3.4968261719e+00	1.1018157005e-01	3.3834359990e+01	5.5181799316e+02	1.8179931641e+00	1.8179931641e+00	8.1923387945e-02	9.8649001122e-01	9.0456662327e-01	3.3697319188e+01	8.1923387945e-01	1.1232439729e+00	9.7123892619e-01	9.2541609971e-03	2.3423937091e-04	3.6430840492e+00	2.4796192646e+00
1.0000000000e+01	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	5.4636175537e+02	3.6382446289e+00	3.2211411744e-03	6.8433491050e+01	5.4762091064e+02	-2.3790893555e+00	2.3790893555e+00	1.6376543790e-03	9.8047029972e-01	9.7883264534e-01	6.6677218290e+01	inf	inf	inf	3.6760902747e-02	1.5373877250e-04	5.6365365982e+00	2.4586479664e+00
1.1000000000e+01	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	5.4636175537e+02	3.6382446289e+00	4.3780216947e-03	7.2653186113e+01	5.4762091064e+02	-2.3790893555e+00	2.3790893555e+00	1.5658590710e-03	9.7998535633e-01	9.7841949726e-01	6.9609279008e+01	inf	inf	inf	4.0865037698e-02	1.3132207096e-04	5.7617702484e+00	2.4609472752e+00
1.2000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.4636175537e+02	3.6382446289e+00	3.3749453723e-03	7.4944347938e+01	5.4929974365e+02	-7.0025634766e-01	7.0025634766e-01	1.5221829526e-03	9.7958445549e-01	9.7806227254e-01	7.2519009925e+01	1.5221829526e-02	2.4173003308e+00	1.2162610802e+00	4.4033476225e-02	7.4736170063e-05	5.8671221733e+00	2.4601607323e+00
1.3000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.4636175537e+02	3.6382446289e+00	2.4725114927e-02	4.5450327248e+01	5.4929974365e+02	-7.0025634766e-01	7.0025634766e-01	1.6640692949e-02	9.8257863522e-01	9.6593794227e-01	4.4509366481e+01	1.6640692949e-01	1.4836455494e+00	8.2502623943e-01	1.4240228842e-02	5.9373876866e-05	4.4969692230e+00	2.4765434265e+00
