wavelength_nm	ideal_target_transmittance	cvae_target_transmittance	tandem_response_transmittance
3.7973712158e+02	9.9229833123e-01	8.2450211048e-01	8.2581621408e-01
3.8015682983e+02	9.9226051517e-01	8.2470238209e-01	8.2633787394e-01
3.8057653809e+02	9.9222242064e-01	8.2502311468e-01	8.2657492161e-01
3.8099624634e+02	9.9218404490e-01	8.2490897179e-01	8.2700455189e-01
3.8141595459e+02	9.9214538518e-01	8.2509613037e-01	8.2795268297e-01
3.8183566284e+02	9.9210643869e-01	8.2453984022e-01	8.2666516304e-01
3.8225537109e+02	9.9206720258e-01	8.2434898615e-01	8.2674992085e-01
3.8267507935e+02	9.9202767398e-01	8.2378315926e-01	8.2704895735e-01
3.8309478760e+02	9.9198785000e-01	8.2330197096e-01	8.2520222664e-01
3.8351449585e+02	9.9194772768e-01	8.2239800692e-01	8.2501769066e-01
3.8393420410e+02	9.9190730405e-01	8.2146078348e-01	8.2406026125e-01
3.8435391235e+02	9.9186657609e-01	8.2042825222e-01	8.2309424877e-01
3.8477362061e+02	9.9182554075e-01	8.1880253553e-01	8.2216393948e-01
3.8519332886e+02	9.9178419493e-01	8.1793618202e-01	8.2152551413e-01
3.8561303711e+02	9.9174253551e-01	8.1669980288e-01	8.1964761019e-01
3.8603274536e+02	9.9170055931e-01	8.1541770697e-01	8.1932097673e-01
3.8645245361e+02	9.9165826312e-01	8.1478881836e-01	8.1726330519e-01
3.8687216187e+02	9.9161564369e-01	8.1331461668e-01	8.1526076794e-01
3.8729187012e+02	9.9157269773e-01	8.1183826923e-01	8.1556886435e-01
3.8771157837e+02	9.9152942190e-01	8.1045985222e-01	8.1378954649e-01
3.8813131714e+02	9.9148580965e-01	8.0813759565e-01	8.1159299612e-01
3.8855102539e+02	9.9144186389e-01	8.0732971430e-01	8.1062245369e-01
3.8897073364e+02	9.9139757801e-01	8.0566996336e-01	8.0874770880e-01
3.8939044189e+02	9.9135294848e-01	8.0480092764e-01	8.0774796009e-01
3.8981015015e+02	9.9130797177e-01	8.0323636532e-01	8.0577933788e-01
3.9022985840e+02	9.9126264427e-01	8.0128771067e-01	8.0435585976e-01
3.9064956665e+02	9.9121696232e-01	8.0069780350e-01	8.0232775211e-01
3.9106927490e+02	9.9117092225e-01	7.9908668995e-01	8.0140954256e-01
3.9148898315e+02	9.9112452030e-01	7.9751050472e-01	8.0075436831e-01
3.9190869141e+02	9.9107775269e-01	7.9652011395e-01	7.9867804050e-01
3.9232839966e+02	9.9103061558e-01	7.9499125481e-01	7.9687064886e-01
3.9274810791e+02	9.9098310507e-01	7.9365700483e-01	7.9609102011e-01
3.9316781616e+02	9.9093521722e-01	7.9328888655e-01	7.9465425014e-01
3.9358752441e+02	9.9088694804e-01	7.9160708189e-01	7.9382318258e-01
3.9400723267e+02	9.9083829348e-01	7.9016798735e-01	7.9244685173e-01
3.9442694092e+02	9.9078924945e-01	7.8926837444e-01	7.9117053747e-01
3.9484664917e+02	9.9073981178e-01	7.8881490231e-01	7.9011273384e-01
3.9526635742e+02	9.9068997626e-01	7.8734159470e-01	7.8878539801e-01
3.9568606567e+02	9.9063973864e-01	7.8690791130e-01	7.8809589148e-01
3.9610577393e+02	9.9058909458e-01	7.8583592176e-01	7.8665697575e-01
3.9652548218e+02	9.9053803970e-01	7.8590345383e-01	7.8589040041e-01
3.9694519043e+02	9.9048656957e-01	7.8409874439e-01	7.8495520353e-01
3.9736489868e+02	9.9043467968e-01	7.8341943026e-01	7.8387510777e-01
3.9778460693e+02	9.9038236547e-01	7.8346568346e-01	7.8297811747e-01
3.9820431519e+02	9.9032962231e-01	7.8270459175e-01	7.8173339367e-01
3.9862402344e+02	9.9027644553e-01	7.8225725889e-01	7.8207778931e-01
3.9904376221e+02	9.9022282645e-01	7.8123414516e-01	7.8145551682e-01
3.9946347046e+02	9.9016876805e-01	7.8102689981e-01	7.8040939569e-01
3.9988317871e+02	9.9011426158e-01	7.8088414669e-01	7.7976107597e-01
4.0030288696e+02	9.9005930207e-01	7.8089416027e-01	7.7900004387e-01
4.0072259521e+02	9.9000388453e-01	7.8032243252e-01	7.7827578783e-01
4.0114230347e+02	9.8994800385e-01	7.8026056290e-01	7.7810364962e-01
4.0156201172e+02	9.8989165488e-01	7.7964740992e-01	7.7794903517e-01
4.0198171997e+02	9.8983483239e-01	7.7978128195e-01	7.7733087540e-01
4.0240142822e+02	9.8977753109e-01	7.7937412262e-01	7.7747386694e-01
4.0282113647e+02	9.8971974558e-01	7.7963799238e-01	7.7673864365e-01
4.0324084473e+02	9.8966147044e-01	7.7928733826e-01	7.7679401636e-01
4.0366055298e+02	9.8960270011e-01	7.8011500835e-01	7.7696907520e-01
4.0408026123e+02	9.8954342901e-01	7.7913987637e-01	7.7664697170e-01
4.0449996948e+02	9.8948365144e-01	7.7912408113e-01	7.7601498365e-01
4.0491967773e+02	9.8942336163e-01	7.8547197580e-01	7.7522498369e-01
4.0533938599e+02	9.8936255375e-01	7.7604293823e-01	7.7529990673e-01
4.0575909424e+02	9.8930122186e-01	7.7796280384e-01	7.7605700493e-01
4.0617880249e+02	9.8923935994e-01	7.8033739328e-01	7.7522313595e-01
4.0659851074e+02	9.8917696188e-01	7.8118795156e-01	7.7543818951e-01
4.0701821899e+02	9.8911402151e-01	7.7982389927e-01	7.7581453323e-01
4.0743792725e+02	9.8905053254e-01	7.8408378363e-01	7.7645051479e-01
4.0785763550e+02	9.8898648861e-01	7.8636199236e-01	7.7558082342e-01
4.0827734375e+02	9.8892188324e-01	7.8052586317e-01	7.7528315783e-01
4.0869705200e+02	9.8885670988e-01	7.8110671043e-01	7.7582246065e-01
4.0911676025e+02	9.8879096188e-01	7.8219485283e-01	7.7636325359e-01
4.0953649902e+02	9.8872462765e-01	7.8305828571e-01	7.7579802275e-01
4.0995620728e+02	9.8865770999e-01	7.8381240368e-01	7.7642017603e-01
4.1037591553e+02	9.8859019713e-01	7.8445869684e-01	7.7666407824e-01
4.1079562378e+02	9.8852208204e-01	7.8665298223e-01	7.7766239643e-01
4.1121533203e+02	9.8845335755e-01	7.8404206038e-01	7.7901053429e-01
4.1163504028e+02	9.8838401641e-01	7.8462976217e-01	7.7922898531e-01
4.1205474854e+02	9.8831405124e-01	7.8343182802e-01	7.8028506041e-01
4.1247445679e+02	9.8824345457e-01	7.8571730852e-01	7.8147083521e-01
4.1289416504e+02	9.8817221879e-01	7.8417575359e-01	7.8228813410e-01
4.1331387329e+02	9.8810033621e-01	7.8705805540e-01	7.8205543756e-01
4.1373358154e+02	9.8802779900e-01	7.8618186712e-01	7.8447228670e-01
4.1415328979e+02	9.8795459923e-01	7.8768271208e-01	7.8415429592e-01
4.1457299805e+02	9.8788072883e-01	7.8879731894e-01	7.8563129902e-01
4.1499270630e+02	9.8780617962e-01	7.8990507126e-01	7.8599995375e-01
