wavelength_nm	final_result_transmittance	cst_average_transmittance
3.7973711347e+02	8.5819244385e-01	8.4902687867e-01
3.8015682291e+02	8.5946492242e-01	8.5061872005e-01
3.8057653235e+02	8.5968529877e-01	8.5210110744e-01
3.8099624179e+02	8.6004066082e-01	8.5347153743e-01
3.8141595123e+02	8.6104970363e-01	8.5472750664e-01
3.8183566067e+02	8.6110794514e-01	8.5586657127e-01
3.8225537011e+02	8.6195844214e-01	8.5688640674e-01
3.8267507956e+02	8.6254000670e-01	8.5778494676e-01
3.8309478900e+02	8.6265278125e-01	8.5856030385e-01
3.8351449844e+02	8.6343998036e-01	8.5921076934e-01
3.8393420788e+02	8.6395812255e-01	8.5973497232e-01
3.8435391732e+02	8.6420225706e-01	8.6013189952e-01
3.8477362676e+02	8.6387205448e-01	8.6040083567e-01
3.8519333620e+02	8.6409341872e-01	8.6054146290e-01
3.8561304564e+02	8.6385501350e-01	8.6055308580e-01
3.8603275508e+02	8.6430686604e-01	8.6043645938e-01
3.8645246453e+02	8.6426017889e-01	8.6019317309e-01
3.8687217397e+02	8.6357562643e-01	8.5982453823e-01
3.8729188341e+02	8.6319701640e-01	8.5933234294e-01
3.8771159285e+02	8.6281048826e-01	8.5871877273e-01
3.8813130229e+02	8.6268693646e-01	8.5798648993e-01
3.8855101173e+02	8.6175820273e-01	8.5713853439e-01
3.8897072117e+02	8.6142397920e-01	8.5617828369e-01
3.8939043061e+02	8.6060865923e-01	8.5510951281e-01
3.8981014006e+02	8.5944083162e-01	8.5393635432e-01
3.9022984950e+02	8.5885996858e-01	8.5266311963e-01
3.9064955894e+02	8.5774519107e-01	8.5129459699e-01
3.9106926838e+02	8.5644646517e-01	8.4983559450e-01
3.9148897782e+02	8.5510958939e-01	8.4829123815e-01
3.9190868726e+02	8.5394639927e-01	8.4666675329e-01
3.9232839670e+02	8.5279775475e-01	8.4496752421e-01
3.9274810614e+02	8.5167950863e-01	8.4319903453e-01
3.9316781559e+02	8.4990060573e-01	8.4136674802e-01
3.9358752503e+02	8.4828740123e-01	8.3947614829e-01
3.9400723447e+02	8.4669022970e-01	8.3753261964e-01
3.9442694391e+02	8.4486501355e-01	8.3554144700e-01
3.9484665335e+02	8.4338502064e-01	8.3350839218e-01
3.9526636279e+02	8.4136424050e-01	8.3143874009e-01
3.9568607223e+02	8.3948954831e-01	8.2933759689e-01
