Epoch 0 | Train Loss: 173.589544 | Val Loss: 128.230209
Epoch 1 | Train Loss: 80.118352 | Val Loss: 81.265694
Epoch 2 | Train Loss: 61.606966 | Val Loss: 75.080055
Epoch 3 | Train Loss: 54.452267 | Val Loss: 62.272129
Epoch 4 | Train Loss: 49.598812 | Val Loss: 57.103546
Epoch 5 | Train Loss: 46.759934 | Val Loss: 47.284134
Epoch 6 | Train Loss: 42.633504 | Val Loss: 48.557289
Epoch 7 | Train Loss: 43.391582 | Val Loss: 44.024220
Epoch 8 | Train Loss: 42.938338 | Val Loss: 46.518791
Epoch 9 | Train Loss: 41.645434 | Val Loss: 40.745403
Epoch 10 | Train Loss: 40.825348 | Val Loss: 41.049118
Epoch 11 | Train Loss: 38.335388 | Val Loss: 42.748848
Epoch 12 | Train Loss: 37.618743 | Val Loss: 41.421707
Epoch 13 | Train Loss: 38.127700 | Val Loss: 40.646450
Epoch 14 | Train Loss: 36.513829 | Val Loss: 42.321873
Epoch 15 | Train Loss: 37.354457 | Val Loss: 38.542084
Epoch 16 | Train Loss: 37.806617 | Val Loss: 36.415192
Epoch 17 | Train Loss: 36.561423 | Val Loss: 38.504524
Epoch 18 | Train Loss: 35.217856 | Val Loss: 34.249321
Epoch 19 | Train Loss: 31.881080 | Val Loss: 35.180405
Epoch 20 | Train Loss: 34.841015 | Val Loss: 34.083214
Epoch 21 | Train Loss: 34.004867 | Val Loss: 31.893749
Epoch 22 | Train Loss: 32.813840 | Val Loss: 33.556366
Epoch 23 | Train Loss: 33.471367 | Val Loss: 32.758335
Epoch 24 | Train Loss: 31.943968 | Val Loss: 33.643024
Epoch 25 | Train Loss: 32.692100 | Val Loss: 29.822342
Epoch 26 | Train Loss: 32.162833 | Val Loss: 33.813614
Epoch 27 | Train Loss: 31.495394 | Val Loss: 31.664959
Epoch 28 | Train Loss: 32.063969 | Val Loss: 33.688133
Epoch 29 | Train Loss: 32.624587 | Val Loss: 35.988396
Epoch 30 | Train Loss: 31.940499 | Val Loss: 30.665176
Epoch 31 | Train Loss: 30.924306 | Val Loss: 35.553078
Epoch 32 | Train Loss: 30.307413 | Val Loss: 30.240978
Epoch 33 | Train Loss: 30.065220 | Val Loss: 31.373516
Epoch 34 | Train Loss: 30.896143 | Val Loss: 30.518078
Epoch 35 | Train Loss: 31.106358 | Val Loss: 28.631674
Epoch 36 | Train Loss: 30.570298 | Val Loss: 32.757084
Epoch 37 | Train Loss: 29.628008 | Val Loss: 33.783947
Epoch 38 | Train Loss: 30.160252 | Val Loss: 32.513435
Epoch 39 | Train Loss: 30.763214 | Val Loss: 29.128130
Epoch 40 | Train Loss: 30.150200 | Val Loss: 31.066252
Epoch 41 | Train Loss: 30.031562 | Val Loss: 29.496628
Epoch 42 | Train Loss: 29.820254 | Val Loss: 30.579651
Epoch 43 | Train Loss: 29.199165 | Val Loss: 27.542141
Epoch 44 | Train Loss: 28.902828 | Val Loss: 27.961142
Epoch 45 | Train Loss: 29.594826 | Val Loss: 29.949760
Epoch 46 | Train Loss: 31.092143 | Val Loss: 27.051826
Epoch 47 | Train Loss: 29.475896 | Val Loss: 27.487928
Epoch 48 | Train Loss: 29.080319 | Val Loss: 28.599609
Epoch 49 | Train Loss: 27.833976 | Val Loss: 27.366493
Epoch 50 | Train Loss: 29.979461 | Val Loss: 26.600346
Epoch 51 | Train Loss: 28.830963 | Val Loss: 29.115322
Epoch 52 | Train Loss: 28.929840 | Val Loss: 29.284853
Epoch 53 | Train Loss: 28.756440 | Val Loss: 31.779572
Epoch 54 | Train Loss: 27.035246 | Val Loss: 30.282764
Epoch 55 | Train Loss: 28.178691 | Val Loss: 26.982475
