filter_type	target_wavelength_or_pair_nm	method	target_peak1_nm	target_peak2_nm	predicted_peak1_nm	predicted_peak2_nm	peak1_absolute_error_nm	peak2_absolute_error_nm	nominal_target_total_error_nm	particle_radius_R_nm	n_host	n_host1	n_host2	source_file
single	410	Direct Tandem	410.0000000000		411.2153215567		1.2153215567		1.2153215567	5.7076439857	1.5554815531			1peak/410/tandem/tandem_pred_0_results.txt
single	410	CVAE-assisted Tandem	410.0000000000		410.3759155273		0.3759155273		0.3759155273	4.8444652557	1.5478485823			1peak/410/cvae/cvae_results.txt
single	530	Direct Tandem	530.0000000000		523.2777423571		6.7222576429		6.7222576429	4.1465644836	2.3124413490			1peak/530/tandem/tandem_pred_0_results.txt
single	530	CVAE-assisted Tandem	530.0000000000		529.9931030273		0.0068969727		0.0068969727	4.3797502518	2.3544480801			1peak/530/cvae/cvae_results.txt
single	610	Direct Tandem	610.0000000000		613.0955627739		3.0955627739		3.0955627739	3.3937115669	2.8643186092			1peak/610/tandem/tandem_pred_0_results.txt
single	610	CVAE-assisted Tandem	610.0000000000		608.8984985352		1.1015014648		1.1015014648	3.6668295860	2.8222250938			1peak/610/cvae/cvae_results.txt
double	435 / 490	Direct Tandem	435.0000000000	490.0000000000	446.4709146175	491.3798248259	11.4709146175	1.3798248259	12.8507394434	5.8224983215		2.1271104813	1.7497202158	2peak/435_490/tandem/tandem_results.txt
double	435 / 490	CVAE-assisted Tandem	435.0000000000	490.0000000000	431.7810841755	492.2192437083	3.2189158245	2.2192437083	5.4381595328	5.9715104103		2.1327478886	1.7297890186	2peak/435_490/cvae/cvae_results.txt
double	475 / 540	Direct Tandem	475.0000000000	540.0000000000	474.5914471779	553.0771126823	0.4085528221	13.0771126823	13.4856655044	5.6533422470		2.4974451065	1.9712409973	2peak/475_540/tandem/tandem_results.txt
double	475 / 540	CVAE-assisted Tandem	475.0000000000	540.0000000000	474.1717377367	537.1281539167	0.8282622633	2.8718460833	3.7001083466	4.9070606232		2.4382829666	1.9836860895	2peak/475_540/cvae/cvae_results.txt
double	405 / 590	Direct Tandem	405.0000000000	590.0000000000	404.9196799387	570.7049092127	0.0803200613	19.2950907873	19.3754108486	5.6827793121		2.5721480846	1.5115967989	2peak/405_590/tandem/tandem_results.txt
double	405 / 590	CVAE-assisted Tandem	405.0000000000	590.0000000000	404.9196799387	590.0115435079	0.0803200613	0.0115435079	0.0918635692	5.6636524200		2.7235267162	1.5000001192	2peak/405_590/cvae/cvae_results.txt
