filter_type	target_wavelength_or_pair_nm	method	target_peak1_nm	target_peak2_nm	predicted_peak1_nm	predicted_peak2_nm	peak1_absolute_error_nm	peak2_absolute_error_nm	nominal_target_total_error_nm	particle_radius_R_nm	n_host	n_host1	n_host2	source_file
single	410	Direct Tandem	410.0000000000		411.2153215567		1.2153215567		1.2153215567	5.7076439857	1.5554815531			1peak/410/tandem/tandem_pred_0_results.txt
single	410	CVAE-assisted Tandem	410.0000000000		410.3759155273		0.3759155273		0.3759155273	4.8444652557	1.5478485823			1peak/410/cvae/cvae_results.txt
single	530	Direct Tandem	530.0000000000		523.2777423571		6.7222576429		6.7222576429	4.1465644836	2.3124413490			1peak/530/tandem/tandem_pred_0_results.txt
single	530	CVAE-assisted Tandem	530.0000000000		529.9931030273		0.0068969727		0.0068969727	4.3797502518	2.3544480801			1peak/530/cvae/cvae_results.txt
single	610	Direct Tandem	610.0000000000		613.0955627739		3.0955627739		3.0955627739	3.3937115669	2.8643186092			1peak/610/tandem/tandem_pred_0_results.txt
single	610	CVAE-assisted Tandem	610.0000000000		608.8984985352		1.1015014648		1.1015014648	3.6668295860	2.8222250938			1peak/610/cvae/cvae_results.txt
double	500 / 550	Direct Tandem	500.0000000000	550.0000000000	507.3287963867	539.6464233398	7.3287963867	10.3535766602	17.6823730469	5.1125407219		2.1457009315	2.4317274094	2peak/500_550/tandem/tandem_results.txt
double	500 / 550	CVAE-assisted Tandem	500.0000000000	550.0000000000	496.4163513184	553.0770874023	3.5836486816	3.0770874023	6.6607360839	4.0719952583		2.1329035759	2.4399569035	2peak/500_550/cvae/cvae_results.txt
double	450 / 550	Direct Tandem	450.0000000000	550.0000000000	460.3213195801	553.9165039062	10.3213195801	3.9165039062	14.2378234863	5.5544939041		1.8637932539	2.4659578800	2peak/450_550/tandem/tandem_results.txt
double	450 / 550	CVAE-assisted Tandem	450.0000000000	550.0000000000	448.9891662598	553.9165039062	1.0108337402	3.9165039062	4.9273376464	5.5185384750		1.8387039900	2.4741816521	2peak/450_550/cvae/cvae_results.txt
double	500 / 650	Direct Tandem	500.0000000000	650.0000000000	508.1682128906	648.7708740234	8.1682128906	1.2291259766	9.3973388672	4.5624713898		2.1677725315	3.0216197968	2peak/500_650/tandem/tandem_results.txt
double	500 / 650	CVAE-assisted Tandem	500.0000000000	650.0000000000	493.8980712891	649.6102905273	6.1019287109	0.3897094727	6.4916381836	3.9853048325		2.1395153999	3.0425679684	2peak/500_650/cvae/cvae_results.txt
