Epoch 0 | Train Loss: 0.063032 | Val Loss: 0.051311
Epoch 1 | Train Loss: 0.050227 | Val Loss: 0.049774
Epoch 2 | Train Loss: 0.049810 | Val Loss: 0.048012
Epoch 3 | Train Loss: 0.043032 | Val Loss: 0.035244
Epoch 4 | Train Loss: 0.036052 | Val Loss: 0.032265
Epoch 5 | Train Loss: 0.028337 | Val Loss: 0.023003
Epoch 6 | Train Loss: 0.021389 | Val Loss: 0.019490
Epoch 7 | Train Loss: 0.016397 | Val Loss: 0.011747
Epoch 8 | Train Loss: 0.013904 | Val Loss: 0.013505
Epoch 9 | Train Loss: 0.012145 | Val Loss: 0.017171
Epoch 10 | Train Loss: 0.013153 | Val Loss: 0.012534
Epoch 11 | Train Loss: 0.008660 | Val Loss: 0.007842
Epoch 12 | Train Loss: 0.005468 | Val Loss: 0.004854
Epoch 13 | Train Loss: 0.004140 | Val Loss: 0.003951
Epoch 14 | Train Loss: 0.003596 | Val Loss: 0.007354
Epoch 15 | Train Loss: 0.004463 | Val Loss: 0.005525
Epoch 16 | Train Loss: 0.004572 | Val Loss: 0.004396
Epoch 17 | Train Loss: 0.005002 | Val Loss: 0.003359
Epoch 18 | Train Loss: 0.002811 | Val Loss: 0.002562
Epoch 19 | Train Loss: 0.003182 | Val Loss: 0.003060
Epoch 20 | Train Loss: 0.003217 | Val Loss: 0.003851
Epoch 21 | Train Loss: 0.002060 | Val Loss: 0.002975
Epoch 22 | Train Loss: 0.002116 | Val Loss: 0.002725
Epoch 23 | Train Loss: 0.002104 | Val Loss: 0.001462
Epoch 24 | Train Loss: 0.002066 | Val Loss: 0.002174
Epoch 25 | Train Loss: 0.001999 | Val Loss: 0.001650
Epoch 26 | Train Loss: 0.001380 | Val Loss: 0.001314
Epoch 27 | Train Loss: 0.001197 | Val Loss: 0.001442
Epoch 28 | Train Loss: 0.001256 | Val Loss: 0.001208
Epoch 29 | Train Loss: 0.002010 | Val Loss: 0.004424
Epoch 30 | Train Loss: 0.005888 | Val Loss: 0.003334
Epoch 31 | Train Loss: 0.002352 | Val Loss: 0.001964
Epoch 32 | Train Loss: 0.003092 | Val Loss: 0.001903
Epoch 33 | Train Loss: 0.001801 | Val Loss: 0.001426
Epoch 34 | Train Loss: 0.002807 | Val Loss: 0.005275
Epoch 35 | Train Loss: 0.001999 | Val Loss: 0.002016
Epoch 36 | Train Loss: 0.001368 | Val Loss: 0.001420
Epoch 37 | Train Loss: 0.001083 | Val Loss: 0.000858
Epoch 38 | Train Loss: 0.001041 | Val Loss: 0.001011
Epoch 39 | Train Loss: 0.000697 | Val Loss: 0.000633
Epoch 40 | Train Loss: 0.000614 | Val Loss: 0.000905
Epoch 41 | Train Loss: 0.001032 | Val Loss: 0.004205
Epoch 42 | Train Loss: 0.002238 | Val Loss: 0.001060
Epoch 43 | Train Loss: 0.000971 | Val Loss: 0.000768
Epoch 44 | Train Loss: 0.000998 | Val Loss: 0.002344
Epoch 45 | Train Loss: 0.003527 | Val Loss: 0.001700
Epoch 46 | Train Loss: 0.003241 | Val Loss: 0.001802
Epoch 47 | Train Loss: 0.001813 | Val Loss: 0.001418
Epoch 48 | Train Loss: 0.001668 | Val Loss: 0.002471
Epoch 49 | Train Loss: 0.002920 | Val Loss: 0.001397
Epoch 50 | Train Loss: 0.001823 | Val Loss: 0.003229
Epoch 51 | Train Loss: 0.004883 | Val Loss: 0.003653
Epoch 52 | Train Loss: 0.005486 | Val Loss: 0.002347
Epoch 53 | Train Loss: 0.002383 | Val Loss: 0.001423
Epoch 54 | Train Loss: 0.000906 | Val Loss: 0.000712
Epoch 55 | Train Loss: 0.000790 | Val Loss: 0.001247
Epoch 56 | Train Loss: 0.000979 | Val Loss: 0.001196
Epoch 57 | Train Loss: 0.000968 | Val Loss: 0.002349
Epoch 58 | Train Loss: 0.001012 | Val Loss: 0.000897
Epoch 59 | Train Loss: 0.000715 | Val Loss: 0.000436
Epoch 60 | Train Loss: 0.000524 | Val Loss: 0.000594
Epoch 61 | Train Loss: 0.000594 | Val Loss: 0.000493
Epoch 62 | Train Loss: 0.000617 | Val Loss: 0.000756
Epoch 63 | Train Loss: 0.000516 | Val Loss: 0.000643
Epoch 64 | Train Loss: 0.000574 | Val Loss: 0.000510
Epoch 65 | Train Loss: 0.000493 | Val Loss: 0.000577
Epoch 66 | Train Loss: 0.000364 | Val Loss: 0.000325
Epoch 67 | Train Loss: 0.000472 | Val Loss: 0.000404
Epoch 68 | Train Loss: 0.000511 | Val Loss: 0.000365
Epoch 69 | Train Loss: 0.000551 | Val Loss: 0.000484
Epoch 70 | Train Loss: 0.000506 | Val Loss: 0.000995
Epoch 71 | Train Loss: 0.000630 | Val Loss: 0.000613
Epoch 72 | Train Loss: 0.000420 | Val Loss: 0.000465
Epoch 73 | Train Loss: 0.000519 | Val Loss: 0.000523
Epoch 74 | Train Loss: 0.001400 | Val Loss: 0.005781
Epoch 75 | Train Loss: 0.002604 | Val Loss: 0.001466
Epoch 76 | Train Loss: 0.001271 | Val Loss: 0.000820
Epoch 77 | Train Loss: 0.000535 | Val Loss: 0.000394
Epoch 78 | Train Loss: 0.000424 | Val Loss: 0.000673
Epoch 79 | Train Loss: 0.000749 | Val Loss: 0.000983
Epoch 80 | Train Loss: 0.000403 | Val Loss: 0.000319
Epoch 81 | Train Loss: 0.000414 | Val Loss: 0.000578
Epoch 82 | Train Loss: 0.000483 | Val Loss: 0.000734
Epoch 83 | Train Loss: 0.002427 | Val Loss: 0.001181
Epoch 84 | Train Loss: 0.001935 | Val Loss: 0.000937
Epoch 85 | Train Loss: 0.001223 | Val Loss: 0.000880
Epoch 86 | Train Loss: 0.002728 | Val Loss: 0.002611
Epoch 87 | Train Loss: 0.004495 | Val Loss: 0.005986
Epoch 88 | Train Loss: 0.004482 | Val Loss: 0.002643
Epoch 89 | Train Loss: 0.003355 | Val Loss: 0.001331
Epoch 90 | Train Loss: 0.001201 | Val Loss: 0.000759
