Epoch 0 | Train Loss: 201.283622 | Val Loss: 130.275009
Epoch 1 | Train Loss: 94.325198 | Val Loss: 91.938599
Epoch 2 | Train Loss: 73.246626 | Val Loss: 84.184654
Epoch 3 | Train Loss: 60.329337 | Val Loss: 87.576820
Epoch 4 | Train Loss: 57.215196 | Val Loss: 67.947433
Epoch 5 | Train Loss: 52.365224 | Val Loss: 58.300201
Epoch 6 | Train Loss: 47.297773 | Val Loss: 50.990219
Epoch 7 | Train Loss: 50.247181 | Val Loss: 51.262470
Epoch 8 | Train Loss: 48.415525 | Val Loss: 53.793316
Epoch 9 | Train Loss: 46.580708 | Val Loss: 59.088226
Epoch 10 | Train Loss: 46.210074 | Val Loss: 46.836941
Epoch 11 | Train Loss: 42.578468 | Val Loss: 49.056023
Epoch 12 | Train Loss: 42.949292 | Val Loss: 47.514874
Epoch 13 | Train Loss: 43.650172 | Val Loss: 44.608955
Epoch 14 | Train Loss: 41.225970 | Val Loss: 45.169907
Epoch 15 | Train Loss: 42.250465 | Val Loss: 42.985695
Epoch 16 | Train Loss: 43.092800 | Val Loss: 43.005920
Epoch 17 | Train Loss: 42.057378 | Val Loss: 42.273468
Epoch 18 | Train Loss: 39.873053 | Val Loss: 42.318398
Epoch 19 | Train Loss: 36.909103 | Val Loss: 38.784584
Epoch 20 | Train Loss: 37.923642 | Val Loss: 36.576668
Epoch 21 | Train Loss: 37.726198 | Val Loss: 33.977562
Epoch 22 | Train Loss: 36.000223 | Val Loss: 36.843060
Epoch 23 | Train Loss: 36.669794 | Val Loss: 36.449360
Epoch 24 | Train Loss: 36.686005 | Val Loss: 36.578407
Epoch 25 | Train Loss: 36.412187 | Val Loss: 35.372852
Epoch 26 | Train Loss: 36.279632 | Val Loss: 35.487972
Epoch 27 | Train Loss: 35.410398 | Val Loss: 31.679379
Epoch 28 | Train Loss: 35.258471 | Val Loss: 37.896217
Epoch 29 | Train Loss: 36.102341 | Val Loss: 34.279366
Epoch 30 | Train Loss: 34.972053 | Val Loss: 34.917595
Epoch 31 | Train Loss: 32.947515 | Val Loss: 37.313770
Epoch 32 | Train Loss: 33.236311 | Val Loss: 35.567505
Epoch 33 | Train Loss: 32.967605 | Val Loss: 33.499245
Epoch 34 | Train Loss: 34.654368 | Val Loss: 31.436407
Epoch 35 | Train Loss: 34.030150 | Val Loss: 32.480114
Epoch 36 | Train Loss: 33.586532 | Val Loss: 31.330011
Epoch 37 | Train Loss: 31.918317 | Val Loss: 28.338732
Epoch 38 | Train Loss: 32.387841 | Val Loss: 31.264832
Epoch 39 | Train Loss: 32.570016 | Val Loss: 31.213202
Epoch 40 | Train Loss: 32.094818 | Val Loss: 29.570164
Epoch 41 | Train Loss: 31.699563 | Val Loss: 29.778435
Epoch 42 | Train Loss: 31.472898 | Val Loss: 29.209099
Epoch 43 | Train Loss: 31.219508 | Val Loss: 29.579422
Epoch 44 | Train Loss: 31.743514 | Val Loss: 29.749474
Epoch 45 | Train Loss: 30.595921 | Val Loss: 31.063095
Epoch 46 | Train Loss: 31.985234 | Val Loss: 29.649521
Epoch 47 | Train Loss: 31.655022 | Val Loss: 30.720699
Epoch 48 | Train Loss: 31.501800 | Val Loss: 31.512941
Epoch 49 | Train Loss: 30.902926 | Val Loss: 34.587299
Epoch 50 | Train Loss: 31.834562 | Val Loss: 29.526474
Epoch 51 | Train Loss: 31.126185 | Val Loss: 33.108837
Epoch 52 | Train Loss: 31.880948 | Val Loss: 32.310059
Epoch 53 | Train Loss: 31.232110 | Val Loss: 31.427044
Epoch 54 | Train Loss: 29.396422 | Val Loss: 29.121162
Epoch 55 | Train Loss: 29.690851 | Val Loss: 28.880342
Epoch 56 | Train Loss: 31.463039 | Val Loss: 26.345737
Epoch 57 | Train Loss: 28.875386 | Val Loss: 27.457306
Epoch 58 | Train Loss: 29.312138 | Val Loss: 30.060616
Epoch 59 | Train Loss: 31.222360 | Val Loss: 27.891325
Epoch 60 | Train Loss: 29.512431 | Val Loss: 28.938423
Epoch 61 | Train Loss: 31.376364 | Val Loss: 30.424515
Epoch 62 | Train Loss: 29.653096 | Val Loss: 30.722420
Epoch 63 | Train Loss: 30.340542 | Val Loss: 31.682312
Epoch 64 | Train Loss: 28.529942 | Val Loss: 29.718218
Epoch 65 | Train Loss: 29.114610 | Val Loss: 29.486652
Epoch 66 | Train Loss: 28.604005 | Val Loss: 27.172733
Epoch 67 | Train Loss: 28.504363 | Val Loss: 29.274635
Epoch 68 | Train Loss: 27.699812 | Val Loss: 27.236914
Epoch 69 | Train Loss: 27.037169 | Val Loss: 27.323177
Epoch 70 | Train Loss: 27.735116 | Val Loss: 23.349329
Epoch 71 | Train Loss: 28.147605 | Val Loss: 25.496510
Epoch 72 | Train Loss: 27.017218 | Val Loss: 28.733696
Epoch 73 | Train Loss: 28.037761 | Val Loss: 25.415060
Epoch 74 | Train Loss: 27.731137 | Val Loss: 28.241516
Epoch 75 | Train Loss: 27.743240 | Val Loss: 29.885746
Epoch 76 | Train Loss: 28.785872 | Val Loss: 25.163256
Epoch 77 | Train Loss: 27.630288 | Val Loss: 28.840942
Epoch 78 | Train Loss: 27.113616 | Val Loss: 31.501076
Epoch 79 | Train Loss: 26.648115 | Val Loss: 26.751728
Epoch 80 | Train Loss: 26.472351 | Val Loss: 31.208000
Epoch 81 | Train Loss: 27.208608 | Val Loss: 25.671095
Epoch 82 | Train Loss: 27.448640 | Val Loss: 26.137636
Epoch 83 | Train Loss: 27.441864 | Val Loss: 28.542515
Epoch 84 | Train Loss: 26.856200 | Val Loss: 29.425758
Epoch 85 | Train Loss: 26.778774 | Val Loss: 29.703510
Epoch 86 | Train Loss: 26.932684 | Val Loss: 25.296135
Epoch 87 | Train Loss: 26.513626 | Val Loss: 26.627615
Epoch 88 | Train Loss: 24.857700 | Val Loss: 25.722382
Epoch 89 | Train Loss: 25.125438 | Val Loss: 27.126673
Epoch 90 | Train Loss: 26.883290 | Val Loss: 25.308390
Epoch 91 | Train Loss: 26.373188 | Val Loss: 25.609961
Epoch 92 | Train Loss: 25.431128 | Val Loss: 23.910727
Epoch 93 | Train Loss: 24.716617 | Val Loss: 26.417681
Epoch 94 | Train Loss: 25.504094 | Val Loss: 24.059635
Epoch 95 | Train Loss: 25.019188 | Val Loss: 25.043121
Epoch 96 | Train Loss: 25.012394 | Val Loss: 24.952314
Epoch 97 | Train Loss: 25.826300 | Val Loss: 27.927029
Epoch 98 | Train Loss: 25.818991 | Val Loss: 24.102251
Epoch 99 | Train Loss: 24.255486 | Val Loss: 22.278271
Epoch 100 | Train Loss: 24.094841 | Val Loss: 24.192194
Epoch 101 | Train Loss: 24.069218 | Val Loss: 20.092291
Epoch 102 | Train Loss: 23.502504 | Val Loss: 25.057732
Epoch 103 | Train Loss: 24.200239 | Val Loss: 22.811619
Epoch 104 | Train Loss: 24.518997 | Val Loss: 23.934284
Epoch 105 | Train Loss: 23.423490 | Val Loss: 23.320232
Epoch 106 | Train Loss: 22.673581 | Val Loss: 23.626528
Epoch 107 | Train Loss: 23.304165 | Val Loss: 21.377132
Epoch 108 | Train Loss: 22.540004 | Val Loss: 22.456627
Epoch 109 | Train Loss: 22.753908 | Val Loss: 23.490620
Epoch 110 | Train Loss: 22.573986 | Val Loss: 23.814476
Epoch 111 | Train Loss: 22.344228 | Val Loss: 24.035887
Epoch 112 | Train Loss: 22.753893 | Val Loss: 22.285990
Epoch 113 | Train Loss: 22.602264 | Val Loss: 20.933670
Epoch 114 | Train Loss: 22.947193 | Val Loss: 20.406559
Epoch 115 | Train Loss: 22.522428 | Val Loss: 22.450573
Epoch 116 | Train Loss: 21.485130 | Val Loss: 23.621389
Epoch 117 | Train Loss: 21.863756 | Val Loss: 19.614098
Epoch 118 | Train Loss: 21.660914 | Val Loss: 23.065426
Epoch 119 | Train Loss: 23.753934 | Val Loss: 21.791491
Epoch 120 | Train Loss: 23.090777 | Val Loss: 22.622967
Epoch 121 | Train Loss: 23.389942 | Val Loss: 22.571520
Epoch 122 | Train Loss: 22.861858 | Val Loss: 26.081121
Epoch 123 | Train Loss: 22.671851 | Val Loss: 21.719276
Epoch 124 | Train Loss: 21.574693 | Val Loss: 19.995232
Epoch 125 | Train Loss: 21.219937 | Val Loss: 22.800247
Epoch 126 | Train Loss: 21.683630 | Val Loss: 18.599432
Epoch 127 | Train Loss: 20.497558 | Val Loss: 21.682886
Epoch 128 | Train Loss: 20.631814 | Val Loss: 21.182961
Epoch 129 | Train Loss: 19.909398 | Val Loss: 19.007248
Epoch 130 | Train Loss: 19.907813 | Val Loss: 18.996635
Epoch 131 | Train Loss: 19.544473 | Val Loss: 18.533539
Epoch 132 | Train Loss: 19.895692 | Val Loss: 20.202343
Epoch 133 | Train Loss: 20.244063 | Val Loss: 18.882290
Epoch 134 | Train Loss: 20.906186 | Val Loss: 17.790428
Epoch 135 | Train Loss: 20.498053 | Val Loss: 19.430449
Epoch 136 | Train Loss: 18.898264 | Val Loss: 17.994688
Epoch 137 | Train Loss: 18.433686 | Val Loss: 20.610033
Epoch 138 | Train Loss: 18.943564 | Val Loss: 18.390419
Epoch 139 | Train Loss: 18.872864 | Val Loss: 18.213840
Epoch 140 | Train Loss: 18.653889 | Val Loss: 20.039879
Epoch 141 | Train Loss: 18.636889 | Val Loss: 18.726171
Epoch 142 | Train Loss: 19.195236 | Val Loss: 18.562458
Epoch 143 | Train Loss: 18.071119 | Val Loss: 19.321014
Epoch 144 | Train Loss: 17.142282 | Val Loss: 16.359880
Epoch 145 | Train Loss: 18.500011 | Val Loss: 16.679255
Epoch 146 | Train Loss: 17.625967 | Val Loss: 17.248600
Epoch 147 | Train Loss: 17.179503 | Val Loss: 17.195301
Epoch 148 | Train Loss: 17.614190 | Val Loss: 15.951988
Epoch 149 | Train Loss: 17.059964 | Val Loss: 16.458395
Epoch 150 | Train Loss: 17.596421 | Val Loss: 15.223718
Epoch 151 | Train Loss: 17.963574 | Val Loss: 17.372229
Epoch 152 | Train Loss: 17.271609 | Val Loss: 17.653719
Epoch 153 | Train Loss: 16.894609 | Val Loss: 15.964094
Epoch 154 | Train Loss: 17.985662 | Val Loss: 18.141151
Epoch 155 | Train Loss: 16.677372 | Val Loss: 16.377937
Epoch 156 | Train Loss: 16.567805 | Val Loss: 16.498013
Epoch 157 | Train Loss: 16.519043 | Val Loss: 14.833000
Epoch 158 | Train Loss: 16.786600 | Val Loss: 16.088856
Epoch 159 | Train Loss: 16.582754 | Val Loss: 16.011356
Epoch 160 | Train Loss: 16.812514 | Val Loss: 19.827517
