Epoch 0 | Train Loss: 0.039581 | Val Loss: 0.086544
Epoch 1 | Train Loss: 0.074851 | Val Loss: 0.055040
Epoch 2 | Train Loss: 0.049135 | Val Loss: 0.043038
Epoch 3 | Train Loss: 0.035455 | Val Loss: 0.029454
Epoch 4 | Train Loss: 0.037820 | Val Loss: 0.043323
Epoch 5 | Train Loss: 0.033559 | Val Loss: 0.028700
Epoch 6 | Train Loss: 0.030006 | Val Loss: 0.025729
Epoch 7 | Train Loss: 0.025517 | Val Loss: 0.021739
Epoch 8 | Train Loss: 0.024339 | Val Loss: 0.018788
Epoch 9 | Train Loss: 0.019103 | Val Loss: 0.015594
Epoch 10 | Train Loss: 0.012755 | Val Loss: 0.014158
Epoch 11 | Train Loss: 0.014493 | Val Loss: 0.022126
Epoch 12 | Train Loss: 0.015925 | Val Loss: 0.022059
Epoch 13 | Train Loss: 0.013919 | Val Loss: 0.013707
Epoch 14 | Train Loss: 0.012660 | Val Loss: 0.011875
Epoch 15 | Train Loss: 0.009969 | Val Loss: 0.006718
Epoch 16 | Train Loss: 0.006724 | Val Loss: 0.005846
Epoch 17 | Train Loss: 0.004943 | Val Loss: 0.003666
Epoch 18 | Train Loss: 0.004565 | Val Loss: 0.004935
Epoch 19 | Train Loss: 0.005229 | Val Loss: 0.003266
Epoch 20 | Train Loss: 0.004580 | Val Loss: 0.002571
Epoch 21 | Train Loss: 0.003853 | Val Loss: 0.002795
Epoch 22 | Train Loss: 0.002943 | Val Loss: 0.003095
Epoch 23 | Train Loss: 0.001967 | Val Loss: 0.001586
Epoch 24 | Train Loss: 0.001216 | Val Loss: 0.000690
Epoch 25 | Train Loss: 0.001099 | Val Loss: 0.001475
Epoch 26 | Train Loss: 0.001047 | Val Loss: 0.001239
Epoch 27 | Train Loss: 0.001232 | Val Loss: 0.001851
Epoch 28 | Train Loss: 0.001970 | Val Loss: 0.002383
Epoch 29 | Train Loss: 0.002435 | Val Loss: 0.002795
Epoch 30 | Train Loss: 0.002980 | Val Loss: 0.001792
Epoch 31 | Train Loss: 0.001781 | Val Loss: 0.001840
Epoch 32 | Train Loss: 0.001455 | Val Loss: 0.001680
Epoch 33 | Train Loss: 0.001451 | Val Loss: 0.001406
Epoch 34 | Train Loss: 0.001236 | Val Loss: 0.001046
Epoch 35 | Train Loss: 0.000890 | Val Loss: 0.002139
Epoch 36 | Train Loss: 0.000878 | Val Loss: 0.000800
Epoch 37 | Train Loss: 0.000524 | Val Loss: 0.000276
Epoch 38 | Train Loss: 0.000242 | Val Loss: 0.000224
Epoch 39 | Train Loss: 0.000192 | Val Loss: 0.000225
Epoch 40 | Train Loss: 0.000181 | Val Loss: 0.000132
Epoch 41 | Train Loss: 0.000124 | Val Loss: 0.000142
Epoch 42 | Train Loss: 0.000120 | Val Loss: 0.000101
Epoch 43 | Train Loss: 0.000097 | Val Loss: 0.000110
Epoch 44 | Train Loss: 0.000084 | Val Loss: 0.000104
Epoch 45 | Train Loss: 0.000079 | Val Loss: 0.000090
Epoch 46 | Train Loss: 0.000070 | Val Loss: 0.000095
Epoch 47 | Train Loss: 0.000066 | Val Loss: 0.000088
Epoch 48 | Train Loss: 0.000062 | Val Loss: 0.000091
Epoch 49 | Train Loss: 0.000058 | Val Loss: 0.000077
Epoch 50 | Train Loss: 0.000054 | Val Loss: 0.000075
Epoch 51 | Train Loss: 0.000056 | Val Loss: 0.000084
Epoch 52 | Train Loss: 0.000058 | Val Loss: 0.000076
Epoch 53 | Train Loss: 0.000059 | Val Loss: 0.000098
Epoch 54 | Train Loss: 0.000063 | Val Loss: 0.000074
Epoch 55 | Train Loss: 0.000068 | Val Loss: 0.000078
Epoch 56 | Train Loss: 0.000058 | Val Loss: 0.000083
Epoch 57 | Train Loss: 0.000053 | Val Loss: 0.000078
Epoch 58 | Train Loss: 0.000049 | Val Loss: 0.000104
Epoch 59 | Train Loss: 0.000053 | Val Loss: 0.000066
Epoch 60 | Train Loss: 0.000048 | Val Loss: 0.000060
Epoch 61 | Train Loss: 0.000045 | Val Loss: 0.000086
Epoch 62 | Train Loss: 0.000044 | Val Loss: 0.000067
Epoch 63 | Train Loss: 0.000040 | Val Loss: 0.000063
Epoch 64 | Train Loss: 0.000035 | Val Loss: 0.000056
Epoch 65 | Train Loss: 0.000034 | Val Loss: 0.000056
Epoch 66 | Train Loss: 0.000035 | Val Loss: 0.000057
Epoch 67 | Train Loss: 0.000034 | Val Loss: 0.000059
Epoch 68 | Train Loss: 0.000033 | Val Loss: 0.000057
Epoch 69 | Train Loss: 0.000033 | Val Loss: 0.000052
Epoch 70 | Train Loss: 0.000034 | Val Loss: 0.000051
Epoch 71 | Train Loss: 0.000036 | Val Loss: 0.000065
Epoch 72 | Train Loss: 0.000038 | Val Loss: 0.000058
Epoch 73 | Train Loss: 0.000032 | Val Loss: 0.000055
Epoch 74 | Train Loss: 0.000030 | Val Loss: 0.000051
Epoch 75 | Train Loss: 0.000029 | Val Loss: 0.000053
Epoch 76 | Train Loss: 0.000030 | Val Loss: 0.000052
Epoch 77 | Train Loss: 0.000027 | Val Loss: 0.000054
Epoch 78 | Train Loss: 0.000028 | Val Loss: 0.000052
Epoch 79 | Train Loss: 0.000028 | Val Loss: 0.000051
Epoch 80 | Train Loss: 0.000028 | Val Loss: 0.000050
Epoch 81 | Train Loss: 0.000027 | Val Loss: 0.000053
Epoch 82 | Train Loss: 0.000027 | Val Loss: 0.000056
Epoch 83 | Train Loss: 0.000029 | Val Loss: 0.000048
