case_index	design_wavelength_nm	candidate_index	selected	wavelength_eligible	final_min_wavelength_nm	final_abs_wavelength_error_nm	final_min_transmittance	final_fwhm_nm	valley_penalty_normalized	fwhm_penalty_normalized	quality_score	cvae_min_wavelength_nm	cvae_min_transmittance	cvae_fwhm_nm	ideal_to_final_mse	R	n_host
1.0000000000e+00	4.1000000000e+02	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	4.1037591553e+02	3.7591552734e-01	1.1607178301e-01	1.5707464693e+01	1.1607178301e+00	5.2358215644e-01	8.4214999325e-01	4.1079562378e+02	1.3961605728e-01	1.5639824558e+01	9.3472525477e-03	3.9404585361e+00	1.5461682081e+00
1.0000000000e+00	4.1000000000e+02	1.0000000000e+00	0.0000000000e+00	1.0000000000e+00	4.1079562378e+02	7.9562377930e-01	2.4834099412e-01	1.4985452921e+01	2.4834099412e+00	4.9951509737e-01	1.4914625193e+00	4.1079562378e+02	3.3437359333e-01	1.6764597751e+01	1.4356170781e-02	3.4306955338e+00	1.5392209291e+00
1.0000000000e+00	4.1000000000e+02	2.0000000000e+00	0.0000000000e+00	1.0000000000e+00	4.1037591553e+02	3.7591552734e-01	4.5665581711e-03	3.1009984943e+01	4.5665581711e-02	1.0336661648e+00	5.3966587324e-01	4.1163504028e+02	1.3307717629e-02	3.1741097093e+01	1.6830862733e-03	5.8692770004e+00	1.5553113222e+00
1.0000000000e+00	4.1000000000e+02	3.0000000000e+00	0.0000000000e+00	1.0000000000e+00	4.1037591553e+02	3.7591552734e-01	9.2770280316e-03	2.6445904195e+01	9.2770280316e-02	8.8153013984e-01	4.8715021008e-01	4.0953649902e+02	5.7447995991e-02	2.8462372709e+01	1.5545616625e-03	5.4278211594e+00	1.5437780619e+00
1.0000000000e+00	4.1000000000e+02	4.0000000000e+00	0.0000000000e+00	1.0000000000e+00	4.1079562378e+02	7.9562377930e-01	2.4279966950e-01	1.4736267247e+01	2.4279966950e+00	4.9120890824e-01	1.4596028016e+00	4.1163504028e+02	2.3506638408e-01	1.4630925902e+01	1.4177105390e-02	3.4676241875e+00	1.5662901402e+00
1.0000000000e+00	4.1000000000e+02	5.0000000000e+00	0.0000000000e+00	1.0000000000e+00	4.1037591553e+02	3.7591552734e-01	6.4378507435e-02	1.7620387005e+01	6.4378507435e-01	5.8734623349e-01	6.1556565392e-01	4.1079562378e+02	9.3070566654e-02	1.8950467899e+01	6.5126926638e-03	4.2964725494e+00	1.5578026772e+00
1.0000000000e+00	4.1000000000e+02	6.0000000000e+00	0.0000000000e+00	1.0000000000e+00	4.1037591553e+02	3.7591552734e-01	2.9628174379e-03	3.5256700453e+01	2.9628174379e-02	1.1752233484e+00	6.0242576140e-01	4.0953649902e+02	1.0283374228e-02	3.6050825725e+01	2.5812259410e-03	6.2047386169e+00	1.5420545340e+00
1.0000000000e+00	4.1000000000e+02	7.0000000000e+00	0.0000000000e+00	1.0000000000e+00	4.1037591553e+02	3.7591552734e-01	5.6384750642e-03	2.9495265392e+01	5.6384750642e-02	9.8317551306e-01	5.1978013185e-01	4.1079562378e+02	2.8469117358e-02	3.1188098956e+01	1.5734416666e-03	5.7370300293e+00	1.5606017113e+00
1.0000000000e+00	4.1000000000e+02	8.0000000000e+00	0.0000000000e+00	1.0000000000e+00	4.1037591553e+02	3.7591552734e-01	7.1833403781e-03	2.7698864798e+01	7.1833403781e-02	9.2329549327e-01	4.9756444853e-01	4.1079562378e+02	2.2829202935e-02	2.8575497687e+01	1.4499671524e-03	5.5689530373e+00	1.5480158329e+00
1.0000000000e+00	4.1000000000e+02	9.0000000000e+00	0.0000000000e+00	1.0000000000e+00	4.1079562378e+02	7.9562377930e-01	2.4315267801e-01	1.4419413429e+01	2.4315267801e+00	4.8064711429e-01	1.4560869472e+00	4.1079562378e+02	2.4286861718e-01	1.4405091142e+01	1.4539617114e-02	3.4348220825e+00	1.5633589029e+00
