case_index	design_wavelength_nm	target_grid_index	target_grid_wavelength_nm	direct_R	direct_n_host	direct_final_min_index	direct_final_min_wavelength_nm	direct_signed_wavelength_error_nm	direct_absolute_wavelength_error_nm	direct_final_min_transmittance	direct_ideal_to_tandem_mse	cvae_selected_candidate_index	cvae_minimum_peak_index_error	cvae_target_min_index	cvae_target_min_wavelength_nm	cvae_target_min_transmittance	cvae_R	cvae_n_host	cvae_final_min_index	cvae_final_min_wavelength_nm	cvae_signed_wavelength_error_nm	cvae_absolute_wavelength_error_nm	cvae_final_min_transmittance	cvae_ideal_to_tandem_mse	cvae_to_tandem_mse	absolute_error_reduction_direct_minus_cvae_nm	direct_final_fwhm_nm	cvae_target_fwhm_nm	cvae_final_fwhm_nm	cvae_selected_quality_score	cvae_effective_wavelength_limit_nm	cvae_selection_used_fallback
1.0000000000e+00	4.1000000000e+02	7.2000000000e+01	4.0995620728e+02	5.6477222443e+00	1.5600657463e+00	7.3000000000e+01	4.1037591553e+02	3.7591552734e-01	3.7591552734e-01	6.4614657313e-03	1.5138826566e-03	1.0000000000e+01	1.0000000000e+00	7.6000000000e+01	4.1163504028e+02	3.5439487547e-02	5.0552554131e+00	1.5597651005e+00	7.3000000000e+01	4.1037591553e+02	3.7591552734e-01	3.7591552734e-01	1.6171099618e-02	2.4194936268e-03	3.0827912269e-04	0.0000000000e+00	2.8504136177e+01	2.4950497363e+01	2.3124609578e+01	4.6626565772e-01	2.0000000000e+00	0.0000000000e+00
2.0000000000e+00	4.1827586207e+02	9.2000000000e+01	4.1835037231e+02	5.4509935379e+00	1.6215509176e+00	9.0000000000e+01	4.1751095581e+02	-7.6490625842e-01	7.6490625842e-01	6.5478077158e-03	1.3396400027e-03	3.0000000000e+00	0.0000000000e+00	9.0000000000e+01	4.1751095581e+02	5.6492831558e-02	5.1351451874e+00	1.6076989174e+00	9.0000000000e+01	4.1751095581e+02	-7.6490625842e-01	7.6490625842e-01	9.2924237251e-03	2.2349881474e-03	2.9710418312e-04	0.0000000000e+00	2.9433681437e+01	2.7877959488e+01	2.5256698873e+01	4.6740709985e-01	2.0000000000e+00	0.0000000000e+00
3.0000000000e+00	4.2655172414e+02	1.1200000000e+02	4.2674456787e+02	5.2275419235e+00	1.6801892519e+00	1.1700000000e+02	4.2884310913e+02	2.2913849929e+00	2.2913849929e+00	1.0986010544e-02	1.8054918619e-03	1.8000000000e+01	0.0000000000e+00	1.1100000000e+02	4.2632485962e+02	3.6201734096e-02	5.2934589386e+00	1.6757115126e+00	1.1500000000e+02	4.2800369263e+02	1.4519684890e+00	1.4519684890e+00	1.3432790525e-02	1.6454345314e-03	1.1378905037e-04	8.3941650391e-01	2.9611749308e+01	3.2145826264e+01	3.0367953971e+01	5.7329651880e-01	2.0000000000e+00	0.0000000000e+00
4.0000000000e+00	4.3482758621e+02	1.3100000000e+02	4.3471905518e+02	5.0188345909e+00	1.7402479649e+00	1.3700000000e+02	4.3723730469e+02	2.4097184806e+00	2.4097184806e+00	7.1764606982e-03	1.8772460753e-03	3.0000000000e+00	0.0000000000e+00	1.2700000000e+02	4.3304022217e+02	3.4541681409e-02	5.1152935028e+00	1.7267100811e+00	1.3000000000e+02	4.3429934692e+02	-5.2823928307e-01	5.2823928307e-01	1.6326429322e-02	1.7286747461e-03	1.0646996816e-04	1.8814791975e+00	2.9903765911e+01	3.2077534284e+01	3.1286279187e+01	6.0307013307e-01	2.0000000000e+00	0.0000000000e+00
5.0000000000e+00	4.4310344828e+02	1.5100000000e+02	4.4311325073e+02	4.9725246429e+00	1.7981944084e+00	1.5500000000e+02	4.4479208374e+02	1.6886354644e+00	1.6886354644e+00	6.5159364603e-03	1.6579932999e-03	1.6000000000e+01	0.0000000000e+00	1.5100000000e+02	4.4311325073e+02	4.0986731648e-02	4.6738591194e+00	1.7928590775e+00	1.5500000000e+02	4.4479208374e+02	1.6886354644e+00	1.6886354644e+00	1.1366931722e-02	1.7422537785e-03	6.3689949457e-04	0.0000000000e+00	2.9700775042e+01	2.6787070742e+01	2.6670432673e+01	5.0134186983e-01	2.0000000000e+00	0.0000000000e+00
6.0000000000e+00	4.5137931034e+02	1.7100000000e+02	4.5150741577e+02	4.9106426239e+00	1.8512474298e+00	1.7300000000e+02	4.5234683228e+02	9.6752193056e-01	9.6752193056e-01	7.2635551915e-03	1.4678636799e-03	1.6000000000e+01	1.0000000000e+00	1.7000000000e+02	4.5108770752e+02	4.8446588218e-02	4.6669368744e+00	1.8466780186e+00	1.7300000000e+02	4.5234683228e+02	9.6752193056e-01	9.6752193056e-01	1.2151049450e-02	1.4491035836e-03	2.2214968340e-04	0.0000000000e+00	2.9823854521e+01	2.8451533923e+01	2.7047932999e+01	5.1155413056e-01	2.0000000000e+00	0.0000000000e+00
7.0000000000e+00	4.5965517241e+02	1.9000000000e+02	4.5948190308e+02	4.8728380203e+00	1.8991279602e+00	1.9000000000e+02	4.5948190308e+02	-1.7326933762e-01	1.7326933762e-01	9.6826953813e-03	1.5162323834e-03	5.0000000000e+00	0.0000000000e+00	1.8800000000e+02	4.5864248657e+02	5.4179668427e-02	4.3831472397e+00	1.9053070545e+00	1.9000000000e+02	4.5948190308e+02	-1.7326933762e-01	1.7326933762e-01	2.2373108193e-02	2.0093694329e-03	8.3737962996e-05	0.0000000000e+00	2.9960553744e+01	2.5497667323e+01	2.4740041473e+01	5.2419956552e-01	2.0000000000e+00	0.0000000000e+00
8.0000000000e+00	4.6793103448e+02	2.1000000000e+02	4.6787609863e+02	4.8035564423e+00	1.9452837706e+00	2.0600000000e+02	4.6619726562e+02	-1.7337688578e+00	1.7337688578e+00	9.0136490762e-03	1.6689974582e-03	8.0000000000e+00	0.0000000000e+00	2.0600000000e+02	4.6619726562e+02	3.8234729320e-02	4.7233872414e+00	1.9511798620e+00	2.0600000000e+02	4.6619726562e+02	-1.7337688578e+00	1.7337688578e+00	1.1983434670e-02	1.5617000172e-03	1.0221287812e-04	0.0000000000e+00	3.0075670250e+01	2.9448528824e+01	2.8942778773e+01	5.4229681956e-01	2.0000000000e+00	0.0000000000e+00
9.0000000000e+00	4.7620689655e+02	2.3000000000e+02	4.7627029419e+02	4.6550912857e+00	1.9909598827e+00	2.3000000000e+02	4.7627029419e+02	6.3397637729e-02	6.3397637729e-02	1.6782011837e-02	1.6978087369e-03	8.0000000000e+00	1.0000000000e+00	2.2900000000e+02	4.7585058594e+02	5.4084740579e-02	4.4189929962e+00	2.0070772171e+00	2.3000000000e+02	4.7627029419e+02	6.3397637729e-02	6.3397637729e-02	2.8219757602e-02	1.7700776225e-03	4.9889622460e-05	0.0000000000e+00	3.1014733629e+01	2.9459993401e+01	2.8705256013e+01	6.1951972156e-01	2.0000000000e+00	0.0000000000e+00
1.0000000000e+01	4.8448275862e+02	2.5000000000e+02	4.8466445923e+02	4.5332012177e+00	2.0419952869e+00	2.4900000000e+02	4.8424475098e+02	-2.3800764413e-01	2.3800764413e-01	1.8232090399e-02	1.6874854919e-03	1.1000000000e+01	1.0000000000e+00	2.6400000000e+02	4.9054040527e+02	8.8675104082e-02	4.4929237366e+00	2.0633614063e+00	2.4900000000e+02	4.8424475098e+02	-2.3800764413e-01	2.3800764413e-01	1.6176950186e-02	1.9157858333e-03	1.0678073158e-03	0.0000000000e+00	3.2055269578e+01	3.6854708741e+01	3.1304493357e+01	6.0262630688e-01	2.0000000000e+00	0.0000000000e+00
