n_cases	30
design_wavelength_start_nm	410.0000000000
design_wavelength_stop_nm	650.0000000000
case_spacing	evenly_spaced_in_wavelength
target_spectrum	lorentzian_dip
lorentzian_gamma_nm	15.0000000000
random_seed	42
cvae_candidates_per_case	20
cvae_selection_metric	final_wavelength_tolerance_then_equal_weight_penalty_of_near_zero_valley_and_narrow_fwhm
cvae_requested_wavelength_tolerance_nm	2.0000000000
cvae_valley_reference_transmittance	0.1000000000
cvae_fwhm_reference_nm	30.0000000000
cvae_latent_sampling	same_seeded_candidate_latents_for_every_design_wavelength
direct_tandem_mean_absolute_error_nm	2.6810145586e+00
direct_tandem_median_absolute_error_nm	2.4054875867e+00
direct_tandem_max_absolute_error_nm	6.3081075734e+00
direct_tandem_wavelength_rmse_nm	3.3118046096e+00
direct_tandem_mean_signed_error_nm	-4.4060872396e-01
direct_tandem_mean_spectral_mse	1.2653734116e-02
cvae_tandem_mean_absolute_error_nm	1.0808958909e+00
cvae_tandem_median_absolute_error_nm	1.1463475721e+00
cvae_tandem_max_absolute_error_nm	1.9677544956e+00
cvae_tandem_wavelength_rmse_nm	1.2255851443e+00
cvae_tandem_mean_signed_error_nm	2.1074422201e-02
cvae_tandem_mean_spectral_mse	1.4208997472e-02
cvae_lower_absolute_error_cases	19
direct_lower_absolute_error_cases	1
equal_absolute_error_cases	10
mean_absolute_error_reduction_direct_minus_cvae_nm	1.6001186678e+00
direct_tandem_mean_min_transmittance	5.3089175373e-02
direct_tandem_mean_fwhm_nm	3.4356076755e+01
cvae_tandem_mean_min_transmittance	3.0801730230e-02
cvae_tandem_mean_fwhm_nm	3.6491621037e+01
cvae_selection_fallback_cases	0
