Epoch 0 | Train Loss: 164.480484 | Val Loss: 126.496689
Epoch 1 | Train Loss: 78.599406 | Val Loss: 77.591248
Epoch 2 | Train Loss: 61.829204 | Val Loss: 71.679977
Epoch 3 | Train Loss: 53.878575 | Val Loss: 64.821701
Epoch 4 | Train Loss: 50.530774 | Val Loss: 52.219017
Epoch 5 | Train Loss: 45.599418 | Val Loss: 47.915791
Epoch 6 | Train Loss: 43.351946 | Val Loss: 47.079948
Epoch 7 | Train Loss: 43.604952 | Val Loss: 45.084652
Epoch 8 | Train Loss: 43.321962 | Val Loss: 47.031429
Epoch 9 | Train Loss: 41.583047 | Val Loss: 44.571789
Epoch 10 | Train Loss: 39.513923 | Val Loss: 37.450535
Epoch 11 | Train Loss: 37.862956 | Val Loss: 41.347702
Epoch 12 | Train Loss: 37.627302 | Val Loss: 42.140282
Epoch 13 | Train Loss: 38.394374 | Val Loss: 42.496216
Epoch 14 | Train Loss: 37.129420 | Val Loss: 39.673199
Epoch 15 | Train Loss: 36.976406 | Val Loss: 41.279472
Epoch 16 | Train Loss: 37.886714 | Val Loss: 38.694447
Epoch 17 | Train Loss: 35.976119 | Val Loss: 37.415211
Epoch 18 | Train Loss: 34.670487 | Val Loss: 36.145561
Epoch 19 | Train Loss: 31.767298 | Val Loss: 35.264240
Epoch 20 | Train Loss: 34.018219 | Val Loss: 34.235924
Epoch 21 | Train Loss: 32.872852 | Val Loss: 34.364140
Epoch 22 | Train Loss: 32.965486 | Val Loss: 32.589554
Epoch 23 | Train Loss: 32.287223 | Val Loss: 32.967999
Epoch 24 | Train Loss: 32.774755 | Val Loss: 33.195992
Epoch 25 | Train Loss: 32.129233 | Val Loss: 30.993650
Epoch 26 | Train Loss: 32.907696 | Val Loss: 34.778095
Epoch 27 | Train Loss: 32.222194 | Val Loss: 32.071342
Epoch 28 | Train Loss: 31.193729 | Val Loss: 34.217167
Epoch 29 | Train Loss: 31.642699 | Val Loss: 35.982887
Epoch 30 | Train Loss: 31.373331 | Val Loss: 29.679045
Epoch 31 | Train Loss: 31.908810 | Val Loss: 34.799911
Epoch 32 | Train Loss: 30.308511 | Val Loss: 32.766941
Epoch 33 | Train Loss: 30.606775 | Val Loss: 29.325895
Epoch 34 | Train Loss: 30.693174 | Val Loss: 29.860003
Epoch 35 | Train Loss: 31.179234 | Val Loss: 34.460541
Epoch 36 | Train Loss: 30.754017 | Val Loss: 32.102985
Epoch 37 | Train Loss: 28.736262 | Val Loss: 31.227924
Epoch 38 | Train Loss: 30.279006 | Val Loss: 30.990341
Epoch 39 | Train Loss: 31.184908 | Val Loss: 27.236488
Epoch 40 | Train Loss: 29.925322 | Val Loss: 35.265297
Epoch 41 | Train Loss: 29.493336 | Val Loss: 29.107967
Epoch 42 | Train Loss: 29.914723 | Val Loss: 31.377165
Epoch 43 | Train Loss: 28.179459 | Val Loss: 28.797110
Epoch 44 | Train Loss: 28.852794 | Val Loss: 27.461281
Epoch 45 | Train Loss: 28.740853 | Val Loss: 27.027245
Epoch 46 | Train Loss: 29.401316 | Val Loss: 28.422037
Epoch 47 | Train Loss: 28.172726 | Val Loss: 27.687063
Epoch 48 | Train Loss: 29.115848 | Val Loss: 27.132992
Epoch 49 | Train Loss: 27.764868 | Val Loss: 29.367493
Epoch 50 | Train Loss: 29.029647 | Val Loss: 26.525356
Epoch 51 | Train Loss: 27.970196 | Val Loss: 29.928688
Epoch 52 | Train Loss: 28.616096 | Val Loss: 28.602036
Epoch 53 | Train Loss: 28.366569 | Val Loss: 28.261332
Epoch 54 | Train Loss: 26.733913 | Val Loss: 29.956085
Epoch 55 | Train Loss: 27.924255 | Val Loss: 24.126801
Epoch 56 | Train Loss: 29.133570 | Val Loss: 25.833036
Epoch 57 | Train Loss: 26.621849 | Val Loss: 26.187695
Epoch 58 | Train Loss: 28.059230 | Val Loss: 30.871876
Epoch 59 | Train Loss: 27.724966 | Val Loss: 27.398232
Epoch 60 | Train Loss: 26.751464 | Val Loss: 26.373123
Epoch 61 | Train Loss: 27.604949 | Val Loss: 28.846596
Epoch 62 | Train Loss: 26.083440 | Val Loss: 25.562418
Epoch 63 | Train Loss: 26.886805 | Val Loss: 27.435532
Epoch 64 | Train Loss: 24.637987 | Val Loss: 23.891668
Epoch 65 | Train Loss: 24.868012 | Val Loss: 26.358410
Epoch 66 | Train Loss: 25.469720 | Val Loss: 27.480272
Epoch 67 | Train Loss: 25.862689 | Val Loss: 27.089794
Epoch 68 | Train Loss: 24.588269 | Val Loss: 24.487106
Epoch 69 | Train Loss: 24.409063 | Val Loss: 28.074577
Epoch 70 | Train Loss: 25.979145 | Val Loss: 22.001106
Epoch 71 | Train Loss: 25.517655 | Val Loss: 28.726223
Epoch 72 | Train Loss: 26.060553 | Val Loss: 24.925556
Epoch 73 | Train Loss: 25.874569 | Val Loss: 23.815544
Epoch 74 | Train Loss: 24.665991 | Val Loss: 25.063610
Epoch 75 | Train Loss: 24.477965 | Val Loss: 28.780960
Epoch 76 | Train Loss: 24.040578 | Val Loss: 25.293243
Epoch 77 | Train Loss: 23.414375 | Val Loss: 25.304420
Epoch 78 | Train Loss: 24.305477 | Val Loss: 25.630238
Epoch 79 | Train Loss: 22.914439 | Val Loss: 23.627851
Epoch 80 | Train Loss: 22.492621 | Val Loss: 22.528416
Epoch 81 | Train Loss: 23.333496 | Val Loss: 20.060844
Epoch 82 | Train Loss: 23.035490 | Val Loss: 25.494040
Epoch 83 | Train Loss: 23.622440 | Val Loss: 23.993078
Epoch 84 | Train Loss: 23.421833 | Val Loss: 25.977121
Epoch 85 | Train Loss: 23.157213 | Val Loss: 25.074238
Epoch 86 | Train Loss: 23.653729 | Val Loss: 23.530474
Epoch 87 | Train Loss: 23.596367 | Val Loss: 24.427177
Epoch 88 | Train Loss: 23.011888 | Val Loss: 24.109720
Epoch 89 | Train Loss: 21.804897 | Val Loss: 21.640926
Epoch 90 | Train Loss: 22.884263 | Val Loss: 21.632378
Epoch 91 | Train Loss: 21.451907 | Val Loss: 22.720161
Epoch 92 | Train Loss: 21.776556 | Val Loss: 21.534338
Epoch 93 | Train Loss: 21.682707 | Val Loss: 24.645741
Epoch 94 | Train Loss: 21.893583 | Val Loss: 23.480400
Epoch 95 | Train Loss: 20.699284 | Val Loss: 23.297318
Epoch 96 | Train Loss: 22.267587 | Val Loss: 21.940449
Epoch 97 | Train Loss: 21.978370 | Val Loss: 20.811050
Epoch 98 | Train Loss: 21.158980 | Val Loss: 20.825264
Epoch 99 | Train Loss: 20.476041 | Val Loss: 21.720779
Epoch 100 | Train Loss: 20.515100 | Val Loss: 21.593836
Epoch 101 | Train Loss: 20.592744 | Val Loss: 21.935215
Epoch 102 | Train Loss: 19.642685 | Val Loss: 18.843323
Epoch 103 | Train Loss: 20.274842 | Val Loss: 19.441023
Epoch 104 | Train Loss: 20.359945 | Val Loss: 18.499067
Epoch 105 | Train Loss: 20.134800 | Val Loss: 23.274044
Epoch 106 | Train Loss: 19.693434 | Val Loss: 18.996557
Epoch 107 | Train Loss: 19.816838 | Val Loss: 19.104263
Epoch 108 | Train Loss: 19.320697 | Val Loss: 19.147549
Epoch 109 | Train Loss: 19.150384 | Val Loss: 19.137461
Epoch 110 | Train Loss: 20.096213 | Val Loss: 18.201571
Epoch 111 | Train Loss: 19.500021 | Val Loss: 19.676792
Epoch 112 | Train Loss: 20.263976 | Val Loss: 22.442936
Epoch 113 | Train Loss: 18.442837 | Val Loss: 21.017490
Epoch 114 | Train Loss: 19.220896 | Val Loss: 21.532463
Epoch 115 | Train Loss: 19.454582 | Val Loss: 19.479300
Epoch 116 | Train Loss: 19.222496 | Val Loss: 19.738346
Epoch 117 | Train Loss: 19.096326 | Val Loss: 20.017666
Epoch 118 | Train Loss: 19.083257 | Val Loss: 19.231319
Epoch 119 | Train Loss: 18.846306 | Val Loss: 16.815399
Epoch 120 | Train Loss: 19.519426 | Val Loss: 17.291752
Epoch 121 | Train Loss: 18.314332 | Val Loss: 19.023556
Epoch 122 | Train Loss: 18.397053 | Val Loss: 17.403891
Epoch 123 | Train Loss: 18.161814 | Val Loss: 17.100216
Epoch 124 | Train Loss: 18.055644 | Val Loss: 18.760530
Epoch 125 | Train Loss: 17.086951 | Val Loss: 20.062962
Epoch 126 | Train Loss: 17.510022 | Val Loss: 17.381355
Epoch 127 | Train Loss: 16.661511 | Val Loss: 16.191614
Epoch 128 | Train Loss: 17.044040 | Val Loss: 16.822241
Epoch 129 | Train Loss: 16.876904 | Val Loss: 15.635675
Epoch 130 | Train Loss: 17.129401 | Val Loss: 16.332481
Epoch 131 | Train Loss: 16.298926 | Val Loss: 14.909693
Epoch 132 | Train Loss: 16.250999 | Val Loss: 14.244196
Epoch 133 | Train Loss: 16.488004 | Val Loss: 15.472129
Epoch 134 | Train Loss: 16.713798 | Val Loss: 14.266468
Epoch 135 | Train Loss: 16.514422 | Val Loss: 14.589903
Epoch 136 | Train Loss: 15.554166 | Val Loss: 14.975994
Epoch 137 | Train Loss: 16.534939 | Val Loss: 16.708172
