Epoch 0 | Train Loss: 0.054756 | Val Loss: 0.045732
Epoch 1 | Train Loss: 0.030920 | Val Loss: 0.022699
Epoch 2 | Train Loss: 0.022466 | Val Loss: 0.022077
Epoch 3 | Train Loss: 0.020242 | Val Loss: 0.018370
Epoch 4 | Train Loss: 0.016414 | Val Loss: 0.013822
Epoch 5 | Train Loss: 0.012234 | Val Loss: 0.010957
Epoch 6 | Train Loss: 0.011205 | Val Loss: 0.010953
Epoch 7 | Train Loss: 0.011644 | Val Loss: 0.010221
Epoch 8 | Train Loss: 0.009368 | Val Loss: 0.008293
Epoch 9 | Train Loss: 0.007960 | Val Loss: 0.006580
Epoch 10 | Train Loss: 0.006915 | Val Loss: 0.006752
Epoch 11 | Train Loss: 0.006205 | Val Loss: 0.005943
Epoch 12 | Train Loss: 0.005856 | Val Loss: 0.005808
Epoch 13 | Train Loss: 0.005148 | Val Loss: 0.004637
Epoch 14 | Train Loss: 0.005144 | Val Loss: 0.005717
Epoch 15 | Train Loss: 0.005028 | Val Loss: 0.005244
Epoch 16 | Train Loss: 0.005197 | Val Loss: 0.005098
Epoch 17 | Train Loss: 0.004975 | Val Loss: 0.004831
Epoch 18 | Train Loss: 0.004535 | Val Loss: 0.004430
Epoch 19 | Train Loss: 0.003989 | Val Loss: 0.003177
Epoch 20 | Train Loss: 0.003461 | Val Loss: 0.003646
Epoch 21 | Train Loss: 0.003351 | Val Loss: 0.003601
Epoch 22 | Train Loss: 0.003592 | Val Loss: 0.003433
Epoch 23 | Train Loss: 0.003192 | Val Loss: 0.003315
Epoch 24 | Train Loss: 0.003285 | Val Loss: 0.002741
Epoch 25 | Train Loss: 0.002752 | Val Loss: 0.003045
Epoch 26 | Train Loss: 0.002953 | Val Loss: 0.004133
Epoch 27 | Train Loss: 0.003452 | Val Loss: 0.002947
Epoch 28 | Train Loss: 0.002956 | Val Loss: 0.002148
Epoch 29 | Train Loss: 0.002593 | Val Loss: 0.002519
Epoch 30 | Train Loss: 0.002306 | Val Loss: 0.002285
Epoch 31 | Train Loss: 0.002470 | Val Loss: 0.002569
Epoch 32 | Train Loss: 0.002373 | Val Loss: 0.002288
Epoch 33 | Train Loss: 0.002038 | Val Loss: 0.001835
Epoch 34 | Train Loss: 0.002045 | Val Loss: 0.002346
Epoch 35 | Train Loss: 0.001976 | Val Loss: 0.002226
Epoch 36 | Train Loss: 0.001753 | Val Loss: 0.001907
Epoch 37 | Train Loss: 0.001986 | Val Loss: 0.002316
Epoch 38 | Train Loss: 0.002607 | Val Loss: 0.002457
Epoch 39 | Train Loss: 0.002199 | Val Loss: 0.002689
Epoch 40 | Train Loss: 0.002184 | Val Loss: 0.001878
Epoch 41 | Train Loss: 0.002448 | Val Loss: 0.002269
Epoch 42 | Train Loss: 0.002173 | Val Loss: 0.002086
Epoch 43 | Train Loss: 0.002008 | Val Loss: 0.001671
Epoch 44 | Train Loss: 0.001670 | Val Loss: 0.001751
Epoch 45 | Train Loss: 0.001695 | Val Loss: 0.001673
Epoch 46 | Train Loss: 0.001627 | Val Loss: 0.001355
Epoch 47 | Train Loss: 0.001472 | Val Loss: 0.001642
Epoch 48 | Train Loss: 0.001579 | Val Loss: 0.001545
Epoch 49 | Train Loss: 0.001884 | Val Loss: 0.002987
Epoch 50 | Train Loss: 0.002668 | Val Loss: 0.002067
Epoch 51 | Train Loss: 0.002176 | Val Loss: 0.002120
Epoch 52 | Train Loss: 0.001852 | Val Loss: 0.001801
Epoch 53 | Train Loss: 0.001492 | Val Loss: 0.001378
Epoch 54 | Train Loss: 0.001330 | Val Loss: 0.001462
Epoch 55 | Train Loss: 0.001256 | Val Loss: 0.001233
Epoch 56 | Train Loss: 0.001081 | Val Loss: 0.001388
Epoch 57 | Train Loss: 0.001177 | Val Loss: 0.001072
Epoch 58 | Train Loss: 0.000945 | Val Loss: 0.000995
Epoch 59 | Train Loss: 0.000897 | Val Loss: 0.001054
