Epoch 0 | Train Loss: 0.040363 | Val Loss: 0.086604
Epoch 1 | Train Loss: 0.078498 | Val Loss: 0.054626
Epoch 2 | Train Loss: 0.047889 | Val Loss: 0.040344
Epoch 3 | Train Loss: 0.038725 | Val Loss: 0.041169
Epoch 4 | Train Loss: 0.038228 | Val Loss: 0.031968
Epoch 5 | Train Loss: 0.030032 | Val Loss: 0.027311
Epoch 6 | Train Loss: 0.024482 | Val Loss: 0.021255
Epoch 7 | Train Loss: 0.018836 | Val Loss: 0.012305
Epoch 8 | Train Loss: 0.014439 | Val Loss: 0.011863
Epoch 9 | Train Loss: 0.009814 | Val Loss: 0.008116
Epoch 10 | Train Loss: 0.007562 | Val Loss: 0.003708
Epoch 11 | Train Loss: 0.006462 | Val Loss: 0.003788
Epoch 12 | Train Loss: 0.004698 | Val Loss: 0.005812
Epoch 13 | Train Loss: 0.007693 | Val Loss: 0.007330
Epoch 14 | Train Loss: 0.006019 | Val Loss: 0.004074
Epoch 15 | Train Loss: 0.004738 | Val Loss: 0.004433
Epoch 16 | Train Loss: 0.005721 | Val Loss: 0.005218
Epoch 17 | Train Loss: 0.004230 | Val Loss: 0.004430
Epoch 18 | Train Loss: 0.003013 | Val Loss: 0.001722
Epoch 19 | Train Loss: 0.003235 | Val Loss: 0.001836
Epoch 20 | Train Loss: 0.002352 | Val Loss: 0.001724
Epoch 21 | Train Loss: 0.002146 | Val Loss: 0.003164
Epoch 22 | Train Loss: 0.002506 | Val Loss: 0.000956
Epoch 23 | Train Loss: 0.001219 | Val Loss: 0.000789
Epoch 24 | Train Loss: 0.001297 | Val Loss: 0.003039
Epoch 25 | Train Loss: 0.001642 | Val Loss: 0.001178
Epoch 26 | Train Loss: 0.001628 | Val Loss: 0.001848
Epoch 27 | Train Loss: 0.001525 | Val Loss: 0.001006
Epoch 28 | Train Loss: 0.002484 | Val Loss: 0.001683
Epoch 29 | Train Loss: 0.002254 | Val Loss: 0.000566
Epoch 30 | Train Loss: 0.001603 | Val Loss: 0.002062
Epoch 31 | Train Loss: 0.002525 | Val Loss: 0.002657
Epoch 32 | Train Loss: 0.003188 | Val Loss: 0.004746
Epoch 33 | Train Loss: 0.003083 | Val Loss: 0.002253
Epoch 34 | Train Loss: 0.001136 | Val Loss: 0.000864
Epoch 35 | Train Loss: 0.000645 | Val Loss: 0.000624
Epoch 36 | Train Loss: 0.000518 | Val Loss: 0.000344
Epoch 37 | Train Loss: 0.000867 | Val Loss: 0.000679
Epoch 38 | Train Loss: 0.001636 | Val Loss: 0.001758
Epoch 39 | Train Loss: 0.001266 | Val Loss: 0.000838
Epoch 40 | Train Loss: 0.001160 | Val Loss: 0.001797
Epoch 41 | Train Loss: 0.000990 | Val Loss: 0.000849
Epoch 42 | Train Loss: 0.000925 | Val Loss: 0.000530
Epoch 43 | Train Loss: 0.000839 | Val Loss: 0.000616
Epoch 44 | Train Loss: 0.001468 | Val Loss: 0.001442
Epoch 45 | Train Loss: 0.001763 | Val Loss: 0.001025
Epoch 46 | Train Loss: 0.000959 | Val Loss: 0.001195
Epoch 47 | Train Loss: 0.001584 | Val Loss: 0.002647
Epoch 48 | Train Loss: 0.002008 | Val Loss: 0.004430
Epoch 49 | Train Loss: 0.003110 | Val Loss: 0.001809
Epoch 50 | Train Loss: 0.002588 | Val Loss: 0.003959
Epoch 51 | Train Loss: 0.002087 | Val Loss: 0.001742
Epoch 52 | Train Loss: 0.001499 | Val Loss: 0.001053
Epoch 53 | Train Loss: 0.001194 | Val Loss: 0.001739
Epoch 54 | Train Loss: 0.002012 | Val Loss: 0.002050
Epoch 55 | Train Loss: 0.002974 | Val Loss: 0.001004
Epoch 56 | Train Loss: 0.002152 | Val Loss: 0.001210
Epoch 57 | Train Loss: 0.001206 | Val Loss: 0.001881
Epoch 58 | Train Loss: 0.003918 | Val Loss: 0.003280
Epoch 59 | Train Loss: 0.003086 | Val Loss: 0.003824
Epoch 60 | Train Loss: 0.003505 | Val Loss: 0.002476
Epoch 61 | Train Loss: 0.002176 | Val Loss: 0.002096
Epoch 62 | Train Loss: 0.002299 | Val Loss: 0.002321
Epoch 63 | Train Loss: 0.001568 | Val Loss: 0.001097
Epoch 64 | Train Loss: 0.001046 | Val Loss: 0.000615
Epoch 65 | Train Loss: 0.001052 | Val Loss: 0.002290
Epoch 66 | Train Loss: 0.001442 | Val Loss: 0.001819
Epoch 67 | Train Loss: 0.000960 | Val Loss: 0.000843
Epoch 68 | Train Loss: 0.000687 | Val Loss: 0.000673
Epoch 69 | Train Loss: 0.001035 | Val Loss: 0.001037
Epoch 70 | Train Loss: 0.000674 | Val Loss: 0.000562
