wavelength_nm	ideal_target_transmittance	tandem_response_transmittance
3.7973711347e+02	7.3560231924e-01	6.4347356558e-01
3.8015682291e+02	7.2911179066e-01	6.3999491930e-01
3.8057653235e+02	7.2240662575e-01	6.3527405262e-01
3.8099624179e+02	7.1547907591e-01	6.3084030151e-01
3.8141595123e+02	7.0832115412e-01	6.2658905983e-01
3.8183566067e+02	7.0092463493e-01	6.2084287405e-01
3.8225537011e+02	6.9328111410e-01	6.1616337299e-01
3.8267507956e+02	6.8538200855e-01	6.1056780815e-01
3.8309478900e+02	6.7721849680e-01	6.0582566261e-01
3.8351449844e+02	6.6878175735e-01	6.0040581226e-01
3.8393420788e+02	6.6006278992e-01	5.9390407801e-01
3.8435391732e+02	6.5105241537e-01	5.8887839317e-01
3.8477362676e+02	6.4174157381e-01	5.8293992281e-01
3.8519333620e+02	6.3212108612e-01	5.7718640566e-01
3.8561304564e+02	6.2218183279e-01	5.7155799866e-01
3.8603275508e+02	6.1191493273e-01	5.6591045856e-01
3.8645246453e+02	6.0131162405e-01	5.6088727713e-01
3.8687217397e+02	5.9036332369e-01	5.5473232269e-01
3.8729188341e+02	5.7906198502e-01	5.4762667418e-01
3.8771159285e+02	5.6739991903e-01	5.4208463430e-01
3.8813130229e+02	5.5537009239e-01	5.3490078449e-01
3.8855101173e+02	5.4296624660e-01	5.2869164944e-01
3.8897072117e+02	5.3018295765e-01	5.2200597525e-01
3.8939043061e+02	5.1701587439e-01	5.1566994190e-01
3.8981014006e+02	5.0346201658e-01	5.0811052322e-01
3.9022984950e+02	4.8951977491e-01	5.0170916319e-01
3.9064955894e+02	4.7518929839e-01	4.9402374029e-01
3.9106926838e+02	4.6047273278e-01	4.8646634817e-01
3.9148897782e+02	4.4537445903e-01	4.7779965401e-01
3.9190868726e+02	4.2990139127e-01	4.6947166324e-01
3.9232839670e+02	4.1406336427e-01	4.6029728651e-01
3.9274810614e+02	3.9787337184e-01	4.5125666261e-01
3.9316781559e+02	3.8134795427e-01	4.4137555361e-01
3.9358752503e+02	3.6450761557e-01	4.3115830421e-01
3.9400723447e+02	3.4737709165e-01	4.1960272193e-01
3.9442694391e+02	3.2998579741e-01	4.0838673711e-01
3.9484665335e+02	3.1236806512e-01	3.9767652750e-01
3.9526636279e+02	2.9456362128e-01	3.8395369053e-01
3.9568607223e+02	2.7661773562e-01	3.7102404237e-01
3.9610578167e+02	2.5858154893e-01	3.5726943612e-01
3.9652549111e+02	2.4051225185e-01	3.4370627999e-01
3.9694520056e+02	2.2247312963e-01	3.2923287153e-01
3.9736491000e+02	2.0453362167e-01	3.1307992339e-01
3.9778461944e+02	1.8676917255e-01	2.9747268558e-01
3.9820432888e+02	1.6926100850e-01	2.8072279692e-01
3.9862403832e+02	1.5209572017e-01	2.6380407810e-01
3.9904374776e+02	1.3536466658e-01	2.4690426886e-01
3.9946345720e+02	1.1916332692e-01	2.3002420366e-01
3.9988316664e+02	1.0359026492e-01	2.1253891289e-01
4.0030287609e+02	8.8746115565e-02	1.9627121091e-01
4.0072258553e+02	7.4732273817e-02	1.7879271507e-01
4.0114229497e+02	6.1649493873e-02	1.6286997497e-01
4.0156200441e+02	4.9596313387e-02	1.4748074114e-01
4.0198171385e+02	3.8667432964e-02	1.3227875531e-01
4.0240142329e+02	2.8952011839e-02	1.1885323375e-01
4.0282113273e+02	2.0531974733e-02	1.0666796565e-01
4.0324084217e+02	1.3480374590e-02	9.5106698573e-02
4.0366055162e+02	7.8598642722e-03	8.4649495780e-02
4.0408026106e+02	3.7213379983e-03	7.6762773097e-02
4.0449997050e+02	1.1027978035e-03	6.8923488259e-02
4.0491967994e+02	2.8484577342e-05	6.3603334129e-02
4.0533938938e+02	5.0831801491e-04	5.9505950660e-02
4.0575909882e+02	2.5376640260e-03	5.6824531406e-02
4.0617880826e+02	6.0974410735e-03	5.4927278310e-02
4.0659851770e+02	1.1154564098e-02	5.5971898139e-02
4.0701822714e+02	1.7662698403e-02	5.7981982827e-02
4.0743793659e+02	2.5563303381e-02	6.1880357563e-02
4.0785764603e+02	3.4786913544e-02	6.7719012499e-02
4.0827735547e+02	4.5254614204e-02	7.5053460896e-02
4.0869706491e+02	5.6879635900e-02	8.5243232548e-02
4.0911677435e+02	6.9569051266e-02	9.7626559436e-02
4.0953648379e+02	8.3225451410e-02	1.1290881038e-01
4.0995619323e+02	9.7748644650e-02	1.3066311181e-01
4.1037590267e+02	1.1303722113e-01	1.5035983920e-01
4.1079561212e+02	1.2899005413e-01	1.7240342498e-01
4.1121532156e+02	1.4550758898e-01	1.9561532140e-01
4.1163503100e+02	1.6249305010e-01	2.2004956007e-01
4.1205474044e+02	1.7985342443e-01	2.4472299218e-01
4.1247444988e+02	1.9750019908e-01	2.7013394237e-01
4.1289415932e+02	2.1535012126e-01	2.9470339417e-01
4.1331386876e+02	2.3332552612e-01	3.2001087070e-01
4.1373357820e+02	2.5135472417e-01	3.4402322769e-01
4.1415328765e+02	2.6937213540e-01	3.6749613285e-01
4.1457299709e+02	2.8731828928e-01	3.8989418745e-01
4.1499270653e+02	3.0513989925e-01	4.1306823492e-01
4.1541241597e+02	3.2278949022e-01	4.3409156799e-01
4.1583212541e+02	3.4022539854e-01	4.5399886370e-01
4.1625183485e+02	3.5741129518e-01	4.7395315766e-01
4.1667154429e+02	3.7431606650e-01	4.9190676212e-01
4.1709125373e+02	3.9091327786e-01	5.1192718744e-01
4.1751096317e+02	4.0718093514e-01	5.2843087912e-01
4.1793067262e+02	4.2310118675e-01	5.4607135057e-01
4.1835038206e+02	4.3865969777e-01	5.6220346689e-01
4.1877009150e+02	4.5384562016e-01	5.7691144943e-01
4.1918980094e+02	4.6865099669e-01	5.9276032448e-01
4.1960951038e+02	4.8307061195e-01	6.0756725073e-01
4.2002921982e+02	4.9710154533e-01	6.1817514896e-01
