wavelength_nm	ideal_target_transmittance	cvae_target_transmittance	tandem_response_transmittance
3.7973712158e+02	7.9485642910e-01	6.6235721111e-01	6.5301376581e-01
3.8015682983e+02	7.9039698839e-01	6.5994244814e-01	6.4869546890e-01
3.8057653809e+02	7.8579932451e-01	6.5716081858e-01	6.4754444361e-01
3.8099624634e+02	7.8105831146e-01	6.5448623896e-01	6.4124470949e-01
3.8141595459e+02	7.7616864443e-01	6.5143811703e-01	6.3890439272e-01
3.8183566284e+02	7.7112478018e-01	6.4864379168e-01	6.3601970673e-01
3.8225537109e+02	7.6592093706e-01	6.4595824480e-01	6.3243246078e-01
3.8267507935e+02	7.6055121422e-01	6.4310455322e-01	6.3194936514e-01
3.8309478760e+02	7.5500941277e-01	6.4009714127e-01	6.2868517637e-01
3.8351449585e+02	7.4928909540e-01	6.3721936941e-01	6.2708938122e-01
3.8393420410e+02	7.4338364601e-01	6.3442963362e-01	6.2264561653e-01
3.8435391235e+02	7.3728632927e-01	6.3178569078e-01	6.1882239580e-01
3.8477362061e+02	7.3098993301e-01	6.2865424156e-01	6.1755919456e-01
3.8519332886e+02	7.2448724508e-01	6.2608748674e-01	6.1404782534e-01
3.8561303711e+02	7.1777075529e-01	6.2358355522e-01	6.1282837391e-01
3.8603274536e+02	7.1083265543e-01	6.2022101879e-01	6.0938674212e-01
3.8645245361e+02	7.0366513729e-01	6.1714500189e-01	6.0600548983e-01
3.8687216187e+02	6.9625991583e-01	6.1441087723e-01	6.0343867540e-01
3.8729187012e+02	6.8860876560e-01	6.1128234863e-01	6.0222041607e-01
3.8771157837e+02	6.8070310354e-01	6.0822319984e-01	5.9658950567e-01
3.8813131714e+02	6.7253363132e-01	6.0521847010e-01	5.9524661303e-01
3.8855102539e+02	6.6409277916e-01	6.0227894783e-01	5.9305131435e-01
3.8897073364e+02	6.5537101030e-01	5.9883958101e-01	5.8878105879e-01
3.8939044189e+02	6.4635926485e-01	5.9539252520e-01	5.8577698469e-01
3.8981015015e+02	6.3704860210e-01	5.9195017815e-01	5.8300918341e-01
3.9022985840e+02	6.2742996216e-01	5.8827829361e-01	5.7784074545e-01
3.9064956665e+02	6.1749440432e-01	5.8417159319e-01	5.7618737221e-01
3.9106927490e+02	6.0723298788e-01	5.8041858673e-01	5.7238197327e-01
3.9148898315e+02	5.9663718939e-01	5.7641768456e-01	5.6940627098e-01
3.9190869141e+02	5.8569860458e-01	5.7112425566e-01	5.6471639872e-01
3.9232839966e+02	5.7440930605e-01	5.6656873226e-01	5.5901873112e-01
