wavelength_nm	final_network_transmittance	nearest_simulation_transmittance
3.7973711347e+02	9.4788479805e-01	9.4376798793e-01
3.8015682291e+02	9.4581025839e-01	9.4267862933e-01
3.8057653235e+02	9.4349461794e-01	9.4128326182e-01
3.8099624179e+02	9.4092935324e-01	9.3960304816e-01
3.8141595123e+02	9.3816971779e-01	9.3765919363e-01
3.8183566067e+02	9.3519639969e-01	9.3547273605e-01
3.8225537011e+02	9.3209135532e-01	9.3306435577e-01
3.8267507956e+02	9.2883479595e-01	9.3045420686e-01
3.8309478900e+02	9.2547327280e-01	9.2766177068e-01
3.8351449844e+02	9.2200601101e-01	9.2470573095e-01
3.8393420788e+02	9.1853177547e-01	9.2160387132e-01
3.8435391732e+02	9.1501015425e-01	9.1837299360e-01
3.8477362676e+02	9.1152232885e-01	9.1502885609e-01
3.8519333620e+02	9.0799802542e-01	9.1158613060e-01
3.8561304564e+02	9.0449678898e-01	9.0805794904e-01
3.8603275508e+02	9.0102255344e-01	9.0445708428e-01
3.8645246453e+02	8.9757847786e-01	9.0079518109e-01
3.8687217397e+02	8.9414209127e-01	8.9708239796e-01
3.8729188341e+02	8.9072751999e-01	8.9332782255e-01
3.8771159285e+02	8.8732731342e-01	8.8953950731e-01
3.8813130229e+02	8.8397544622e-01	8.8572451200e-01
3.8855101173e+02	8.8063913584e-01	8.8188895216e-01
3.8897072117e+02	8.7732291222e-01	8.7803805240e-01
3.8939043061e+02	8.7399333715e-01	8.7417620320e-01
3.8981014006e+02	8.7071728706e-01	8.7030702026e-01
3.9022984950e+02	8.6744970083e-01	8.6643340588e-01
3.9064955894e+02	8.6425966024e-01	8.6255761044e-01
3.9106926838e+02	8.6112350225e-01	8.5868129483e-01
3.9148897782e+02	8.5804188251e-01	8.5480559220e-01
3.9190868726e+02	8.5502511263e-01	8.5093116866e-01
3.9232839670e+02	8.5232669115e-01	8.4705828278e-01
3.9274810614e+02	8.4869480133e-01	8.4318684321e-01
3.9316781559e+02	8.4553819895e-01	8.3931646414e-01
3.9358752503e+02	8.4249454737e-01	8.3544651890e-01
3.9400723447e+02	8.3940649033e-01	8.3157618518e-01
3.9442694391e+02	8.3643758297e-01	8.2770447847e-01
3.9484665335e+02	8.3342671394e-01	8.2383033686e-01
3.9526636279e+02	8.3026957512e-01	8.1995264104e-01
3.9568607223e+02	8.2745802402e-01	8.1607025581e-01
3.9610578167e+02	8.2406568527e-01	8.1218206549e-01
3.9652549111e+02	8.2099515200e-01	8.0828700586e-01
3.9694520056e+02	8.1796604395e-01	8.0438409253e-01
3.9736491000e+02	8.1496858597e-01	8.0047244624e-01
3.9778461944e+02	8.1201660633e-01	7.9655131377e-01
3.9820432888e+02	8.0885362625e-01	7.9262008621e-01
3.9862403832e+02	8.0557054281e-01	7.8867831344e-01
3.9904374776e+02	8.0252259970e-01	7.8472571513e-01
3.9946345720e+02	7.9930615425e-01	7.8076218865e-01
3.9988316664e+02	7.9589456320e-01	7.7678770056e-01
4.0030287609e+02	7.9251921177e-01	7.7280245306e-01
4.0072258553e+02	7.8902977705e-01	7.6880709592e-01
4.0114229497e+02	7.8604131937e-01	7.6480227380e-01
4.0156200441e+02	7.8274124861e-01	7.6078880339e-01
4.0198171385e+02	7.7928584814e-01	7.5676766358e-01
4.0240142329e+02	7.7590596676e-01	7.5273998351e-01
4.0282113273e+02	7.7262777090e-01	7.4870702866e-01
4.0324084217e+02	7.6937967539e-01	7.4467018512e-01
4.0366055162e+02	7.6615065336e-01	7.4063092149e-01
4.0408026106e+02	7.6289319992e-01	7.3659095952e-01
4.0449997050e+02	7.6002949476e-01	7.3255196950e-01
4.0491967994e+02	7.5715982914e-01	7.2851564707e-01
4.0533938938e+02	7.5420910120e-01	7.2448370712e-01
4.0575909882e+02	7.5117516518e-01	7.2045786177e-01
4.0617880826e+02	7.4832594395e-01	7.1643980540e-01
4.0659851770e+02	7.4547034502e-01	7.1243170950e-01
4.0701822714e+02	7.4263906479e-01	7.0843478388e-01
4.0743793659e+02	7.3976963758e-01	7.0445049516e-01
4.0785764603e+02	7.3675942421e-01	7.0048019097e-01
4.0827735547e+02	7.3373132944e-01	6.9652507858e-01
4.0869706491e+02	7.3070836067e-01	6.9258636351e-01
4.0911677435e+02	7.2771561146e-01	6.8866562037e-01
4.0953648379e+02	7.2476363182e-01	6.8476273421e-01
4.0995619323e+02	7.2186148167e-01	6.8087811026e-01
4.1037590267e+02	7.1898031235e-01	6.7701191469e-01
4.1079561212e+02	7.1608585119e-01	6.7316405997e-01
4.1121532156e+02	7.1310210228e-01	6.6933522986e-01
4.1163503100e+02	7.0994222164e-01	6.6552369233e-01
4.1205474044e+02	7.0663362741e-01	6.6172837338e-01
4.1247444988e+02	7.0330184698e-01	6.5794795168e-01
4.1289415932e+02	6.9971346855e-01	6.5418093163e-01
4.1331386876e+02	6.9618451595e-01	6.5042562387e-01
4.1373357820e+02	6.9269001484e-01	6.4667886458e-01
4.1415328765e+02	6.8915754557e-01	6.4293790660e-01
4.1457299709e+02	6.8561840057e-01	6.3919966186e-01
4.1499270653e+02	6.8219506741e-01	6.3546037684e-01
4.1541241597e+02	6.7895233631e-01	6.3171579403e-01
4.1583212541e+02	6.7505371571e-01	6.2796166835e-01
4.1625183485e+02	6.7187178135e-01	6.2419340144e-01
4.1667154429e+02	6.6835206747e-01	6.2040470382e-01
4.1709125373e+02	6.6517573595e-01	6.1658989692e-01
4.1751096317e+02	6.6178041697e-01	6.1274382295e-01
4.1793067262e+02	6.5811264515e-01	6.0886044251e-01
4.1835038206e+02	6.5446990728e-01	6.0493000602e-01
4.1877009150e+02	6.5067511797e-01	6.0094660536e-01
4.1918980094e+02	6.4689075947e-01	5.9690426821e-01
4.1960951038e+02	6.4283877611e-01	5.9279561603e-01
4.2002921982e+02	6.3867980242e-01	5.8860526520e-01
4.2044892926e+02	6.3446736336e-01	5.8433143846e-01
4.2086863870e+02	6.3009226322e-01	5.7996615427e-01
4.2128834815e+02	6.2583124638e-01	5.7549606352e-01
4.2170805759e+02	6.2149316072e-01	5.7091045495e-01
4.2212776703e+02	6.1710292101e-01	5.6620623083e-01
4.2254747647e+02	6.1250662804e-01	5.6137400863e-01
4.2296718591e+02	6.0773611069e-01	5.5639113388e-01
4.2338689535e+02	6.0285848379e-01	5.5126158399e-01
4.2380660479e+02	5.9790438414e-01	5.4597692739e-01
4.2422631423e+02	5.9234338999e-01	5.4051321019e-01
4.2464602368e+02	5.8699578047e-01	5.3487101821e-01
4.2506573312e+02	5.8139842749e-01	5.2904624043e-01
4.2548544256e+02	5.7571828365e-01	5.2301617723e-01
4.2590515200e+02	5.6992101669e-01	5.1677651164e-01
4.2632486144e+02	5.6384223700e-01	5.1032840808e-01
4.2674457088e+02	5.5746829510e-01	5.0364921639e-01
4.2716428032e+02	5.5094170570e-01	4.9673281132e-01
4.2758398976e+02	5.4448556900e-01	4.8958456527e-01
4.2800369920e+02	5.3777217865e-01	4.8217971320e-01
