target_peak1_nm	450.0000000000
target_peak2_nm	500.0000000000
primary_comparison	final_network_vs_nearest_cstdata_10496_simulation
final_network_source_file	/home/yuxiao/Yuxiao Li/tandem/2peak/450_500/cvae/cvae_data.txt
cst_reference_source_file	/home/yuxiao/Yuxiao Li/tandem/2peak/data/cstdata_10496/data/07796.b
cst_reference_parameter_file	/home/yuxiao/Yuxiao Li/tandem/2peak/data/cstdata_10496/data/07796.a
nearest_simulation_case_id	07796
simulation_selection_metric	minimum_full_spectrum_mse
simulation_quality_filter	exclude_more_than_5_samples_clipped_to_unity
nearest_simulation_spectrum_mse	2.1928258758e-03
nearest_simulation_spectrum_rmse	4.6827618729e-02
nearest_structure_euclidean_distance	1.9761299051e-01
structure_source_file	/home/yuxiao/Yuxiao Li/tandem/2peak/450_500/cvae/cvae_structure.txt
predicted_R	5.3097076416
nearest_simulation_R	5.5000000000
predicted_n_host1	2.1585385799
nearest_simulation_n_host1	2.2000000000
predicted_n_host2	1.8334763050
nearest_simulation_n_host2	1.8000000000
final_network_two_resonances_detected	1
final_network_significant_minima_count	2
final_network_peak1_wavelength_nm	445.6314957400
final_network_peak1_transmittance	8.4259331226e-02
final_network_peak1_fwhm_nm	29.9269194983
final_network_peak1_prominence	8.6362546682e-01
final_network_peak1_quality_factor	14.8906570810
final_network_peak1_contrast_quality_fom	13.6359802738
final_network_peak2_wavelength_nm	504.8105269400
final_network_peak2_transmittance	1.0664615035e-01
final_network_peak2_fwhm_nm	25.0497948864
final_network_peak2_prominence	4.7737666965e-01
final_network_peak2_quality_factor	20.1522818542
final_network_peak2_contrast_quality_fom	18.0031185737
final_network_significant_minimum1_wavelength_nm	445.6314957400
final_network_significant_minimum1_transmittance	8.4259331226e-02
final_network_significant_minimum2_wavelength_nm	504.8105269400
final_network_significant_minimum2_transmittance	1.0664615035e-01
cst_reference_two_resonances_detected	1
cst_reference_significant_minima_count	2
cst_reference_peak1_wavelength_nm	446.0512051800
cst_reference_peak1_transmittance	4.5668831006e-02
cst_reference_peak1_fwhm_nm	20.5031193187
cst_reference_peak1_prominence	6.3487474685e-01
cst_reference_peak1_quality_factor	21.7552850494
cst_reference_peak1_contrast_quality_fom	20.7617466130
cst_reference_peak2_wavelength_nm	506.0696552700
cst_reference_peak2_transmittance	3.1159906757e-02
cst_reference_peak2_fwhm_nm	33.7356193781
cst_reference_peak2_prominence	9.1260808117e-01
cst_reference_peak2_quality_factor	15.0010482866
cst_reference_peak2_contrast_quality_fom	14.5336170207
cst_reference_significant_minimum1_wavelength_nm	446.0512051800
cst_reference_significant_minimum1_transmittance	4.5668831006e-02
cst_reference_significant_minimum2_wavelength_nm	506.0696552700
cst_reference_significant_minimum2_transmittance	3.1159906757e-02
cst_reference_minus_final_peak1_wavelength_nm	0.4197094400
cst_reference_vs_final_peak1_absolute_wavelength_difference_nm	0.4197094400
cst_reference_minus_final_peak2_wavelength_nm	1.2591283300
cst_reference_vs_final_peak2_absolute_wavelength_difference_nm	1.2591283300
primary_cst_reference_vs_final_mse	2.1928258758e-03
primary_cst_reference_vs_final_rmse	4.6827618729e-02
primary_cst_reference_vs_final_mae	2.7562415953e-02
primary_cst_reference_vs_final_r_squared	9.6916830421e-01
primary_cst_reference_vs_final_correlation	9.8588150078e-01
