wavelength_nm	final_network_transmittance	cst_average_transmittance
3.7973711347e+02	8.7322247028e-01	8.8741350916e-01
3.8015682291e+02	8.7213230133e-01	8.8618030247e-01
3.8057653235e+02	8.7071835995e-01	8.8482434818e-01
3.8099624179e+02	8.6916422844e-01	8.8335917344e-01
3.8141595123e+02	8.6736023426e-01	8.8179780745e-01
3.8183566067e+02	8.6638069153e-01	8.8015271416e-01
3.8225537011e+02	8.6392641068e-01	8.7843573881e-01
3.8267507956e+02	8.6246311665e-01	8.7665806742e-01
3.8309478900e+02	8.6062401533e-01	8.7483019823e-01
3.8351449844e+02	8.5847049952e-01	8.7296192393e-01
3.8393420788e+02	8.5653698444e-01	8.7106232354e-01
3.8435391732e+02	8.5510122776e-01	8.6913976267e-01
3.8477362676e+02	8.5362058878e-01	8.6720190114e-01
3.8519333620e+02	8.5126525164e-01	8.6525570670e-01
3.8561304564e+02	8.4969776869e-01	8.6330749525e-01
3.8603275508e+02	8.4782141447e-01	8.6136297854e-01
3.8645246453e+02	8.4417015314e-01	8.5942715442e-01
3.8687217397e+02	8.4332859516e-01	8.5750442081e-01
3.8729188341e+02	8.4160655737e-01	8.5559861456e-01
3.8771159285e+02	8.3808875084e-01	8.5371304281e-01
3.8813130229e+02	8.3707129955e-01	8.5185051491e-01
3.8855101173e+02	8.3466243744e-01	8.5001337447e-01
3.8897072117e+02	8.3311051130e-01	8.4820353120e-01
3.8939043061e+02	8.2998073101e-01	8.4642249214e-01
3.8981014006e+02	8.2894724607e-01	8.4467139222e-01
3.9022984950e+02	8.2680523396e-01	8.4295102367e-01
3.9064955894e+02	8.2520765066e-01	8.4126186441e-01
3.9106926838e+02	8.2306075096e-01	8.3960410508e-01
3.9148897782e+02	8.2133346796e-01	8.3797767477e-01
3.9190868726e+02	8.2007896900e-01	8.3638226525e-01
3.9232839670e+02	8.1744080782e-01	8.3481735385e-01
3.9274810614e+02	8.1591814756e-01	8.3328222478e-01
3.9316781559e+02	8.1468605995e-01	8.3177598900e-01
3.9358752503e+02	8.1253850460e-01	8.3029760261e-01
3.9400723447e+02	8.1118935347e-01	8.2884597332e-01
3.9442694391e+02	8.0996108055e-01	8.2741990564e-01
3.9484665335e+02	8.0780225992e-01	8.2601777747e-01
3.9526636279e+02	8.0677658319e-01	8.2463807207e-01
3.9568607223e+02	8.0529469252e-01	8.2327918875e-01
3.9610578167e+02	8.0373179913e-01	8.2193945325e-01
3.9652549111e+02	8.0279183388e-01	8.2061712695e-01
3.9694520056e+02	8.0072635412e-01	8.1931041490e-01
3.9736491000e+02	7.9926568270e-01	8.1801747287e-01
3.9778461944e+02	7.9766273499e-01	8.1673641334e-01
3.9820432888e+02	7.9559403658e-01	8.1546531064e-01
3.9862403832e+02	7.9465597868e-01	8.1420220512e-01
3.9904374776e+02	7.9294914007e-01	8.1294510666e-01
3.9946345720e+02	7.9251903296e-01	8.1169199733e-01
3.9988316664e+02	7.9019355774e-01	8.1044083093e-01
4.0030287609e+02	7.8782486916e-01	8.0918944929e-01
4.0072258553e+02	7.8622543812e-01	8.0793571551e-01
4.0114229497e+02	7.8480637074e-01	8.0667750248e-01
4.0156200441e+02	7.8405886889e-01	8.0541265945e-01
4.0198171385e+02	7.8284490108e-01	8.0413901166e-01
4.0240142329e+02	7.8135383129e-01	8.0285435946e-01
4.0282113273e+02	7.7860581875e-01	8.0155647735e-01
4.0324084217e+02	7.7672445774e-01	8.0024311269e-01
4.0366055162e+02	7.7576935291e-01	7.9891132395e-01
4.0408026106e+02	7.7378243208e-01	7.9755910690e-01
4.0449997050e+02	7.7275216579e-01	7.9618421845e-01
4.0491967994e+02	7.6993978024e-01	7.9478426264e-01
4.0533938938e+02	7.6683604717e-01	7.9335680714e-01
4.0575909882e+02	7.6636201143e-01	7.9189938155e-01
4.0617880826e+02	7.6187682152e-01	7.9040944891e-01
4.0659851770e+02	7.6026314497e-01	7.8888266542e-01
4.0701822714e+02	7.5782996416e-01	7.8731790224e-01
4.0743793659e+02	7.5452375412e-01	7.8571249481e-01
4.0785764603e+02	7.5223696232e-01	7.8406373180e-01
4.0827735547e+02	7.5007700920e-01	7.8236885410e-01
4.0869706491e+02	7.4643731117e-01	7.8062457518e-01
4.0911677435e+02	7.4315732718e-01	7.7882582411e-01
4.0953648379e+02	7.3989838362e-01	7.7697190041e-01
4.0995619323e+02	7.3729372025e-01	7.7505981526e-01
4.1037590267e+02	7.3398160934e-01	7.7308652962e-01
4.1079561212e+02	7.3097157478e-01	7.7104895498e-01
4.1121532156e+02	7.2787123919e-01	7.6893964404e-01
4.1163503100e+02	7.2253811359e-01	7.6675887387e-01
4.1205474044e+02	7.2065234184e-01	7.6450360795e-01
4.1247444988e+02	7.1860289574e-01	7.6217053548e-01
4.1289415932e+02	7.1495538950e-01	7.5975521526e-01
4.1331386876e+02	7.1082848310e-01	7.5725004087e-01
4.1373357820e+02	7.0773524046e-01	7.5465613139e-01
4.1415328765e+02	7.0438641310e-01	7.5196999600e-01
4.1457299709e+02	6.9976055622e-01	7.4918812007e-01
4.1499270653e+02	6.9588923454e-01	7.4630079381e-01
4.1541241597e+02	6.9299745560e-01	7.4330801692e-01
4.1583212541e+02	6.8663078547e-01	7.4020795469e-01
4.1625183485e+02	6.8308246136e-01	7.3699702215e-01
4.1667154429e+02	6.7875641584e-01	7.3366532894e-01
4.1709125373e+02	6.7461770773e-01	7.3021119571e-01
4.1751096317e+02	6.7029625177e-01	7.2663452508e-01
4.1793067262e+02	6.6397684813e-01	7.2293179942e-01
4.1835038206e+02	6.5740424395e-01	7.1909075542e-01
4.1877009150e+02	6.5363872051e-01	7.1511259911e-01
4.1918980094e+02	6.4891105890e-01	7.1099709978e-01
4.1960951038e+02	6.4100909233e-01	7.0674075856e-01
4.2002921982e+02	6.3531982899e-01	7.0232655361e-01
4.2044892926e+02	6.3046437502e-01	6.9776440095e-01
4.2086863870e+02	6.2295949459e-01	6.9305134569e-01
4.2128834815e+02	6.1643904448e-01	6.8817706666e-01
4.2170805759e+02	6.1061131954e-01	6.8313710272e-01
4.2212776703e+02	6.0375952721e-01	6.7793715869e-01
4.2254747647e+02	5.9376162291e-01	6.7257375296e-01
4.2296718591e+02	5.8652037382e-01	6.6702879576e-01
4.2338689535e+02	5.7885426283e-01	6.6131639574e-01
4.2380660479e+02	5.7217824459e-01	6.5543479769e-01
4.2422631423e+02	5.6520837545e-01	6.4936700970e-01
4.2464602368e+02	5.5336183310e-01	6.4312218868e-01
4.2506573312e+02	5.4619532824e-01	6.3670339199e-01
4.2548544256e+02	5.3855508566e-01	6.3009680115e-01
4.2590515200e+02	5.3064113855e-01	6.2330628813e-01
4.2632486144e+02	5.1942944527e-01	6.1633940520e-01
4.2674457088e+02	5.1059991121e-01	6.0918391851e-01
4.2716428032e+02	4.9890223145e-01	6.0184201974e-01
4.2758398976e+02	4.9014517665e-01	5.9432394686e-01
4.2800369920e+02	4.7953459620e-01	5.8661732504e-01
4.2842340865e+02	4.6977269650e-01	5.7872654512e-01
4.2884311809e+02	4.5865744352e-01	5.7066248907e-01
4.2926282753e+02	4.4802746177e-01	5.6241094838e-01
4.2968253697e+02	4.3725055456e-01	5.5398233354e-01
4.3010224641e+02	4.2755129933e-01	5.4538606544e-01
4.3052195585e+02	4.1689029336e-01	5.3660463935e-01
4.3094166529e+02	4.0518951416e-01	5.2765786730e-01
4.3136137473e+02	3.9408487082e-01	5.1854910003e-01
4.3178108418e+02	3.8448393345e-01	5.0926443969e-01
