candidate_index	condition_order_code	valid	candidate_spectrum_valid	candidate_spectrum_maximum_absolute_error_nm	candidate_spectrum_summed_absolute_error_nm	peak1_wavelength_nm	peak2_wavelength_nm	peak1_signed_error_nm	peak2_signed_error_nm	maximum_absolute_error_nm	summed_absolute_error_nm	mean_absolute_error_nm	peak1_transmittance	peak2_transmittance	worst_valley_transmittance	peak1_fwhm_nm	peak2_fwhm_nm	widest_fwhm_nm	peak1_prominence	peak2_prominence	minimum_prominence	valley_transmittance_imbalance	peak1_fwhm_to_ideal_ratio	peak2_fwhm_to_ideal_ratio	shape_gate_passed	shape_minimax_score	inside_position_window	selected
0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.3252483287e+00	1.7561143889e+00	4.7627028494e+02	5.4048582945e+02	1.2702849427e+00	4.8582944627e-01	1.2702849427e+00	1.7561143889e+00	8.7805719447e-01	1.9859284163e-01	1.7892859876e-01	1.9859284163e-01	1.8252296770e+01	2.4564975659e+01	2.4564975659e+01	6.4750063419e-01	7.4159266055e-01	6.4750063419e-01	1.9664242864e-02	5.9046409618e-01	1.0923029278e+00	1.0000000000e+00	1.1701025823e+00	1.0000000000e+00	1.0000000000e+00
1.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.6899943839e+00	3.0152427125e+00	4.7710970383e+02	5.4048582945e+02	2.1097038251e+00	4.8582944627e-01	2.1097038251e+00	2.5955332713e+00	1.2977666357e+00	2.3678959906e-01	2.2974954545e-01	2.3678959906e-01	1.8148935702e+01	2.4142560069e+01	2.4142560069e+01	6.2132500112e-01	6.9097663462e-01	6.2132500112e-01	7.0400536060e-03	5.8712035262e-01	1.0735198526e+00	1.0000000000e+00	1.1839479953e+00	1.0000000000e+00	0.0000000000e+00
2.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	2.5294132663e+00	2.8830027024e+00	4.7794912271e+02	5.3754786336e+02	2.9491227075e+00	-2.4521366421e+00	2.9491227075e+00	5.4012593496e+00	2.7006296748e+00	1.4674122632e-01	1.0460287333e-01	1.4674122632e-01	2.0905458007e+01	2.4937422364e+01	2.4937422364e+01	6.5801839530e-01	8.1412887573e-01	6.5801839530e-01	4.2138352990e-02	6.7629419587e-01	1.1088640933e+00	1.0000000000e+00	9.2487372609e-01	1.0000000000e+00	0.0000000000e+00
3.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	2.5294132663e+00	2.8830027024e+00	4.7836883215e+02	5.3670844448e+02	3.3688321487e+00	-3.2915555245e+00	3.3688321487e+00	6.6603876732e+00	3.3301938366e+00	1.0294646025e-01	7.5423941016e-02	1.0294646025e-01	2.2379511714e+01	2.8209542615e+01	2.8209542615e+01	6.5418136120e-01	8.4069360793e-01	6.5418136120e-01	2.7522519231e-02	7.2398001871e-01	1.2543617555e+00	1.0000000000e+00	7.8862851796e-01	1.0000000000e+00	0.0000000000e+00
4.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.2702849427e+00	1.7561143889e+00	4.7710970383e+02	5.4090553889e+02	2.1097038251e+00	9.0553888747e-01	2.1097038251e+00	3.0152427125e+00	1.5076213563e+00	3.7244459987e-01	3.6381906271e-01	3.7244459987e-01	1.5045296529e+01	1.9782319614e+01	1.9782319614e+01	4.8329308629e-01	5.5231750011e-01	4.8329308629e-01	8.6255371571e-03	4.8671723501e-01	8.7963798269e-01	0.0000000000e+00	1.8622229993e+00	1.0000000000e+00	0.0000000000e+00
5.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	2.5294132663e+00	3.0152427125e+00	4.7752941327e+02	5.3964641056e+02	2.5294132663e+00	-3.5358943613e-01	2.5294132663e+00	2.8830027024e+00	1.4415013512e+00	2.4991955608e-02	1.5508234501e-02	2.4991955608e-02	2.8324529149e+01	4.4787855625e+01	4.4787855625e+01	5.8993688598e-01	8.8602894545e-01	5.8993688598e-01	9.4837211072e-03	9.1630208045e-01	1.9915308083e+00	0.0000000000e+00	2.8329451666e+00	1.0000000000e+00	0.0000000000e+00
6.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.6899943839e+00	2.1758238301e+00	4.7710970383e+02	5.3922670112e+02	2.1097038251e+00	-7.7329887733e-01	2.1097038251e+00	2.8830027024e+00	1.4415013512e+00	1.9273176789e-01	1.7216712236e-01	1.9273176789e-01	1.9132779887e+01	2.4911073618e+01	2.4911073618e+01	6.4806529880e-01	7.4830627441e-01	6.4806529880e-01	2.0564645529e-02	6.1894783576e-01	1.1076924735e+00	1.0000000000e+00	1.0887204693e+00	1.0000000000e+00	0.0000000000e+00
7.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.6899943839e+00	3.0152427125e+00	4.7752941327e+02	5.3754786336e+02	2.5294132663e+00	-2.4521366421e+00	2.5294132663e+00	4.9815499084e+00	2.4907749542e+00	3.5694837570e-02	2.7731142938e-02	3.5694837570e-02	2.6610192301e+01	4.0316757236e+01	4.0316757236e+01	6.1193472147e-01	8.8079557568e-01	6.1193472147e-01	7.9636946321e-03	8.6084306780e-01	1.7927195443e+00	0.0000000000e+00	2.2649129839e+00	1.0000000000e+00	0.0000000000e+00
8.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	4.8582944627e-01	9.1669550653e-01	4.7627028494e+02	5.4090553889e+02	1.2702849427e+00	9.0553888747e-01	1.2702849427e+00	2.1758238301e+00	1.0879119151e+00	1.9698576629e-01	1.7665284872e-01	1.9698576629e-01	1.8235047123e+01	2.4430969671e+01	2.4430969671e+01	6.4905019104e-01	7.4386131763e-01	6.4905019104e-01	2.0332917571e-02	5.8990606791e-01	1.0863442355e+00	1.0000000000e+00	1.1716969488e+00	1.0000000000e+00	0.0000000000e+00
9.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.3252483287e+00	2.5955332713e+00	4.7627028494e+02	5.4090553889e+02	1.2702849427e+00	9.0553888747e-01	1.2702849427e+00	2.1758238301e+00	1.0879119151e+00	3.3768510818e-01	3.2071241736e-01	3.3768510818e-01	1.5570090511e+01	2.0361181742e+01	2.0361181742e+01	5.2073723078e-01	5.9609356523e-01	5.2073723078e-01	1.6972690821e-02	5.0369438634e-01	9.0537758881e-01	1.0000000000e+00	1.6884255409e+00	1.0000000000e+00	0.0000000000e+00
1.0000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.2702849427e+00	1.7561143889e+00	4.7710970383e+02	5.3838728224e+02	2.1097038251e+00	-1.6127177597e+00	2.1097038251e+00	3.7224215848e+00	1.8612107924e+00	4.5282565057e-02	3.0855534598e-02	4.5282565057e-02	2.5596932579e+01	3.6737197641e+01	3.6737197641e+01	6.4642206579e-01	8.7872213311e-01	6.4642206579e-01	1.4427030459e-02	8.2806398836e-01	1.6335513253e+00	0.0000000000e+00	1.8101466438e+00	1.0000000000e+00	0.0000000000e+00
1.1000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.2702849427e+00	1.7561143889e+00	4.7710970383e+02	5.3922670112e+02	2.1097038251e+00	-7.7329887733e-01	2.1097038251e+00	2.8830027024e+00	1.4415013512e+00	1.5198801458e-01	1.1870176345e-01	1.5198801458e-01	2.0270709094e+01	2.5930821445e+01	2.5930821445e+01	6.6953487694e-01	8.0166297406e-01	6.6953487694e-01	3.3286251128e-02	6.5575998873e-01	1.1530364442e+00	1.0000000000e+00	9.8354288935e-01	1.0000000000e+00	0.0000000000e+00
1.2000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	2.5294132663e+00	3.0152427125e+00	4.7752941327e+02	5.3964641056e+02	2.5294132663e+00	-3.5358943613e-01	2.5294132663e+00	2.8830027024e+00	1.4415013512e+00	2.3546217009e-02	1.4842912555e-02	2.3546217009e-02	2.8594549119e+01	4.5841968008e+01	4.5841968008e+01	5.8151012845e-01	8.8601280749e-01	5.8151012845e-01	8.7033044547e-03	9.2503726043e-01	2.0384028288e+00	0.0000000000e+00	2.9668652253e+00	1.0000000000e+00	0.0000000000e+00
1.3000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.2702849427e+00	1.7561143889e+00	4.7794912271e+02	5.4090553889e+02	2.9491227075e+00	9.0553888747e-01	2.9491227075e+00	3.8546615949e+00	1.9273307975e+00	4.9514266849e-01	4.9650782347e-01	4.9650782347e-01	1.5988860504e+01	1.6947996427e+01	1.6947996427e+01	4.2279204726e-01	3.7064146996e-01	3.7064146996e-01	1.3651549816e-03	5.1724164829e-01	7.5360734632e-01	0.0000000000e+00	2.4825391173e+00	1.0000000000e+00	0.0000000000e+00
1.4000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.6899943839e+00	2.1758238301e+00	4.7627028494e+02	5.4048582945e+02	1.2702849427e+00	4.8582944627e-01	1.2702849427e+00	1.7561143889e+00	8.7805719447e-01	2.0536805689e-01	1.8610657752e-01	2.0536805689e-01	1.8583753899e+01	2.4656048571e+01	2.4656048571e+01	6.4130334556e-01	7.3456411064e-01	6.4130334556e-01	1.9261479378e-02	6.0118677600e-01	1.0963525638e+00	1.0000000000e+00	1.1394663543e+00	1.0000000000e+00	0.0000000000e+00
