Epoch 0 | Train Loss: 82.769190 | Val Loss: 88.905502
Epoch 1 | Train Loss: 60.042376 | Val Loss: 57.021538
Epoch 2 | Train Loss: 52.319348 | Val Loss: 47.826935
Epoch 3 | Train Loss: 46.567466 | Val Loss: 45.706989
Epoch 4 | Train Loss: 43.801406 | Val Loss: 41.438065
Epoch 5 | Train Loss: 41.048524 | Val Loss: 38.068157
Epoch 6 | Train Loss: 39.338943 | Val Loss: 39.039505
Epoch 7 | Train Loss: 37.324552 | Val Loss: 36.861656
Epoch 8 | Train Loss: 35.912017 | Val Loss: 34.060768
Epoch 9 | Train Loss: 34.842957 | Val Loss: 33.956955
Epoch 10 | Train Loss: 33.656260 | Val Loss: 31.802059
Epoch 11 | Train Loss: 32.717729 | Val Loss: 32.902214
Epoch 12 | Train Loss: 31.973017 | Val Loss: 31.825878
Epoch 13 | Train Loss: 31.085463 | Val Loss: 28.743458
Epoch 14 | Train Loss: 30.351831 | Val Loss: 27.704918
Epoch 15 | Train Loss: 30.318082 | Val Loss: 30.073893
Epoch 16 | Train Loss: 29.576136 | Val Loss: 27.462669
Epoch 17 | Train Loss: 29.116551 | Val Loss: 27.145838
Epoch 18 | Train Loss: 28.612489 | Val Loss: 25.481592
Epoch 19 | Train Loss: 28.324649 | Val Loss: 26.973557
Epoch 20 | Train Loss: 27.731775 | Val Loss: 25.869425
Epoch 21 | Train Loss: 27.921544 | Val Loss: 26.735710
Epoch 22 | Train Loss: 27.136727 | Val Loss: 25.623726
Epoch 23 | Train Loss: 27.231197 | Val Loss: 25.676281
Epoch 24 | Train Loss: 27.066683 | Val Loss: 25.705772
Epoch 25 | Train Loss: 26.771172 | Val Loss: 25.642132
Epoch 26 | Train Loss: 26.076101 | Val Loss: 24.447811
Epoch 27 | Train Loss: 26.192910 | Val Loss: 23.756165
Epoch 28 | Train Loss: 26.133306 | Val Loss: 25.017876
Epoch 29 | Train Loss: 25.784622 | Val Loss: 23.841589
Epoch 30 | Train Loss: 25.307672 | Val Loss: 23.147968
Epoch 31 | Train Loss: 25.267615 | Val Loss: 22.701099
Epoch 32 | Train Loss: 24.694893 | Val Loss: 23.232151
Epoch 33 | Train Loss: 24.566038 | Val Loss: 23.608128
Epoch 34 | Train Loss: 24.633328 | Val Loss: 23.586582
Epoch 35 | Train Loss: 25.261748 | Val Loss: 22.962185
Epoch 36 | Train Loss: 24.434072 | Val Loss: 24.007454
Epoch 37 | Train Loss: 24.509144 | Val Loss: 23.227844
Epoch 38 | Train Loss: 24.092544 | Val Loss: 22.718945
Epoch 39 | Train Loss: 23.938394 | Val Loss: 22.145939
