Epoch 0 | Train Loss: 0.035174 | Val Loss: 0.036044
Epoch 1 | Train Loss: 0.031867 | Val Loss: 0.027832
Epoch 2 | Train Loss: 0.028007 | Val Loss: 0.025239
Epoch 3 | Train Loss: 0.028017 | Val Loss: 0.029165
Epoch 4 | Train Loss: 0.023725 | Val Loss: 0.021373
Epoch 5 | Train Loss: 0.020403 | Val Loss: 0.019329
Epoch 6 | Train Loss: 0.018530 | Val Loss: 0.017496
Epoch 7 | Train Loss: 0.017347 | Val Loss: 0.016498
Epoch 8 | Train Loss: 0.017481 | Val Loss: 0.016193
Epoch 9 | Train Loss: 0.016284 | Val Loss: 0.014302
Epoch 10 | Train Loss: 0.014499 | Val Loss: 0.013253
Epoch 11 | Train Loss: 0.014275 | Val Loss: 0.012279
Epoch 12 | Train Loss: 0.013408 | Val Loss: 0.012043
Epoch 13 | Train Loss: 0.013715 | Val Loss: 0.013068
Epoch 14 | Train Loss: 0.015306 | Val Loss: 0.015925
Epoch 15 | Train Loss: 0.016681 | Val Loss: 0.015245
Epoch 16 | Train Loss: 0.014438 | Val Loss: 0.012489
Epoch 17 | Train Loss: 0.012297 | Val Loss: 0.011423
Epoch 18 | Train Loss: 0.015157 | Val Loss: 0.017978
Epoch 19 | Train Loss: 0.014258 | Val Loss: 0.010640
Epoch 20 | Train Loss: 0.011394 | Val Loss: 0.009536
Epoch 21 | Train Loss: 0.008571 | Val Loss: 0.006905
Epoch 22 | Train Loss: 0.008215 | Val Loss: 0.006009
Epoch 23 | Train Loss: 0.010954 | Val Loss: 0.007031
Epoch 24 | Train Loss: 0.007099 | Val Loss: 0.006304
Epoch 25 | Train Loss: 0.005233 | Val Loss: 0.004130
Epoch 26 | Train Loss: 0.004819 | Val Loss: 0.006708
Epoch 27 | Train Loss: 0.008100 | Val Loss: 0.007652
Epoch 28 | Train Loss: 0.007177 | Val Loss: 0.005912
Epoch 29 | Train Loss: 0.005023 | Val Loss: 0.006183
Epoch 30 | Train Loss: 0.006657 | Val Loss: 0.006856
Epoch 31 | Train Loss: 0.005869 | Val Loss: 0.004968
Epoch 32 | Train Loss: 0.004778 | Val Loss: 0.006712
Epoch 33 | Train Loss: 0.005561 | Val Loss: 0.004135
Epoch 34 | Train Loss: 0.003985 | Val Loss: 0.003815
Epoch 35 | Train Loss: 0.003791 | Val Loss: 0.003650
Epoch 36 | Train Loss: 0.003358 | Val Loss: 0.003037
Epoch 37 | Train Loss: 0.003096 | Val Loss: 0.002948
Epoch 38 | Train Loss: 0.003022 | Val Loss: 0.002881
Epoch 39 | Train Loss: 0.003002 | Val Loss: 0.002891
Epoch 40 | Train Loss: 0.002958 | Val Loss: 0.002831
Epoch 41 | Train Loss: 0.002922 | Val Loss: 0.002826
Epoch 42 | Train Loss: 0.002926 | Val Loss: 0.002821
Epoch 43 | Train Loss: 0.002915 | Val Loss: 0.002797
Epoch 44 | Train Loss: 0.002888 | Val Loss: 0.002780
Epoch 45 | Train Loss: 0.002884 | Val Loss: 0.002790
Epoch 46 | Train Loss: 0.002881 | Val Loss: 0.002775
Epoch 47 | Train Loss: 0.002863 | Val Loss: 0.002773
Epoch 48 | Train Loss: 0.002871 | Val Loss: 0.002770
Epoch 49 | Train Loss: 0.002865 | Val Loss: 0.002748
Epoch 50 | Train Loss: 0.002872 | Val Loss: 0.002770
Epoch 51 | Train Loss: 0.002856 | Val Loss: 0.002762
Epoch 52 | Train Loss: 0.002857 | Val Loss: 0.002781
Epoch 53 | Train Loss: 0.002865 | Val Loss: 0.002737
Epoch 54 | Train Loss: 0.002868 | Val Loss: 0.002759
Epoch 55 | Train Loss: 0.002869 | Val Loss: 0.002767
Epoch 56 | Train Loss: 0.002869 | Val Loss: 0.002743
Epoch 57 | Train Loss: 0.002854 | Val Loss: 0.002746
Epoch 58 | Train Loss: 0.002875 | Val Loss: 0.002780
Epoch 59 | Train Loss: 0.002859 | Val Loss: 0.002750
Epoch 60 | Train Loss: 0.002837 | Val Loss: 0.002729
Epoch 61 | Train Loss: 0.002832 | Val Loss: 0.002761
Epoch 62 | Train Loss: 0.002869 | Val Loss: 0.002773
Epoch 63 | Train Loss: 0.002903 | Val Loss: 0.002789
Epoch 64 | Train Loss: 0.002855 | Val Loss: 0.002735
Epoch 65 | Train Loss: 0.002895 | Val Loss: 0.002841
Epoch 66 | Train Loss: 0.002931 | Val Loss: 0.002792
Epoch 67 | Train Loss: 0.002901 | Val Loss: 0.002782
Epoch 68 | Train Loss: 0.002847 | Val Loss: 0.002731
Epoch 69 | Train Loss: 0.002854 | Val Loss: 0.002777
Epoch 70 | Train Loss: 0.002885 | Val Loss: 0.002875
Epoch 71 | Train Loss: 0.003982 | Val Loss: 0.004823
Epoch 72 | Train Loss: 0.009655 | Val Loss: 0.015389
