wavelength_nm	ideal_target_transmittance	cvae_target_transmittance	tandem_response_transmittance
3.7973711347e+02	7.3522126675e-01	6.4494764805e-01	8.2352834940e-01
3.8015682291e+02	7.2873175144e-01	6.4477556944e-01	8.2577711344e-01
3.8057653235e+02	7.2202777863e-01	6.4471310377e-01	8.2675123215e-01
3.8099624179e+02	7.1510154009e-01	6.4517319202e-01	8.2816928625e-01
3.8141595123e+02	7.0794510841e-01	6.4462900162e-01	8.2873457670e-01
3.8183566067e+02	7.0055019855e-01	6.4390790462e-01	8.2855308056e-01
3.8225537011e+02	6.9290846586e-01	6.4403110743e-01	8.2886344194e-01
3.8267507956e+02	6.8501126766e-01	6.4290130138e-01	8.2687330246e-01
3.8309478900e+02	6.7684996128e-01	6.4234286547e-01	8.2500773668e-01
3.8351449844e+02	6.6841554642e-01	6.4177972078e-01	8.2198220491e-01
3.8393420788e+02	6.5969902277e-01	6.4099419117e-01	8.1736499071e-01
3.8435391732e+02	6.5069139004e-01	6.4017164707e-01	8.1404012442e-01
3.8477362676e+02	6.4138346910e-01	6.3885074854e-01	8.0854767561e-01
3.8519333620e+02	6.3176614046e-01	6.3811028004e-01	8.0235368013e-01
3.8561304564e+02	6.2183028460e-01	6.3763737679e-01	7.9643845558e-01
3.8603275508e+02	6.1156702042e-01	6.3614523411e-01	7.8786844015e-01
3.8645246453e+02	6.0096752644e-01	6.3505065441e-01	7.7938371897e-01
3.8687217397e+02	5.9002333879e-01	6.3364481926e-01	7.6795530319e-01
3.8729188341e+02	5.7872641087e-01	6.3229477406e-01	7.5661557913e-01
3.8771159285e+02	5.6706899405e-01	6.3116401434e-01	7.4479407072e-01
3.8813130229e+02	5.5504411459e-01	6.2889933586e-01	7.3168987036e-01
3.8855101173e+02	5.4264551401e-01	6.2691563368e-01	7.1816748381e-01
3.8897072117e+02	5.2986776829e-01	6.2346732616e-01	7.0172572136e-01
3.8939043061e+02	5.1670652628e-01	6.2006539106e-01	6.8571937084e-01
3.8981014006e+02	5.0315886736e-01	6.1658924818e-01	6.6709744930e-01
3.9022984950e+02	4.8922309279e-01	6.1248409748e-01	6.4889347553e-01
3.9064955894e+02	4.7489944100e-01	6.0764569044e-01	6.2968564034e-01
3.9106926838e+02	4.6019002795e-01	6.0050427914e-01	6.0838526487e-01
3.9148897782e+02	4.4509926438e-01	5.9446537495e-01	5.8615326881e-01
3.9190868726e+02	4.2963403463e-01	5.8598691225e-01	5.6455475092e-01
3.9232839670e+02	4.1380414367e-01	5.7777774334e-01	5.4011476040e-01
3.9274810614e+02	3.9762267470e-01	5.6747829914e-01	5.1723605394e-01
3.9316781559e+02	3.8110607862e-01	5.5585676432e-01	4.9340650439e-01
3.9358752503e+02	3.6427491903e-01	5.4349559546e-01	4.6915984154e-01
3.9400723447e+02	3.4715387225e-01	5.2988153696e-01	4.4444680214e-01
3.9442694391e+02	3.2977235317e-01	5.1449316740e-01	4.1952675581e-01
3.9484665335e+02	3.1216469407e-01	4.9882403016e-01	3.9760565758e-01
3.9526636279e+02	2.9437056184e-01	4.8126181960e-01	3.7332585454e-01
3.9568607223e+02	2.7643522620e-01	4.6216157079e-01	3.4933888912e-01
3.9610578167e+02	2.5840979815e-01	4.4174227118e-01	3.2651376724e-01
3.9652549111e+02	2.4035143852e-01	4.2009887099e-01	3.0379557610e-01
3.9694520056e+02	2.2232338786e-01	3.9633628726e-01	2.8118005395e-01
3.9736491000e+02	2.0439502597e-01	3.7256255746e-01	2.5854259729e-01
3.9778461944e+02	1.8664176762e-01	3.4778133035e-01	2.3677030206e-01
3.9820432888e+02	1.6914477944e-01	3.2137265801e-01	2.1583609283e-01
3.9862403832e+02	1.5199056268e-01	2.9443186522e-01	1.9527082145e-01
3.9904374776e+02	1.3527044654e-01	2.6759570837e-01	1.7700544000e-01
3.9946345720e+02	1.1907982081e-01	2.4199075997e-01	1.5959876776e-01
3.9988316664e+02	1.0351718217e-01	2.1600860357e-01	1.4293168485e-01
4.0030287609e+02	8.8683076203e-02	1.9267125428e-01	1.2685495615e-01
4.0072258553e+02	7.4678830802e-02	1.6949000955e-01	1.1234693974e-01
4.0114229497e+02	6.1605103314e-02	1.4842808247e-01	9.8735049367e-02
4.0156200441e+02	4.9560356885e-02	1.2910206616e-01	8.7210558355e-02
4.0198171385e+02	3.8639206439e-02	1.1120448261e-01	7.6478898525e-02
4.0240142329e+02	2.8930731118e-02	9.7207956016e-02	6.7427285016e-02
4.0282113273e+02	2.0516779274e-02	8.4092400968e-02	5.8977615088e-02
4.0324084217e+02	1.3470329344e-02	7.4053354561e-02	5.2685350180e-02
4.0366055162e+02	7.8539662063e-03	6.5600745380e-02	4.7332488000e-02
4.0408026106e+02	3.7185263354e-03	5.8484900743e-02	4.3665010482e-02
4.0449997050e+02	1.1019587982e-03	5.4169386625e-02	4.0964171290e-02
4.0491967994e+02	2.8462754926e-05	5.3917232901e-02	3.9528116584e-02
4.0533938938e+02	5.0792586990e-04	5.4673559964e-02	4.1010409594e-02
4.0575909882e+02	2.5356924161e-03	5.6036710739e-02	4.1317548603e-02
4.0617880826e+02	6.0926708393e-03	5.8759108186e-02	4.4113375247e-02
4.0659851770e+02	1.1145775206e-02	6.3374608755e-02	4.8033293337e-02
4.0701822714e+02	1.7648683861e-02	6.9918051362e-02	5.3600452840e-02
4.0743793659e+02	2.5542877614e-02	7.8915789723e-02	6.1511985958e-02
4.0785764603e+02	3.4758921713e-02	8.9624308050e-02	7.0933260024e-02
4.0827735547e+02	4.5217938721e-02	1.0108426958e-01	8.2632489502e-02
4.0869706491e+02	5.6833211333e-02	1.1533804238e-01	9.6286155283e-02
4.0911677435e+02	6.9511860609e-02	1.3296805322e-01	1.1246640235e-01
4.0953648379e+02	8.3156540990e-02	1.5145958960e-01	1.3074621558e-01
4.0995619323e+02	9.7667127848e-02	1.7170912027e-01	1.4970245957e-01
4.1037590267e+02	1.1294227839e-01	1.9246684015e-01	1.7105205357e-01
4.1079561212e+02	1.2888093293e-01	2.1362723410e-01	1.9253501296e-01
4.1121532156e+02	1.4538361132e-01	2.3531444371e-01	2.1522623301e-01
4.1163503100e+02	1.6235359013e-01	2.5661173463e-01	2.3676733673e-01
4.1205474044e+02	1.7969793081e-01	2.7874955535e-01	2.5807762146e-01
4.1247444988e+02	1.9732822478e-01	3.0013874173e-01	2.8003409505e-01
4.1289415932e+02	2.1516123414e-01	3.2078781724e-01	3.0011212826e-01
4.1331386876e+02	2.3311936855e-01	3.4292981029e-01	3.2078108191e-01
4.1373357820e+02	2.5113099813e-01	3.6337363720e-01	3.3809462190e-01
4.1415328765e+02	2.6913061738e-01	3.8213849068e-01	3.5661029816e-01
4.1457299709e+02	2.8705880046e-01	4.0319141746e-01	3.7264636159e-01
4.1499270653e+02	3.0486226082e-01	4.1730588675e-01	3.8854250312e-01
4.1541241597e+02	3.2249361277e-01	4.3577563763e-01	4.0557709336e-01
4.1583212541e+02	3.3991122246e-01	4.5424538851e-01	4.2088633776e-01
4.1625183485e+02	3.5707879066e-01	4.7116750479e-01	4.3660017848e-01
4.1667154429e+02	3.7396523356e-01	4.8860973120e-01	4.5097321272e-01
4.1709125373e+02	3.9054414630e-01	5.0494623184e-01	4.6234253049e-01
4.1751096317e+02	4.0679356456e-01	5.1970207691e-01	4.7743600607e-01
4.1793067262e+02	4.2269563675e-01	5.3494602442e-01	4.8971498013e-01
4.1835038206e+02	4.3823605776e-01	5.5218416452e-01	5.0099861622e-01
4.1877009150e+02	4.5340400934e-01	5.6693446636e-01	5.1291090250e-01
4.1918980094e+02	4.6819153428e-01	5.8046096563e-01	5.2456730604e-01
4.1960951038e+02	4.8259338737e-01	5.9478729963e-01	5.3571963310e-01
4.2002921982e+02	4.9660673738e-01	6.0444790125e-01	5.4759490490e-01
4.2044892926e+02	5.1023077965e-01	6.1925590038e-01	5.5583536625e-01
4.2086863870e+02	5.2346640825e-01	6.3445001841e-01	5.7037013769e-01
4.2128834815e+02	5.3631633520e-01	6.4763152599e-01	5.7683497667e-01
4.2170805759e+02	5.4878443480e-01	6.5778237581e-01	5.8680355549e-01
4.2212776703e+02	5.6087571383e-01	6.7301261425e-01	5.9627282619e-01
4.2254747647e+02	5.7259625196e-01	6.8349647522e-01	6.0568398237e-01
4.2296718591e+02	5.8395278454e-01	6.9565850496e-01	6.1376190186e-01
4.2338689535e+02	5.9495288134e-01	7.0959585905e-01	6.2208181620e-01
4.2380660479e+02	6.0560441017e-01	7.1896588802e-01	6.3025289774e-01
4.2422631423e+02	6.1591583490e-01	7.3067855835e-01	6.3773578405e-01
4.2464602368e+02	6.2589591742e-01	7.4298053980e-01	6.4458596706e-01
4.2506573312e+02	6.3555341959e-01	7.5432711840e-01	6.5245807171e-01
4.2548544256e+02	6.4489758015e-01	7.6542681456e-01	6.5882104635e-01
4.2590515200e+02	6.5393745899e-01	7.7553278208e-01	6.6562527418e-01
4.2632486144e+02	6.6268217564e-01	7.8428989649e-01	6.7169773579e-01
4.2674457088e+02	6.7114090919e-01	7.9374039173e-01	6.7904442549e-01
4.2716428032e+02	6.7932271957e-01	8.0399823189e-01	6.8526685238e-01
4.2758398976e+02	6.8723654747e-01	8.1331950426e-01	6.9067662954e-01
4.2800369920e+02	6.9489127398e-01	8.2152891159e-01	6.9694465399e-01
4.2842340865e+02	7.0229548216e-01	8.2949388027e-01	7.0333915949e-01
4.2884311809e+02	7.0945769548e-01	8.3790344000e-01	7.1011602879e-01
