wavelength_nm	ideal_target_transmittance	tandem_response_transmittance
3.7973711347e+02	9.1465711594e-01	8.8555616140e-01
3.8015682291e+02	9.1338145733e-01	8.8566499949e-01
3.8057653235e+02	9.1207706928e-01	8.8533812761e-01
3.8099624179e+02	9.1074305773e-01	8.8479959965e-01
3.8141595123e+02	9.0937864780e-01	8.8419246674e-01
3.8183566067e+02	9.0798282623e-01	8.8316810131e-01
3.8225537011e+02	9.0655475855e-01	8.8146555424e-01
3.8267507956e+02	9.0509343147e-01	8.7986642122e-01
3.8309478900e+02	9.0359777212e-01	8.7808716297e-01
3.8351449844e+02	9.0206682682e-01	8.7647771835e-01
3.8393420788e+02	9.0049946308e-01	8.7440490723e-01
3.8435391732e+02	8.9889460802e-01	8.7241441011e-01
3.8477362676e+02	8.9725100994e-01	8.7071692944e-01
3.8519333620e+02	8.9556753635e-01	8.6891305447e-01
3.8561304564e+02	8.9384293556e-01	8.6783725023e-01
3.8603275508e+02	8.9207583666e-01	8.6629605293e-01
3.8645246453e+02	8.9026492834e-01	8.6514085531e-01
3.8687217397e+02	8.8840883970e-01	8.6413645744e-01
3.8729188341e+02	8.8650608063e-01	8.6275833845e-01
3.8771159285e+02	8.8455516100e-01	8.6189377308e-01
3.8813130229e+02	8.8255453110e-01	8.6125159264e-01
3.8855101173e+02	8.8050252199e-01	8.5991513729e-01
3.8897072117e+02	8.7839740515e-01	8.5870158672e-01
3.8939043061e+02	8.7623751163e-01	8.5739994049e-01
3.8981014006e+02	8.7402099371e-01	8.5661900043e-01
3.9022984950e+02	8.7174588442e-01	8.5556918383e-01
3.9064955894e+02	8.6941033602e-01	8.5460674763e-01
3.9106926838e+02	8.6701214314e-01	8.5395950079e-01
3.9148897782e+02	8.6454933882e-01	8.5332328081e-01
3.9190868726e+02	8.6201959848e-01	8.5278064013e-01
3.9232839670e+02	8.5942059755e-01	8.5210019350e-01
3.9274810614e+02	8.5675007105e-01	8.5142952204e-01
3.9316781559e+02	8.5400539637e-01	8.5064083338e-01
3.9358752503e+02	8.5118401051e-01	8.5022723675e-01
