Epoch 0 | Train Loss: 0.061122 | Val Loss: 0.057393
Epoch 1 | Train Loss: 0.057347 | Val Loss: 0.057053
Epoch 2 | Train Loss: 0.057340 | Val Loss: 0.057017
Epoch 3 | Train Loss: 0.056228 | Val Loss: 0.054200
Epoch 4 | Train Loss: 0.051155 | Val Loss: 0.049289
Epoch 5 | Train Loss: 0.049072 | Val Loss: 0.047050
Epoch 6 | Train Loss: 0.049258 | Val Loss: 0.046469
Epoch 7 | Train Loss: 0.045700 | Val Loss: 0.043293
Epoch 8 | Train Loss: 0.042235 | Val Loss: 0.040087
Epoch 9 | Train Loss: 0.040344 | Val Loss: 0.039204
Epoch 10 | Train Loss: 0.039007 | Val Loss: 0.040385
Epoch 11 | Train Loss: 0.037699 | Val Loss: 0.035918
Epoch 12 | Train Loss: 0.034904 | Val Loss: 0.033766
Epoch 13 | Train Loss: 0.032304 | Val Loss: 0.030922
Epoch 14 | Train Loss: 0.030751 | Val Loss: 0.030085
Epoch 15 | Train Loss: 0.029476 | Val Loss: 0.029275
Epoch 16 | Train Loss: 0.027212 | Val Loss: 0.026084
Epoch 17 | Train Loss: 0.024555 | Val Loss: 0.022518
Epoch 18 | Train Loss: 0.022920 | Val Loss: 0.021294
Epoch 19 | Train Loss: 0.021657 | Val Loss: 0.020387
Epoch 20 | Train Loss: 0.020699 | Val Loss: 0.019030
Epoch 21 | Train Loss: 0.018312 | Val Loss: 0.017274
Epoch 22 | Train Loss: 0.016729 | Val Loss: 0.015805
Epoch 23 | Train Loss: 0.015290 | Val Loss: 0.014731
Epoch 24 | Train Loss: 0.017948 | Val Loss: 0.018602
Epoch 25 | Train Loss: 0.015850 | Val Loss: 0.015141
Epoch 26 | Train Loss: 0.013990 | Val Loss: 0.013670
Epoch 27 | Train Loss: 0.012272 | Val Loss: 0.011852
Epoch 28 | Train Loss: 0.011859 | Val Loss: 0.010962
Epoch 29 | Train Loss: 0.012314 | Val Loss: 0.012535
Epoch 30 | Train Loss: 0.010860 | Val Loss: 0.010312
Epoch 31 | Train Loss: 0.009395 | Val Loss: 0.008493
Epoch 32 | Train Loss: 0.009175 | Val Loss: 0.008359
Epoch 33 | Train Loss: 0.009296 | Val Loss: 0.008845
Epoch 34 | Train Loss: 0.008777 | Val Loss: 0.009781
Epoch 35 | Train Loss: 0.009084 | Val Loss: 0.008006
Epoch 36 | Train Loss: 0.008530 | Val Loss: 0.008834
Epoch 37 | Train Loss: 0.008263 | Val Loss: 0.009991
Epoch 38 | Train Loss: 0.009212 | Val Loss: 0.008628
