Epoch 0 | Train Loss: 0.036778 | Val Loss: 0.030654
Epoch 1 | Train Loss: 0.038437 | Val Loss: 0.030805
Epoch 2 | Train Loss: 0.030716 | Val Loss: 0.022807
Epoch 3 | Train Loss: 0.021740 | Val Loss: 0.018432
Epoch 4 | Train Loss: 0.018946 | Val Loss: 0.019157
Epoch 5 | Train Loss: 0.018737 | Val Loss: 0.017657
Epoch 6 | Train Loss: 0.016753 | Val Loss: 0.016062
Epoch 7 | Train Loss: 0.017496 | Val Loss: 0.017410
Epoch 8 | Train Loss: 0.016042 | Val Loss: 0.016017
Epoch 9 | Train Loss: 0.015553 | Val Loss: 0.017392
Epoch 10 | Train Loss: 0.015545 | Val Loss: 0.018494
Epoch 11 | Train Loss: 0.015166 | Val Loss: 0.013840
Epoch 12 | Train Loss: 0.013940 | Val Loss: 0.015014
Epoch 13 | Train Loss: 0.014832 | Val Loss: 0.013463
Epoch 14 | Train Loss: 0.011390 | Val Loss: 0.010211
Epoch 15 | Train Loss: 0.010753 | Val Loss: 0.013263
Epoch 16 | Train Loss: 0.014295 | Val Loss: 0.017329
Epoch 17 | Train Loss: 0.012911 | Val Loss: 0.010237
Epoch 18 | Train Loss: 0.010174 | Val Loss: 0.009059
Epoch 19 | Train Loss: 0.009523 | Val Loss: 0.008291
Epoch 20 | Train Loss: 0.007845 | Val Loss: 0.007597
Epoch 21 | Train Loss: 0.007027 | Val Loss: 0.006750
Epoch 22 | Train Loss: 0.007127 | Val Loss: 0.010728
Epoch 23 | Train Loss: 0.010625 | Val Loss: 0.008859
Epoch 24 | Train Loss: 0.010524 | Val Loss: 0.008371
Epoch 25 | Train Loss: 0.008556 | Val Loss: 0.009067
Epoch 26 | Train Loss: 0.011955 | Val Loss: 0.012996
Epoch 27 | Train Loss: 0.009050 | Val Loss: 0.008313
Epoch 28 | Train Loss: 0.010527 | Val Loss: 0.012996
Epoch 29 | Train Loss: 0.016275 | Val Loss: 0.012858
Epoch 30 | Train Loss: 0.016776 | Val Loss: 0.016058
Epoch 31 | Train Loss: 0.013272 | Val Loss: 0.011681
Epoch 32 | Train Loss: 0.014795 | Val Loss: 0.016147
Epoch 33 | Train Loss: 0.012895 | Val Loss: 0.008457
Epoch 34 | Train Loss: 0.010028 | Val Loss: 0.011215
Epoch 35 | Train Loss: 0.012174 | Val Loss: 0.010889
Epoch 36 | Train Loss: 0.011038 | Val Loss: 0.008297
Epoch 37 | Train Loss: 0.009361 | Val Loss: 0.013245
Epoch 38 | Train Loss: 0.009846 | Val Loss: 0.007259
Epoch 39 | Train Loss: 0.007075 | Val Loss: 0.007738
Epoch 40 | Train Loss: 0.010921 | Val Loss: 0.010264
Epoch 41 | Train Loss: 0.008212 | Val Loss: 0.007713
Epoch 42 | Train Loss: 0.007277 | Val Loss: 0.007589
Epoch 43 | Train Loss: 0.007854 | Val Loss: 0.008051
Epoch 44 | Train Loss: 0.008700 | Val Loss: 0.007840
Epoch 45 | Train Loss: 0.007780 | Val Loss: 0.009576
