Epoch 0 | Train Loss: 78.856073 | Val Loss: 60.981529
Epoch 1 | Train Loss: 54.474165 | Val Loss: 59.900444
Epoch 2 | Train Loss: 48.180145 | Val Loss: 51.930557
Epoch 3 | Train Loss: 44.369010 | Val Loss: 43.384697
Epoch 4 | Train Loss: 41.163870 | Val Loss: 41.128567
Epoch 5 | Train Loss: 39.224482 | Val Loss: 42.225262
Epoch 6 | Train Loss: 38.635877 | Val Loss: 38.739803
Epoch 7 | Train Loss: 36.680305 | Val Loss: 35.453125
Epoch 8 | Train Loss: 35.757472 | Val Loss: 36.416138
Epoch 9 | Train Loss: 35.862494 | Val Loss: 33.995911
Epoch 10 | Train Loss: 33.995773 | Val Loss: 34.738190
Epoch 11 | Train Loss: 33.852607 | Val Loss: 34.497070
Epoch 12 | Train Loss: 33.216457 | Val Loss: 31.864017
Epoch 13 | Train Loss: 32.670871 | Val Loss: 32.577663
Epoch 14 | Train Loss: 32.877140 | Val Loss: 31.080317
Epoch 15 | Train Loss: 31.885276 | Val Loss: 29.692287
Epoch 16 | Train Loss: 31.165997 | Val Loss: 29.645569
Epoch 17 | Train Loss: 30.625010 | Val Loss: 30.419285
Epoch 18 | Train Loss: 30.483772 | Val Loss: 28.381432
Epoch 19 | Train Loss: 30.284298 | Val Loss: 31.267483
Epoch 20 | Train Loss: 29.942130 | Val Loss: 28.397280
Epoch 21 | Train Loss: 29.111813 | Val Loss: 28.078417
Epoch 22 | Train Loss: 29.103070 | Val Loss: 27.772121
Epoch 23 | Train Loss: 28.514926 | Val Loss: 28.051422
Epoch 24 | Train Loss: 28.913591 | Val Loss: 27.197666
Epoch 25 | Train Loss: 28.109750 | Val Loss: 28.187065
Epoch 26 | Train Loss: 27.480203 | Val Loss: 25.148617
Epoch 27 | Train Loss: 27.244139 | Val Loss: 26.196531
Epoch 28 | Train Loss: 27.262121 | Val Loss: 26.893517
Epoch 29 | Train Loss: 26.178059 | Val Loss: 24.717808
Epoch 30 | Train Loss: 26.587431 | Val Loss: 25.831337
Epoch 31 | Train Loss: 25.754458 | Val Loss: 24.478374
Epoch 32 | Train Loss: 26.224592 | Val Loss: 25.892927
Epoch 33 | Train Loss: 25.831105 | Val Loss: 24.916815
Epoch 34 | Train Loss: 25.713412 | Val Loss: 25.072124
Epoch 35 | Train Loss: 26.232678 | Val Loss: 23.707701
Epoch 36 | Train Loss: 25.499986 | Val Loss: 23.339314
Epoch 37 | Train Loss: 25.248205 | Val Loss: 25.115227
Epoch 38 | Train Loss: 25.059229 | Val Loss: 25.248764
Epoch 39 | Train Loss: 25.336633 | Val Loss: 23.710468
Epoch 40 | Train Loss: 25.374815 | Val Loss: 25.611362
Epoch 41 | Train Loss: 24.884311 | Val Loss: 24.759418
Epoch 42 | Train Loss: 24.992181 | Val Loss: 23.220724
Epoch 43 | Train Loss: 24.627525 | Val Loss: 22.814518
Epoch 44 | Train Loss: 24.323411 | Val Loss: 22.454073
Epoch 45 | Train Loss: 24.259053 | Val Loss: 23.066050
Epoch 46 | Train Loss: 24.090666 | Val Loss: 23.939835
Epoch 47 | Train Loss: 23.674177 | Val Loss: 23.524590
Epoch 48 | Train Loss: 23.924976 | Val Loss: 23.174015
Epoch 49 | Train Loss: 23.605139 | Val Loss: 22.701832
Epoch 50 | Train Loss: 23.539953 | Val Loss: 23.455402
Epoch 51 | Train Loss: 23.491403 | Val Loss: 23.620640
Epoch 52 | Train Loss: 23.332651 | Val Loss: 22.473454
Epoch 53 | Train Loss: 23.390391 | Val Loss: 23.104324
Epoch 54 | Train Loss: 23.092195 | Val Loss: 22.200756
Epoch 55 | Train Loss: 22.837704 | Val Loss: 21.702168
Epoch 56 | Train Loss: 23.013125 | Val Loss: 22.978668
Epoch 57 | Train Loss: 22.838565 | Val Loss: 21.907764
Epoch 58 | Train Loss: 22.649337 | Val Loss: 22.450161
Epoch 59 | Train Loss: 22.631861 | Val Loss: 22.949129
Epoch 60 | Train Loss: 22.799284 | Val Loss: 21.624975
Epoch 61 | Train Loss: 22.351923 | Val Loss: 22.284119
Epoch 62 | Train Loss: 21.938454 | Val Loss: 21.406254
Epoch 63 | Train Loss: 22.021145 | Val Loss: 21.808287
Epoch 64 | Train Loss: 22.167523 | Val Loss: 21.102577
Epoch 65 | Train Loss: 21.772707 | Val Loss: 21.208939
Epoch 66 | Train Loss: 21.568467 | Val Loss: 21.161093
Epoch 67 | Train Loss: 21.192830 | Val Loss: 21.716160
Epoch 68 | Train Loss: 21.598516 | Val Loss: 20.460581
Epoch 69 | Train Loss: 21.205566 | Val Loss: 20.155903
Epoch 70 | Train Loss: 21.442573 | Val Loss: 22.010614
Epoch 71 | Train Loss: 21.664691 | Val Loss: 20.303547
Epoch 72 | Train Loss: 20.810108 | Val Loss: 19.874586
Epoch 73 | Train Loss: 20.552451 | Val Loss: 19.309471
Epoch 74 | Train Loss: 20.800448 | Val Loss: 19.863953
Epoch 75 | Train Loss: 20.707257 | Val Loss: 20.023926
Epoch 76 | Train Loss: 20.553321 | Val Loss: 20.321510
Epoch 77 | Train Loss: 20.713323 | Val Loss: 19.919857
Epoch 78 | Train Loss: 20.995524 | Val Loss: 19.984303
Epoch 79 | Train Loss: 20.466489 | Val Loss: 21.277069
Epoch 80 | Train Loss: 20.280006 | Val Loss: 19.305965
Epoch 81 | Train Loss: 20.470957 | Val Loss: 19.858795
Epoch 82 | Train Loss: 20.372036 | Val Loss: 20.267059
Epoch 83 | Train Loss: 20.212774 | Val Loss: 18.851433
Epoch 84 | Train Loss: 19.889177 | Val Loss: 19.292933
Epoch 85 | Train Loss: 19.723579 | Val Loss: 19.506668
Epoch 86 | Train Loss: 19.593257 | Val Loss: 19.590675
Epoch 87 | Train Loss: 19.746927 | Val Loss: 19.248249
Epoch 88 | Train Loss: 19.480565 | Val Loss: 18.529284
Epoch 89 | Train Loss: 19.473853 | Val Loss: 19.185562
Epoch 90 | Train Loss: 19.226367 | Val Loss: 18.459057
Epoch 91 | Train Loss: 18.974600 | Val Loss: 18.615852
Epoch 92 | Train Loss: 19.259971 | Val Loss: 18.532412
Epoch 93 | Train Loss: 18.995032 | Val Loss: 18.151398
Epoch 94 | Train Loss: 18.717459 | Val Loss: 17.662537
Epoch 95 | Train Loss: 19.000596 | Val Loss: 18.945026
Epoch 96 | Train Loss: 18.728233 | Val Loss: 17.879280
Epoch 97 | Train Loss: 18.885766 | Val Loss: 18.014795
Epoch 98 | Train Loss: 18.161772 | Val Loss: 17.664400
Epoch 99 | Train Loss: 18.461885 | Val Loss: 19.625332
Epoch 100 | Train Loss: 18.754164 | Val Loss: 18.067184
Epoch 101 | Train Loss: 18.433190 | Val Loss: 17.669151
Epoch 102 | Train Loss: 18.585390 | Val Loss: 18.495438
Epoch 103 | Train Loss: 18.344884 | Val Loss: 18.032761
Epoch 104 | Train Loss: 18.358003 | Val Loss: 17.488443
Epoch 105 | Train Loss: 18.544153 | Val Loss: 21.184875
Epoch 106 | Train Loss: 17.921002 | Val Loss: 18.100513
Epoch 107 | Train Loss: 17.777414 | Val Loss: 17.139462
Epoch 108 | Train Loss: 18.314599 | Val Loss: 18.540436
Epoch 109 | Train Loss: 17.912601 | Val Loss: 17.624191
Epoch 110 | Train Loss: 18.028624 | Val Loss: 18.168200
Epoch 111 | Train Loss: 18.206168 | Val Loss: 17.378317
Epoch 112 | Train Loss: 17.398412 | Val Loss: 16.697306
Epoch 113 | Train Loss: 17.767092 | Val Loss: 16.856441
Epoch 114 | Train Loss: 17.766070 | Val Loss: 16.585453
Epoch 115 | Train Loss: 17.871524 | Val Loss: 16.742817
Epoch 116 | Train Loss: 17.466981 | Val Loss: 16.814007
Epoch 117 | Train Loss: 17.406158 | Val Loss: 16.006746
Epoch 118 | Train Loss: 17.722698 | Val Loss: 16.602989
Epoch 119 | Train Loss: 17.262323 | Val Loss: 16.072016
Epoch 120 | Train Loss: 17.517977 | Val Loss: 16.506466
