Epoch 0 | Train Loss: 90.496964 | Val Loss: 76.808395
Epoch 1 | Train Loss: 59.786086 | Val Loss: 62.209068
Epoch 2 | Train Loss: 51.361840 | Val Loss: 55.600647
Epoch 3 | Train Loss: 47.573495 | Val Loss: 44.689732
Epoch 4 | Train Loss: 43.855090 | Val Loss: 47.073265
Epoch 5 | Train Loss: 41.604247 | Val Loss: 42.042660
Epoch 6 | Train Loss: 40.622021 | Val Loss: 40.295483
Epoch 7 | Train Loss: 39.011396 | Val Loss: 39.876129
Epoch 8 | Train Loss: 37.779570 | Val Loss: 37.369640
Epoch 9 | Train Loss: 37.117834 | Val Loss: 35.848953
Epoch 10 | Train Loss: 35.203856 | Val Loss: 37.525990
Epoch 11 | Train Loss: 34.146785 | Val Loss: 36.456036
Epoch 12 | Train Loss: 33.404439 | Val Loss: 34.693398
Epoch 13 | Train Loss: 32.555371 | Val Loss: 34.110153
Epoch 14 | Train Loss: 32.983973 | Val Loss: 30.659760
Epoch 15 | Train Loss: 31.290268 | Val Loss: 32.389175
Epoch 16 | Train Loss: 30.465724 | Val Loss: 29.704006
Epoch 17 | Train Loss: 30.496422 | Val Loss: 28.793213
Epoch 18 | Train Loss: 29.369334 | Val Loss: 28.379770
Epoch 19 | Train Loss: 29.255170 | Val Loss: 30.712399
Epoch 20 | Train Loss: 28.838797 | Val Loss: 26.600174
Epoch 21 | Train Loss: 27.916501 | Val Loss: 27.225868
Epoch 22 | Train Loss: 28.056841 | Val Loss: 27.760605
Epoch 23 | Train Loss: 27.583103 | Val Loss: 26.898092
Epoch 24 | Train Loss: 28.608687 | Val Loss: 62.690216
Epoch 25 | Train Loss: 28.945089 | Val Loss: 29.755310
Epoch 26 | Train Loss: 27.185138 | Val Loss: 28.190746
Epoch 27 | Train Loss: 29.006351 | Val Loss: 27.063639
Epoch 28 | Train Loss: 27.373432 | Val Loss: 26.965595
Epoch 29 | Train Loss: 26.768652 | Val Loss: 24.876705
Epoch 30 | Train Loss: 26.125785 | Val Loss: 25.328390
Epoch 31 | Train Loss: 25.466048 | Val Loss: 24.872925
Epoch 32 | Train Loss: 26.060249 | Val Loss: 25.049904
Epoch 33 | Train Loss: 25.565583 | Val Loss: 24.673759
Epoch 34 | Train Loss: 25.365173 | Val Loss: 25.288319
Epoch 35 | Train Loss: 24.993093 | Val Loss: 23.388046
Epoch 36 | Train Loss: 24.647162 | Val Loss: 24.460609
Epoch 37 | Train Loss: 24.863932 | Val Loss: 23.910694
Epoch 38 | Train Loss: 24.539990 | Val Loss: 23.870832
Epoch 39 | Train Loss: 24.398859 | Val Loss: 23.066875
Epoch 40 | Train Loss: 24.284378 | Val Loss: 23.095327
Epoch 41 | Train Loss: 24.060328 | Val Loss: 23.286018
Epoch 42 | Train Loss: 24.486237 | Val Loss: 23.121304
Epoch 43 | Train Loss: 24.030431 | Val Loss: 22.878868
Epoch 44 | Train Loss: 23.723976 | Val Loss: 23.369926
Epoch 45 | Train Loss: 23.754543 | Val Loss: 23.576532
Epoch 46 | Train Loss: 23.932904 | Val Loss: 22.628769
Epoch 47 | Train Loss: 23.916822 | Val Loss: 22.431381
Epoch 48 | Train Loss: 23.251567 | Val Loss: 21.885130
Epoch 49 | Train Loss: 23.326741 | Val Loss: 22.860165
Epoch 50 | Train Loss: 23.365498 | Val Loss: 22.011196
Epoch 51 | Train Loss: 23.460490 | Val Loss: 22.160606
Epoch 52 | Train Loss: 23.286598 | Val Loss: 22.585373
Epoch 53 | Train Loss: 23.606591 | Val Loss: 22.074104
Epoch 54 | Train Loss: 23.249734 | Val Loss: 22.533836
Epoch 55 | Train Loss: 22.885008 | Val Loss: 21.798161
Epoch 56 | Train Loss: 23.061879 | Val Loss: 21.425131
Epoch 57 | Train Loss: 22.759739 | Val Loss: 22.324833
Epoch 58 | Train Loss: 22.561297 | Val Loss: 21.772919
Epoch 59 | Train Loss: 22.787869 | Val Loss: 23.624283
Epoch 60 | Train Loss: 23.101249 | Val Loss: 22.150320
Epoch 61 | Train Loss: 22.679848 | Val Loss: 23.267704
Epoch 62 | Train Loss: 22.318122 | Val Loss: 21.446201
Epoch 63 | Train Loss: 22.649208 | Val Loss: 21.531652
Epoch 64 | Train Loss: 22.510763 | Val Loss: 22.913774
Epoch 65 | Train Loss: 22.436563 | Val Loss: 21.588564
Epoch 66 | Train Loss: 22.459407 | Val Loss: 22.402275
Epoch 67 | Train Loss: 21.963193 | Val Loss: 20.699846
Epoch 68 | Train Loss: 22.162329 | Val Loss: 22.187298
