Epoch 0 | Train Loss: 0.052875 | Val Loss: 0.048519
Epoch 1 | Train Loss: 0.046724 | Val Loss: 0.046292
Epoch 2 | Train Loss: 0.044533 | Val Loss: 0.044278
Epoch 3 | Train Loss: 0.042849 | Val Loss: 0.042989
Epoch 4 | Train Loss: 0.041920 | Val Loss: 0.042144
Epoch 5 | Train Loss: 0.041666 | Val Loss: 0.041373
Epoch 6 | Train Loss: 0.039999 | Val Loss: 0.038894
Epoch 7 | Train Loss: 0.037777 | Val Loss: 0.037246
Epoch 8 | Train Loss: 0.036533 | Val Loss: 0.037398
Epoch 9 | Train Loss: 0.035612 | Val Loss: 0.035501
Epoch 10 | Train Loss: 0.034187 | Val Loss: 0.033416
Epoch 11 | Train Loss: 0.032291 | Val Loss: 0.032089
Epoch 12 | Train Loss: 0.031412 | Val Loss: 0.031215
Epoch 13 | Train Loss: 0.030526 | Val Loss: 0.031831
Epoch 14 | Train Loss: 0.030083 | Val Loss: 0.029528
Epoch 15 | Train Loss: 0.029074 | Val Loss: 0.029029
Epoch 16 | Train Loss: 0.027935 | Val Loss: 0.027992
Epoch 17 | Train Loss: 0.028028 | Val Loss: 0.027435
Epoch 18 | Train Loss: 0.027551 | Val Loss: 0.027012
Epoch 19 | Train Loss: 0.026838 | Val Loss: 0.026811
Epoch 20 | Train Loss: 0.026914 | Val Loss: 0.026571
Epoch 21 | Train Loss: 0.026549 | Val Loss: 0.027034
Epoch 22 | Train Loss: 0.026611 | Val Loss: 0.026229
Epoch 23 | Train Loss: 0.026259 | Val Loss: 0.026131
Epoch 24 | Train Loss: 0.026231 | Val Loss: 0.025905
Epoch 25 | Train Loss: 0.025716 | Val Loss: 0.026258
Epoch 26 | Train Loss: 0.025343 | Val Loss: 0.025514
Epoch 27 | Train Loss: 0.025085 | Val Loss: 0.025637
Epoch 28 | Train Loss: 0.024939 | Val Loss: 0.025626
Epoch 29 | Train Loss: 0.024572 | Val Loss: 0.025371
Epoch 30 | Train Loss: 0.024651 | Val Loss: 0.024699
Epoch 31 | Train Loss: 0.024364 | Val Loss: 0.024319
Epoch 32 | Train Loss: 0.024349 | Val Loss: 0.024345
Epoch 33 | Train Loss: 0.023862 | Val Loss: 0.024403
Epoch 34 | Train Loss: 0.024204 | Val Loss: 0.023642
Epoch 35 | Train Loss: 0.023259 | Val Loss: 0.023093
Epoch 36 | Train Loss: 0.023049 | Val Loss: 0.022417
Epoch 37 | Train Loss: 0.022952 | Val Loss: 0.023361
Epoch 38 | Train Loss: 0.023163 | Val Loss: 0.022830
Epoch 39 | Train Loss: 0.022768 | Val Loss: 0.022745
Epoch 40 | Train Loss: 0.022457 | Val Loss: 0.021909
Epoch 41 | Train Loss: 0.022212 | Val Loss: 0.021874
Epoch 42 | Train Loss: 0.022457 | Val Loss: 0.022283
Epoch 43 | Train Loss: 0.021882 | Val Loss: 0.021216
Epoch 44 | Train Loss: 0.021828 | Val Loss: 0.021142
Epoch 45 | Train Loss: 0.021582 | Val Loss: 0.021443
Epoch 46 | Train Loss: 0.021400 | Val Loss: 0.021389
Epoch 47 | Train Loss: 0.021500 | Val Loss: 0.020873
Epoch 48 | Train Loss: 0.021054 | Val Loss: 0.021088
Epoch 49 | Train Loss: 0.020892 | Val Loss: 0.020512
Epoch 50 | Train Loss: 0.020558 | Val Loss: 0.020692
Epoch 51 | Train Loss: 0.020548 | Val Loss: 0.021188
Epoch 52 | Train Loss: 0.020568 | Val Loss: 0.019650
Epoch 53 | Train Loss: 0.020384 | Val Loss: 0.020224
Epoch 54 | Train Loss: 0.020069 | Val Loss: 0.019738
Epoch 55 | Train Loss: 0.019892 | Val Loss: 0.019671
Epoch 56 | Train Loss: 0.019855 | Val Loss: 0.019218
Epoch 57 | Train Loss: 0.019971 | Val Loss: 0.020055
Epoch 58 | Train Loss: 0.020045 | Val Loss: 0.019919
Epoch 59 | Train Loss: 0.019437 | Val Loss: 0.017788
Epoch 60 | Train Loss: 0.018446 | Val Loss: 0.017266
Epoch 61 | Train Loss: 0.017372 | Val Loss: 0.017513
Epoch 62 | Train Loss: 0.016729 | Val Loss: 0.016551
Epoch 63 | Train Loss: 0.016705 | Val Loss: 0.016155
Epoch 64 | Train Loss: 0.016343 | Val Loss: 0.016407
Epoch 65 | Train Loss: 0.016112 | Val Loss: 0.015141
Epoch 66 | Train Loss: 0.015121 | Val Loss: 0.014468
Epoch 67 | Train Loss: 0.015207 | Val Loss: 0.015862
Epoch 68 | Train Loss: 0.015458 | Val Loss: 0.015285
Epoch 69 | Train Loss: 0.015015 | Val Loss: 0.014229
Epoch 70 | Train Loss: 0.014639 | Val Loss: 0.014671
Epoch 71 | Train Loss: 0.014449 | Val Loss: 0.017733
Epoch 72 | Train Loss: 0.014515 | Val Loss: 0.014659
Epoch 73 | Train Loss: 0.014129 | Val Loss: 0.015266
Epoch 74 | Train Loss: 0.014313 | Val Loss: 0.013457
Epoch 75 | Train Loss: 0.014610 | Val Loss: 0.014050
Epoch 76 | Train Loss: 0.013949 | Val Loss: 0.013479
Epoch 77 | Train Loss: 0.013131 | Val Loss: 0.013617
Epoch 78 | Train Loss: 0.013033 | Val Loss: 0.013414
Epoch 79 | Train Loss: 0.013563 | Val Loss: 0.012965
Epoch 80 | Train Loss: 0.012988 | Val Loss: 0.013143
Epoch 81 | Train Loss: 0.013178 | Val Loss: 0.013342
Epoch 82 | Train Loss: 0.013049 | Val Loss: 0.012335
Epoch 83 | Train Loss: 0.012473 | Val Loss: 0.012583
Epoch 84 | Train Loss: 0.012822 | Val Loss: 0.012369
Epoch 85 | Train Loss: 0.012628 | Val Loss: 0.013262
Epoch 86 | Train Loss: 0.012947 | Val Loss: 0.012312
Epoch 87 | Train Loss: 0.012735 | Val Loss: 0.012232
Epoch 88 | Train Loss: 0.012572 | Val Loss: 0.012423
Epoch 89 | Train Loss: 0.012233 | Val Loss: 0.012807
Epoch 90 | Train Loss: 0.013117 | Val Loss: 0.012552
Epoch 91 | Train Loss: 0.011932 | Val Loss: 0.011781
Epoch 92 | Train Loss: 0.011868 | Val Loss: 0.011951
Epoch 93 | Train Loss: 0.011915 | Val Loss: 0.011328
Epoch 94 | Train Loss: 0.011687 | Val Loss: 0.011216
Epoch 95 | Train Loss: 0.011322 | Val Loss: 0.011491
Epoch 96 | Train Loss: 0.011225 | Val Loss: 0.011543
