case_index	case_tag	target_low_nm	target_high_nm	candidate_index	condition_order_code	valid	peak1_wavelength_nm	peak2_wavelength_nm	peak1_signed_error_nm	peak2_signed_error_nm	maximum_absolute_error_nm	peak1_transmittance	peak2_transmittance	worst_valley_transmittance	peak1_fwhm_nm	peak2_fwhm_nm	widest_fwhm_nm	peak1_prominence	peak2_prominence	minimum_prominence	valley_transmittance_imbalance	peak1_fwhm_to_ideal_ratio	peak2_fwhm_to_ideal_ratio	shape_gate_passed	shape_minimax_score	inside_position_window	selected
1	450_490	4.5000000000e+02	4.9000000000e+02	0	0	1	4.4647091462e+02	4.9137982483e+02	-3.5290853825e+00	1.3798248259e+00	3.5290853825e+00	4.5136842877e-02	2.0303310826e-02	4.5136842877e-02	1.6109140276e+01	7.6164056057e+01	7.6164056057e+01	3.8640805706e-01	9.1016185097e-01	3.8640805706e-01	2.4833532050e-02	9.5989129123e-01	1.0840055241e+00	1	1.2939688779e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	1	0	1	4.5864248841e+02	4.8886156818e+02	8.6424884123e+00	-1.1384318213e+00	8.6424884123e+00	5.2546173334e-01	4.9788445234e-01	5.2546173334e-01	8.4965223802e+00	1.4654647484e+01	1.4654647484e+01	3.2133668661e-01	4.4979697466e-01	3.2133668661e-01	2.7577280998e-02	5.0628014274e-01	2.0857238505e-01	0	2.6273086667e+00	0	0
1	450_490	4.5000000000e+02	4.9000000000e+02	2	0	1	4.4479207685e+02	4.8886156818e+02	-5.2079231473e+00	-1.1384318213e+00	5.2079231473e+00	5.6726455688e-01	3.5356926918e-01	5.6726455688e-01	1.0665034175e+01	1.5904140005e+01	1.5904140005e+01	2.6298135519e-01	5.9679359198e-01	2.6298135519e-01	2.1369528770e-01	6.3549470981e-01	2.2635579713e-01	0	2.8363227844e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	3	0	1	4.5864248841e+02	4.8886156818e+02	8.6424884123e+00	-1.1384318213e+00	8.6424884123e+00	6.5484112501e-01	5.1552891731e-01	6.5484112501e-01	8.5202218800e+00	1.3637635856e+01	1.3637635856e+01	2.1945953369e-01	4.3225026131e-01	2.1945953369e-01	1.3931220770e-01	5.0769231888e-01	1.9409775910e-01	0	3.2742056251e+00	0	0
1	450_490	4.5000000000e+02	4.9000000000e+02	4	0	1	4.5864248841e+02	4.8886156818e+02	8.6424884123e+00	-1.1384318213e+00	8.6424884123e+00	4.5619115233e-01	3.8869303465e-01	4.5619115233e-01	8.6372698116e+00	1.5955968031e+01	1.5955968031e+01	3.3216282725e-01	5.5711978674e-01	3.3216282725e-01	6.7498117685e-02	5.1466682455e-01	2.2709343992e-01	0	2.2809557617e+00	0	0
1	450_490	4.5000000000e+02	4.9000000000e+02	5	0	1	4.5906219785e+02	4.8928127762e+02	9.0621978535e+00	-7.1872238013e-01	9.0621978535e+00	3.9148375392e-01	1.3505098224e-01	3.9148375392e-01	8.9912449109e+00	2.2892921087e+01	2.2892921087e+01	2.2777679563e-01	8.1110087037e-01	2.2777679563e-01	2.5643277168e-01	5.3575904979e-01	3.2582367860e-01	0	2.5643277168e+00	0	0
1	450_490	4.5000000000e+02	4.9000000000e+02	6	0	1	4.4647091462e+02	4.9012069650e+02	-3.5290853825e+00	1.2069650227e-01	3.5290853825e+00	6.4108148217e-02	2.8351606801e-02	6.4108148217e-02	1.5145327913e+01	4.0468142160e+01	4.0468142160e+01	4.1988091171e-01	9.0642899089e-01	4.1988091171e-01	3.5756541416e-02	9.0246084629e-01	5.7596315012e-01	1	1.2115338568e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	7	0	1	4.4521178629e+02	4.8928127762e+02	-4.7882137061e+00	-7.1872238013e-01	4.7882137061e+00	4.8082479835e-01	2.4011613429e-01	4.8082479835e-01	1.0614089311e+01	1.8449385092e+01	1.8449385092e+01	2.7553364635e-01	7.0619212091e-01	2.7553364635e-01	2.4070866406e-01	6.3245907104e-01	2.6258101777e-01	0	2.4070866406e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	8	0	1	4.5906219785e+02	4.8928127762e+02	9.0621978535e+00	-7.1872238013e-01	9.0621978535e+00	4.5747777820e-01	2.3357740045e-01	4.5747777820e-01	8.9768904049e+00	1.8736584078e+01	1.8736584078e+01	2.6193609834e-01	7.1059891582e-01	2.6193609834e-01	2.2390037775e-01	5.3490371145e-01	2.6666857958e-01	0	2.2873888910e+00	0	0
1	450_490	4.5000000000e+02	4.9000000000e+02	9	0	1	4.5864248841e+02	4.8886156818e+02	8.6424884123e+00	-1.1384318213e+00	8.6424884123e+00	4.4513043761e-01	3.2895699143e-01	4.4513043761e-01	8.7653828894e+00	1.6767170039e+01	1.6767170039e+01	3.1891879439e-01	6.1739578843e-01	3.1891879439e-01	1.1617344618e-01	5.2230066630e-01	2.3863887885e-01	0	2.2256521881e+00	0	0
1	450_490	4.5000000000e+02	4.9000000000e+02	10	1	1	4.4647091462e+02	4.9137982483e+02	-3.5290853825e+00	1.3798248259e+00	3.5290853825e+00	3.9591915905e-02	2.3039205000e-02	3.9591915905e-02	1.6528204804e+01	7.6036545950e+01	7.6036545950e+01	4.1153132170e-01	9.1365476139e-01	4.1153132170e-01	1.6552710906e-02	9.8486198387e-01	1.0821907355e+00	1	1.2149743498e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	11	1	1	4.4479207685e+02	4.8928127762e+02	-5.2079231473e+00	-7.1872238013e-01	5.2079231473e+00	3.7733563781e-01	3.3428576589e-01	3.7733563781e-01	1.1720256462e+01	1.6009465758e+01	1.6009465758e+01	4.8784169555e-01	6.1724689603e-01	4.8784169555e-01	4.3049871922e-02	6.9837197491e-01	2.2785484674e-01	0	2.2061290093e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	12	1	1	4.4479207685e+02	4.8928127762e+02	-5.2079231473e+00	-7.1872238013e-01	5.2079231473e+00	2.2904154658e-01	2.1773850918e-01	2.2904154658e-01	1.3121908962e+01	1.8624753680e+01	1.8624753680e+01	6.0342881083e-01	7.3142987490e-01	6.0342881083e-01	1.1303037405e-02	7.8189188998e-01	2.6507695257e-01	0	2.0997801355e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	13	1	1	4.4479207685e+02	4.8886156818e+02	-5.2079231473e+00	-1.1384318213e+00	5.2079231473e+00	3.7502986193e-01	3.7034243345e-01	3.7502986193e-01	1.2162485939e+01	1.5520519501e+01	1.5520519501e+01	5.2159136534e-01	5.8075833321e-01	5.2159136534e-01	4.6874284744e-03	7.2472299160e-01	2.2089591532e-01	0	2.2260116705e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	14	1	1	4.4479207685e+02	4.8928127762e+02	-5.2079231473e+00	-7.1872238013e-01	5.2079231473e+00	2.7399477363e-01	2.6480010152e-01	2.7399477363e-01	1.2826961143e+01	1.7031774444e+01	1.7031774444e+01	5.8868280053e-01	6.8435582519e-01	5.8868280053e-01	9.1946721077e-03	7.6431690848e-01	2.4240486311e-01	0	2.1645575340e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	15	1	1	4.4479207685e+02	4.9012069650e+02	-5.2079231473e+00	1.2069650227e-01	5.2079231473e+00	1.1718056351e-01	8.9181989431e-02	1.1718056351e-01	1.4888321656e+01	2.5352203809e+01	2.5352203809e+01	5.7144578546e-01	8.5839584470e-01	5.7144578546e-01	2.7998574078e-02	8.8714667905e-01	3.6082543920e-01	0	1.8262130309e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	16	1	1	4.4647091462e+02	4.9096011538e+02	-3.5290853825e+00	9.6011538467e-01	3.5290853825e+00	4.5308347791e-02	2.7273451909e-02	4.5308347791e-02	1.6250614294e+01	7.4613884554e+01	7.4613884554e+01	4.3177587166e-01	9.0999730863e-01	4.3177587166e-01	1.8034895882e-02	9.6832126796e-01	1.0619426961e+00	1	1.1580082001e+00	1	1
1	450_490	4.5000000000e+02	4.9000000000e+02	17	1	1	4.4479207685e+02	4.8928127762e+02	-5.2079231473e+00	-7.1872238013e-01	5.2079231473e+00	1.7678301036e-01	1.5914325416e-01	1.7678301036e-01	1.3899740778e+01	2.0991241757e+01	2.0991241757e+01	6.0642625391e-01	7.8739519417e-01	6.0642625391e-01	1.7639756203e-02	8.2824035887e-01	2.9875801264e-01	0	2.0035485353e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	18	1	1	4.4479207685e+02	4.8928127762e+02	-5.2079231473e+00	-7.1872238013e-01	5.2079231473e+00	1.8318974972e-01	1.6762921214e-01	1.8318974972e-01	1.3943389737e+01	2.0539087121e+01	2.0539087121e+01	6.1082559824e-01	7.7867284417e-01	6.1082559824e-01	1.5560537577e-02	8.3084125842e-01	2.9232271825e-01	0	2.0219350907e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	19	1	1	4.4479207685e+02	4.8928127762e+02	-5.2079231473e+00	-7.1872238013e-01	5.2079231473e+00	2.4991732836e-01	2.1847163141e-01	2.4991732836e-01	1.2790132412e+01	1.8631517290e+01	1.8631517290e+01	5.7106679678e-01	7.2940899432e-01	5.7106679678e-01	3.1445696950e-02	7.6212240413e-01	2.6517321570e-01	0	2.0995050980e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	0	0	1	4.4479207685e+02	5.0564994583e+02	4.7920768527e+00	5.6499458267e+00	5.6499458267e+00	9.0449221432e-02	8.0155961215e-02	9.0449221432e-02	1.8585720815e+01	2.5330817652e+01	2.5330817652e+01	6.9569974393e-01	8.7698126584e-01	6.9569974393e-01	1.0293260217e-02	6.1983357102e-01	1.1702898010e+00	1	1.0861897971e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	1	0	1	4.4437236741e+02	5.0397110806e+02	4.3723674115e+00	3.9711080619e+00	4.3723674115e+00	4.8921197653e-01	5.0194859505e-01	5.0194859505e-01	1.3653576757e+01	1.2727175009e+01	1.3653576757e+01	4.8066604137e-01	4.5408678055e-01	4.5408678055e-01	1.2736618519e-02	4.5534662459e-01	5.8799851289e-01	0	2.5097429752e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	2	0	1	4.4437236741e+02	5.0481052694e+02	4.3723674115e+00	4.8105269443e+00	4.8105269443e+00	2.5526386499e-01	2.8379422426e-01	2.8379422426e-01	1.6292697908e+01	1.5626216374e+01	1.6292697908e+01	7.0809727907e-01	6.3177645206e-01	6.3177645206e-01	2.8530359268e-02	5.4336128398e-01	7.2193491355e-01	1	1.4189711213e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	3	0	1	4.4437236741e+02	5.0397110806e+02	4.3723674115e+00	3.9711080619e+00	4.3723674115e+00	5.0902581215e-01	5.2690798044e-01	5.2690798044e-01	1.3715726404e+01	1.2604204265e+01	1.3715726404e+01	4.5970511436e-01	4.3241447210e-01	4.3241447210e-01	1.7882168293e-02	4.5741931459e-01	5.8231723527e-01	0	2.6345399022e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	4	0	1	4.4437236741e+02	5.0439081750e+02	4.3723674115e+00	4.3908175031e+00	4.3908175031e+00	3.6158758402e-01	3.6369809508e-01	3.6369809508e-01	1.4472013129e+01	1.3773524661e+01	1.4472013129e+01	6.0742443800e-01	5.7655128837e-01	5.7655128837e-01	2.1105110645e-03	4.8264146797e-01	6.3634011572e-01	0	1.8184904754e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	5	0	1	4.4437236741e+02	5.0481052694e+02	4.3723674115e+00	4.8105269443e+00	4.8105269443e+00	2.3217371106e-01	2.6792857051e-01	2.6792857051e-01	1.6913936202e+01	1.6209358109e+01	1.6913936202e+01	7.3006573319e-01	6.3645693660e-01	6.3645693660e-01	3.5754859447e-02	5.6407957380e-01	7.4887620042e-01	1	1.3396428525e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	6	0	1	4.4479207685e+02	5.0564994583e+02	4.7920768527e+00	5.6499458267e+00	5.6499458267e+00	1.3198274374e-01	1.4710313082e-01	1.4710313082e-01	2.0369612815e+01	1.8795390963e+01	2.0369612815e+01	8.2626336813e-01	6.9394987822e-01	6.9394987822e-01	1.5120387077e-02	6.7932634829e-01	8.6835153340e-01	1	9.1621043346e-01	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	7	0	1	4.4437236741e+02	5.0564994583e+02	4.3723674115e+00	5.6499458267e+00	5.6499458267e+00	2.1007144451e-01	2.4055607617e-01	2.4055607617e-01	1.7563234544e+01	1.6659615591e+01	1.7563234544e+01	7.5136840343e-01	6.5348629653e-01	6.5348629653e-01	3.0484631658e-02	5.8573366588e-01	7.6967820319e-01	1	1.2027803808e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	8	0	1	4.4437236741e+02	5.0481052694e+02	4.3723674115e+00	4.8105269443e+00	4.8105269443e+00	3.3215966821e-01	3.4038156271e-01	3.4038156271e-01	1.4819531757e+01	1.4176926867e+01	1.4819531757e+01	6.3500520587e-01	5.9451425076e-01	5.9451425076e-01	8.2218945026e-03	4.9423121015e-01	6.5497739356e-01	0	1.7019078135e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	9	0	1	4.4437236741e+02	5.0481052694e+02	4.3723674115e+00	4.8105269443e+00	4.8105269443e+00	3.3535861969e-01	3.4349218011e-01	3.4349218011e-01	1.4784926982e+01	1.4139841024e+01	1.4784926982e+01	6.3212072849e-01	5.9216579795e-01	5.9216579795e-01	8.1335604191e-03	4.9307714131e-01	6.5326401880e-01	0	1.7174609005e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	10	1	1	4.4731033350e+02	5.0690907415e+02	7.3103334999e+00	6.9090741503e+00	7.3103334999e+00	3.0339287594e-02	1.5212376602e-02	3.0339287594e-02	2.1635955682e+01	4.4579292653e+01	4.4579292653e+01	5.1909233443e-01	9.2289964389e-01	5.1909233443e-01	1.5126910992e-02	7.2155886803e-01	2.0595739248e+00	0	3.0273540708e+00	0	0
2	440_500	4.4000000000e+02	5.0000000000e+02	11	1	1	4.4437236741e+02	5.0481052694e+02	4.3723674115e+00	4.8105269443e+00	4.8105269443e+00	2.6073685288e-01	2.5915735960e-01	2.6073685288e-01	1.4664267609e+01	1.6333186203e+01	1.6333186203e+01	6.5324285626e-01	7.0296972990e-01	6.5324285626e-01	1.5794932842e-03	4.8905315265e-01	7.5459708783e-01	0	1.4598481353e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	12	1	1	4.4479207685e+02	5.0564994583e+02	4.7920768527e+00	5.6499458267e+00	5.6499458267e+00	1.1167007685e-01	1.1228878051e-01	1.1228878051e-01	2.1596524716e+01	1.9630859931e+01	2.1596524716e+01	8.4702599049e-01	7.0667599887e-01	7.0667599887e-01	6.1870366335e-04	7.2024384577e-01	9.0695039847e-01	1	7.9930329780e-01	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	13	1	1	4.4437236741e+02	5.0481052694e+02	4.3723674115e+00	4.8105269443e+00	4.8105269443e+00	3.1012821198e-01	3.0914345384e-01	3.1012821198e-01	1.4020759528e+01	1.5239574385e+01	1.5239574385e+01	6.1685687304e-01	6.5501782298e-01	6.1685687304e-01	9.8475813866e-04	4.6759216569e-01	7.0407196166e-01	0	1.5506410599e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	14	1	1	4.4479207685e+02	5.0481052694e+02	4.7920768527e+00	4.8105269443e+00	4.8105269443e+00	2.0851258934e-01	2.0116055012e-01	2.0851258934e-01	1.5558945139e+01	1.8049396115e+01	1.8049396115e+01	6.8283577263e-01	7.5903880596e-01	6.8283577263e-01	7.3520392179e-03	5.1889063775e-01	8.3388639398e-01	1	1.3745981779e+00	1	0
