wavelength_nm	450_490_ideal_target	450_490_direct_tandem	450_490_cvae_assisted_tandem	440_500_ideal_target	440_500_direct_tandem	440_500_cvae_assisted_tandem	430_510_ideal_target	430_510_direct_tandem	430_510_cvae_assisted_tandem	420_520_ideal_target	420_520_direct_tandem	420_520_cvae_assisted_tandem	410_530_ideal_target	410_530_direct_tandem	410_530_cvae_assisted_tandem	472_512_ideal_target	472_512_direct_tandem	472_512_cvae_assisted_tandem	462_522_ideal_target	462_522_direct_tandem	462_522_cvae_assisted_tandem	452_532_ideal_target	452_532_direct_tandem	452_532_cvae_assisted_tandem	442_542_ideal_target	442_542_direct_tandem	442_542_cvae_assisted_tandem	432_552_ideal_target	432_552_direct_tandem	432_552_cvae_assisted_tandem	494_534_ideal_target	494_534_direct_tandem	494_534_cvae_assisted_tandem	484_544_ideal_target	484_544_direct_tandem	484_544_cvae_assisted_tandem	474_554_ideal_target	474_554_direct_tandem	474_554_cvae_assisted_tandem	464_564_ideal_target	464_564_direct_tandem	464_564_cvae_assisted_tandem	454_574_ideal_target	454_574_direct_tandem	454_574_cvae_assisted_tandem	516_556_ideal_target	516_556_direct_tandem	516_556_cvae_assisted_tandem	506_566_ideal_target	506_566_direct_tandem	506_566_cvae_assisted_tandem	496_576_ideal_target	496_576_direct_tandem	496_576_cvae_assisted_tandem	486_586_ideal_target	486_586_direct_tandem	486_586_cvae_assisted_tandem	476_596_ideal_target	476_596_direct_tandem	476_596_cvae_assisted_tandem	538_578_ideal_target	538_578_direct_tandem	538_578_cvae_assisted_tandem	528_588_ideal_target	528_588_direct_tandem	528_588_cvae_assisted_tandem	518_598_ideal_target	518_598_direct_tandem	518_598_cvae_assisted_tandem	508_608_ideal_target	508_608_direct_tandem	508_608_cvae_assisted_tandem	498_618_ideal_target	498_618_direct_tandem	498_618_cvae_assisted_tandem	560_600_ideal_target	560_600_direct_tandem	560_600_cvae_assisted_tandem	550_610_ideal_target	550_610_direct_tandem	550_610_cvae_assisted_tandem	540_620_ideal_target	540_620_direct_tandem	540_620_cvae_assisted_tandem	530_630_ideal_target	530_630_direct_tandem	530_630_cvae_assisted_tandem	520_640_ideal_target	520_640_direct_tandem	520_640_cvae_assisted_tandem
3.7973711347e+02	9.3903297186e-01	9.3369811773e-01	9.3727076054e-01	9.2723393440e-01	9.5012134314e-01	9.5738071203e-01	9.0620595217e-01	9.4723016024e-01	9.6240919828e-01	8.6819225550e-01	9.5405602455e-01	9.4742530584e-01	7.9485654831e-01	9.5654171705e-01	9.4409734011e-01	9.6187716722e-01	9.4457507133e-01	9.5364665985e-01	9.5717996359e-01	9.4946426153e-01	9.5669978857e-01	9.4947761297e-01	9.5951545238e-01	9.6405941248e-01	9.3713581562e-01	9.6363019943e-01	9.6893233061e-01	9.1694164276e-01	9.6733564138e-01	9.6220213175e-01	9.7385078669e-01	9.5682543516e-01	9.5819389820e-01	9.7161984444e-01	9.6595674753e-01	9.7488301992e-01	9.6813011169e-01	9.6613174677e-01	9.7286397219e-01	9.6290326118e-01	9.7131121159e-01	9.6871465445e-01	9.5510673523e-01	9.7508960962e-01	9.6876055002e-01	9.8092329502e-01	9.7361755371e-01	9.7522449493e-01	9.7972917557e-01	9.7796088457e-01	9.7726804018e-01	9.7791463137e-01	9.8146718740e-01	9.7975093126e-01	9.7530531883e-01	9.8148405552e-01	9.8304569721e-01	9.7162038088e-01	9.7745716572e-01	9.7513139248e-01	9.8545616865e-01	9.8393481970e-01	9.7370004654e-01	9.8475956917e-01	9.8618823290e-01	9.8646426201e-01	9.8372089863e-01	9.8579490185e-01	9.8582839966e-01	9.8226612806e-01	9.8163604736e-01	9.8277354240e-01	9.8028206825e-01	9.8022454977e-01	9.8049873114e-01	9.8853892088e-01	9.7734755278e-01	9.8483908176e-01	9.8810517788e-01	9.7015428543e-01	9.8496037722e-01	9.8746699095e-01	9.7555416822e-01	9.8109197617e-01	9.8658901453e-01	9.7170424461e-01	9.7710150480e-01	9.8541945219e-01	9.6697980165e-01	9.6767407656e-01
3.8015682291e+02	9.3840926886e-01	9.3107181787e-01	9.3572163582e-01	9.2637354136e-01	9.4822871685e-01	9.5541232824e-01	9.0487772226e-01	9.4561880827e-01	9.6142345667e-01	8.6589813232e-01	9.5442050695e-01	9.4779312611e-01	7.9039704800e-01	9.5772367716e-01	9.4546854496e-01	9.6157240868e-01	9.4040232897e-01	9.4952523708e-01	9.5680099726e-01	9.4582009315e-01	9.5417177677e-01	9.4896775484e-01	9.5728260279e-01	9.6213537455e-01	9.3639498949e-01	9.6250659227e-01	9.6772390604e-01	9.1577488184e-01	9.6594852209e-01	9.6384972334e-01	9.7367912531e-01	9.5183992386e-01	9.5413100719e-01	9.7141903639e-01	9.6245306730e-01	9.7193020582e-01	9.6788138151e-01	9.6368467808e-01	9.7086417675e-01	9.6257752180e-01	9.6991819143e-01	9.6741753817e-01	9.5465558767e-01	9.7229921818e-01	9.6765822172e-01	9.8081690073e-01	9.7040224075e-01	9.7240847349e-01	9.7960954905e-01	9.7531634569e-01	9.7454833984e-01	9.7777408361e-01	9.7968995571e-01	9.7763913870e-01	9.7513300180e-01	9.7998088598e-01	9.8163658381e-01	9.7140020132e-01	9.7656118870e-01	9.7423470020e-01	9.8538559675e-01	9.8258036375e-01	9.7095620632e-01	9.8468226194e-01	9.8543894291e-01	9.8570013046e-01	9.8363327980e-01	9.8592120409e-01	9.8598247766e-01	9.8216342926e-01	9.8156273365e-01	9.8264515400e-01	9.8015761375e-01	9.8066967726e-01	9.8073261976e-01	9.8848968744e-01	9.8031574488e-01	9.8570662737e-01	9.8805230856e-01	9.7313201427e-01	9.8653352261e-01	9.8740845919e-01	9.7769504786e-01	9.8357081413e-01	9.8652255535e-01	9.7427713871e-01	9.8038631678e-01	9.8534196615e-01	9.6912765503e-01	9.6927839518e-01
3.8057653235e+02	9.3777579069e-01	9.2854601145e-01	9.3404179811e-01	9.2549735308e-01	9.4607663155e-01	9.5318579674e-01	9.0352052450e-01	9.4382840395e-01	9.6024399996e-01	8.6354410648e-01	9.5447438955e-01	9.4788599014e-01	7.8579938412e-01	9.5853263140e-01	9.4644725323e-01	9.6126401424e-01	9.3591564894e-01	9.4514065981e-01	9.5641684532e-01	9.4190013409e-01	9.5140022039e-01	9.4844985008e-01	9.5484322309e-01	9.6000313759e-01	9.3564063311e-01	9.6108949184e-01	9.6629279852e-01	9.1458296776e-01	9.6423339844e-01	9.6494328976e-01	9.7350567579e-01	9.4657742977e-01	9.4977879524e-01	9.7121608257e-01	9.5847874880e-01	9.6857959032e-01	9.6762967110e-01	9.6087723970e-01	9.6853661537e-01	9.6224731207e-01	9.6823489666e-01	9.6585863829e-01	9.5419740677e-01	9.6893620491e-01	9.6627897024e-01	9.8070961237e-01	9.6665346622e-01	9.6910852194e-01	9.7948884964e-01	9.7212314606e-01	9.7125047445e-01	9.7763210535e-01	9.7742259502e-01	9.7508913279e-01	9.7495877743e-01	9.7799074650e-01	9.7972404957e-01	9.7117727995e-01	9.7519159317e-01	9.7281080484e-01	9.8531454802e-01	9.8073625565e-01	9.6760743856e-01	9.8460441828e-01	9.8420411348e-01	9.8445707560e-01	9.8354494572e-01	9.8566752672e-01	9.8575794697e-01	9.8205977678e-01	9.8111295700e-01	9.8214435577e-01	9.8003202677e-01	9.8084449768e-01	9.8070585728e-01	9.8844015598e-01	9.8272413015e-01	9.8614162207e-01	9.8799902201e-01	9.7596627474e-01	9.8767673969e-01	9.8734951019e-01	9.7941923141e-01	9.8550516367e-01	9.8645555973e-01	9.7644448280e-01	9.8305535316e-01	9.8526376486e-01	9.7096294165e-01	9.7063082457e-01
3.8099624179e+02	9.3713235855e-01	9.2599570751e-01	9.3217110634e-01	9.2460507154e-01	9.4365870953e-01	9.5065736771e-01	9.0213352442e-01	9.4178920984e-01	9.5884251595e-01	8.6112803221e-01	9.5415163040e-01	9.4761967659e-01	7.8105837107e-01	9.5885837078e-01	9.4695401192e-01	9.6095180511e-01	9.3113535643e-01	9.4053053856e-01	9.5602738857e-01	9.3763136864e-01	9.4832521677e-01	9.4792377949e-01	9.5214587450e-01	9.5758420229e-01	9.3487232924e-01	9.5934087038e-01	9.6463358402e-01	9.1336524487e-01	9.6214550734e-01	9.6560984850e-01	9.7333055735e-01	9.4100427628e-01	9.4515150785e-01	9.7101086378e-01	9.5404559374e-01	9.6481364965e-01	9.6737480164e-01	9.5763939619e-01	9.6579480171e-01	9.6191251278e-01	9.6618074179e-01	9.6394753456e-01	9.5373195410e-01	9.6496623755e-01	9.6450394392e-01	9.8060142994e-01	9.6239274740e-01	9.6533250809e-01	9.7936701775e-01	9.6835416555e-01	9.6731978655e-01	9.7748869658e-01	9.7462928295e-01	9.7206199169e-01	9.7478264570e-01	9.7545140982e-01	9.7726237774e-01	9.7095161676e-01	9.7330641747e-01	9.7090595961e-01	9.8524296284e-01	9.7838300467e-01	9.6367311478e-01	9.8452591896e-01	9.8246920109e-01	9.8272126913e-01	9.8345583677e-01	9.8505657911e-01	9.8518121243e-01	9.8195517063e-01	9.8026865721e-01	9.8125940561e-01	9.7990512848e-01	9.8075127602e-01	9.8039436340e-01	9.8839032650e-01	9.8453831673e-01	9.8618143797e-01	9.8794537783e-01	9.7846096754e-01	9.8838335276e-01	9.8729014397e-01	9.8078131676e-01	9.8690700531e-01	9.8638802767e-01	9.7825294733e-01	9.8508954048e-01	9.8518496752e-01	9.7248679399e-01	9.7172200680e-01
3.8141595123e+02	9.3647867441e-01	9.2332386971e-01	9.3010938168e-01	9.2369621992e-01	9.4102835655e-01	9.4790399075e-01	9.0071582794e-01	9.3955749273e-01	9.5721411705e-01	8.5864794254e-01	9.5338284969e-01	9.4691997766e-01	7.7616870403e-01	9.5861554146e-01	9.4697058201e-01	9.6063572168e-01	9.2619192600e-01	9.3572342396e-01	9.5563250780e-01	9.3315583467e-01	9.4504630566e-01	9.4738930464e-01	9.4926691055e-01	9.5493906736e-01	9.3408977985e-01	9.5734637976e-01	9.6275937557e-01	9.1212093830e-01	9.5977967978e-01	9.6593040228e-01	9.7315365076e-01	9.3524730206e-01	9.4032603502e-01	9.7080343962e-01	9.4925338030e-01	9.6066868305e-01	9.6711689234e-01	9.5403873920e-01	9.6267873049e-01	9.6157312393e-01	9.6379274130e-01	9.6175378561e-01	9.5325911045e-01	9.6048676968e-01	9.6242225170e-01	9.8049229383e-01	9.5765239000e-01	9.6112340689e-01	9.7924411297e-01	9.6407496929e-01	9.6284478903e-01	9.7734391689e-01	9.7135442495e-01	9.6858942509e-01	9.7460460663e-01	9.7242313623e-01	9.7431343794e-01	9.7072321177e-01	9.7098666430e-01	9.6865236759e-01	9.8517090082e-01	9.7552150488e-01	9.5923644304e-01	9.8444682360e-01	9.8026078939e-01	9.8051607609e-01	9.8336601257e-01	9.8411709070e-01	9.8428380489e-01	9.8184961081e-01	9.7906768322e-01	9.8002094030e-01	9.7977697849e-01	9.8038518429e-01	9.7979521751e-01	9.8834013939e-01	9.8579549789e-01	9.8586595058e-01	9.8789137602e-01	9.8051661253e-01	9.8865985870e-01	9.8723036051e-01	9.8179340363e-01	9.8779606819e-01	9.8632001877e-01	9.7969931364e-01	9.8650252819e-01	9.8510545492e-01	9.7371011972e-01	9.7254914045e-01
3.8183566067e+02	9.3581467867e-01	9.2038154602e-01	9.2778748274e-01	9.2277038097e-01	9.3818032742e-01	9.4488191605e-01	8.9926666021e-01	9.3719464540e-01	9.5535397530e-01	8.5610169172e-01	9.5215594769e-01	9.4577485323e-01	7.7112478018e-01	9.5780700445e-01	9.4652831554e-01	9.6031576395e-01	9.2115557194e-01	9.3075382710e-01	9.5523214340e-01	9.2851752043e-01	9.4157326221e-01	9.4684624672e-01	9.4619703293e-01	9.5206743479e-01	9.3329268694e-01	9.5514839888e-01	9.6063822508e-01	9.1084927320e-01	9.5720195770e-01	9.6598678827e-01	9.7297495604e-01	9.2928504944e-01	9.3533939123e-01	9.7059369087e-01	9.4422858953e-01	9.5617997646e-01	9.6685570478e-01	9.5011317730e-01	9.5919883251e-01	9.6122896671e-01	9.6109759808e-01	9.5929533243e-01	9.5277869701e-01	9.5552450418e-01	9.6005213261e-01	9.8038226366e-01	9.5245236158e-01	9.5656877756e-01	9.7912001610e-01	9.5934492350e-01	9.5786792040e-01	9.7719764709e-01	9.6762889624e-01	9.6470922232e-01	9.7442454100e-01	9.6895515919e-01	9.7091335058e-01	9.7049194574e-01	9.6828842163e-01	9.6610313654e-01	9.8509824276e-01	9.7218507528e-01	9.5436024666e-01	9.8436713219e-01	9.7759801149e-01	9.7785657644e-01	9.8327541351e-01	9.8284178972e-01	9.8305833340e-01	9.8174309731e-01	9.7751480341e-01	9.7843265533e-01	9.7964751720e-01	9.7973197699e-01	9.7891092300e-01	9.8828965425e-01	9.8659098148e-01	9.8522526026e-01	9.8783695698e-01	9.8218160868e-01	9.8854011297e-01	9.8717010021e-01	9.8248565197e-01	9.8823803663e-01	9.8625141382e-01	9.8080486059e-01	9.8735970259e-01	9.8502528667e-01	9.7464865446e-01	9.7311234474e-01
3.8225537011e+02	9.3514001369e-01	9.1723483801e-01	9.2524951696e-01	9.2182719707e-01	9.3518221378e-01	9.4169241190e-01	8.9778494835e-01	9.3478840590e-01	9.5326912403e-01	8.5348683596e-01	9.5045614243e-01	9.4416642189e-01	7.6592099667e-01	9.5643210411e-01	9.4565004110e-01	9.5999181271e-01	9.1616123915e-01	9.2565852404e-01	9.5482617617e-01	9.2391026020e-01	9.3800210953e-01	9.4629448652e-01	9.4301223755e-01	9.4905412197e-01	9.3248057365e-01	9.5281285048e-01	9.5827829838e-01	9.0954953432e-01	9.5449024439e-01	9.6576315165e-01	9.7279447317e-01	9.2326861620e-01	9.3023240566e-01	9.7038161755e-01	9.3905782700e-01	9.5140022039e-01	9.6659135818e-01	9.4596385956e-01	9.5543551445e-01	9.6087992191e-01	9.5814102888e-01	9.5663946867e-01	9.5229059458e-01	9.5025730133e-01	9.5748984814e-01	9.8027127981e-01	9.4685673714e-01	9.5170277357e-01	9.7899484634e-01	9.5428174734e-01	9.5255404711e-01	9.7704988718e-01	9.6352380514e-01	9.6047389507e-01	9.7424250841e-01	9.6514743567e-01	9.6715986729e-01	9.7025787830e-01	9.6528083086e-01	9.6329379082e-01	9.8502504826e-01	9.6838390827e-01	9.4913285971e-01	9.8428678513e-01	9.7451257706e-01	9.7476148605e-01	9.8318403959e-01	9.8123598099e-01	9.8150670528e-01	9.8163563013e-01	9.7564667463e-01	9.7652244568e-01	9.7951674461e-01	9.7877603769e-01	9.7773814201e-01	9.8823881149e-01	9.8701417446e-01	9.8427629471e-01	9.8778223991e-01	9.8350185156e-01	9.8804271221e-01	9.8710942268e-01	9.8286670446e-01	9.8826992512e-01	9.8618233204e-01	9.8157548904e-01	9.8772639036e-01	9.8494446278e-01	9.7532540560e-01	9.7342753410e-01
3.8267507956e+02	9.3445450068e-01	9.1394644976e-01	9.2252087593e-01	9.2086619139e-01	9.3200296164e-01	9.3829095364e-01	8.9626979828e-01	9.3227535486e-01	9.5098775625e-01	8.5080122948e-01	9.4833284616e-01	9.4212400913e-01	7.6055121422e-01	9.5456278324e-01	9.4433617592e-01	9.5966380835e-01	9.1112536192e-01	9.2044508457e-01	9.5441454649e-01	9.1921305656e-01	9.3426889181e-01	9.4573372602e-01	9.3962693214e-01	9.4584512711e-01	9.3165314198e-01	9.5029008389e-01	9.5569062233e-01	9.0822082758e-01	9.5159882307e-01	9.6527093649e-01	9.7261214256e-01	9.1711503267e-01	9.2496085167e-01	9.7016716003e-01	9.3372762203e-01	9.4633471966e-01	9.6632367373e-01	9.4152897596e-01	9.5133948326e-01	9.6052598953e-01	9.5491844416e-01	9.5378667116e-01	9.5179468393e-01	9.4465404749e-01	9.5471900702e-01	9.8015934229e-01	9.4087010622e-01	9.4651097059e-01	9.7886848450e-01	9.4887870550e-01	9.4687330723e-01	9.7690069675e-01	9.5905339718e-01	9.5587968826e-01	9.7405838966e-01	9.6100878716e-01	9.6304428577e-01	9.7002083063e-01	9.6197009087e-01	9.6024924517e-01	9.8495131731e-01	9.6414738894e-01	9.4357711077e-01	9.8420584202e-01	9.7099369764e-01	9.7122180462e-01	9.8309189081e-01	9.7926896811e-01	9.7959387302e-01	9.8152709007e-01	9.7340720892e-01	9.7424399853e-01	9.7938472033e-01	9.7747999430e-01	9.7621130943e-01	9.8818767071e-01	9.8715949059e-01	9.8299878836e-01	9.8772710562e-01	9.8456120491e-01	9.8718357086e-01	9.8704832792e-01	9.8294121027e-01	9.8793530464e-01	9.8611271381e-01	9.8204261065e-01	9.8769581318e-01	9.8486298323e-01	9.7570621967e-01	9.7347044945e-01
3.8309478900e+02	9.3375784159e-01	9.1054844856e-01	9.1965407133e-01	9.1988694668e-01	9.2868977785e-01	9.3472266197e-01	8.9472025633e-01	9.2962819338e-01	9.4850945473e-01	8.4804230928e-01	9.4580566883e-01	9.3963497877e-01	7.5500935316e-01	9.5223903656e-01	9.4254434109e-01	9.5933175087e-01	9.0606224537e-01	9.1511094570e-01	9.5399707556e-01	9.1443359852e-01	9.3039524555e-01	9.4516390562e-01	9.3605744839e-01	9.4244956970e-01	9.3080991507e-01	9.4760555029e-01	9.5289063454e-01	9.0686231852e-01	9.4850772619e-01	9.6446955204e-01	9.7242790461e-01	9.1086298227e-01	9.1950750351e-01	9.6995031834e-01	9.2821741104e-01	9.4099509716e-01	9.6605265141e-01	9.3684381247e-01	9.4694578648e-01	9.6016710997e-01	9.5142620802e-01	9.5072793961e-01	9.5129066706e-01	9.3878370523e-01	9.5173168182e-01	9.8004645109e-01	9.3454712629e-01	9.4098699093e-01	9.7874093056e-01	9.4316178560e-01	9.4088649750e-01	9.7674995661e-01	9.5425903797e-01	9.5095682144e-01	9.7387230396e-01	9.5656353235e-01	9.5858806372e-01	9.6978080273e-01	9.5836609602e-01	9.5695966482e-01	9.8487704992e-01	9.5948153734e-01	9.3770778179e-01	9.8412424326e-01	9.6705263853e-01	9.6723949909e-01	9.8299896717e-01	9.7691702843e-01	9.7729218006e-01	9.8141765594e-01	9.7074508667e-01	9.7154545784e-01	9.7925132513e-01	9.7587263584e-01	9.7435700893e-01	9.8813617229e-01	9.8709899187e-01	9.8137432337e-01	9.8767161369e-01	9.8541563749e-01	9.8598295450e-01	9.8698675632e-01	9.8274254799e-01	9.8728418350e-01	9.8604249954e-01	9.8221027851e-01	9.8734724522e-01	9.8478072882e-01	9.7578966618e-01	9.7321033478e-01
3.8351449844e+02	9.3304991722e-01	9.0706217289e-01	9.1667765379e-01	9.1888892651e-01	9.2525053024e-01	9.3100029230e-01	8.9313519001e-01	9.2680656910e-01	9.4582521915e-01	8.4520751238e-01	9.4290554523e-01	9.3668603897e-01	7.4928903580e-01	9.4951272011e-01	9.4023472071e-01	9.5899546146e-01	9.0093284845e-01	9.0965050459e-01	9.5357364416e-01	9.0952467918e-01	9.2634725571e-01	9.4458472729e-01	9.3230372667e-01	9.3884676695e-01	9.2995065451e-01	9.4476670027e-01	9.4989043474e-01	9.0547317266e-01	9.4518762827e-01	9.6335566044e-01	9.7224181890e-01	9.0448117256e-01	9.1386151314e-01	9.6973109245e-01	9.2251533270e-01	9.3537223339e-01	9.6577823162e-01	9.3192219734e-01	9.4226378202e-01	9.5980304480e-01	9.4764614105e-01	9.4743204117e-01	9.5077842474e-01	9.3265897036e-01	9.4848972559e-01	9.7993254662e-01	9.2793697119e-01	9.3514835835e-01	9.7861224413e-01	9.3713539839e-01	9.3460679054e-01	9.7659766674e-01	9.4917011261e-01	9.4573348761e-01	9.7368407249e-01	9.5184421539e-01	9.5382297039e-01	9.6953779459e-01	9.5448523760e-01	9.5342999697e-01	9.8480224609e-01	9.5440638065e-01	9.3152445555e-01	9.8404198885e-01	9.6271705627e-01	9.6283394098e-01	9.8290526867e-01	9.7415870428e-01	9.7457641363e-01	9.8130714893e-01	9.6759039164e-01	9.6835982800e-01	9.7911655903e-01	9.7397929430e-01	9.7219628096e-01	9.8808431625e-01	9.8685383797e-01	9.7937530279e-01	9.8761570454e-01	9.8606187105e-01	9.8444253206e-01	9.8692476749e-01	9.8230791092e-01	9.8635196686e-01	9.8597174883e-01	9.8208892345e-01	9.8672974110e-01	9.8469781876e-01	9.7558844090e-01	9.7262763977e-01
