case_index	case_tag	midpoint_nm	separation_nm	target_low_nm	target_high_nm	direct_detected	direct_significant_minima_count	direct_extra_minima_count	direct_predicted_low_nm	direct_predicted_high_nm	direct_low_signed_error_nm	direct_high_signed_error_nm	direct_low_absolute_error_nm	direct_high_absolute_error_nm	direct_emax_nm	direct_pair_rmse_nm	direct_midpoint_error_nm	direct_separation_error_nm	direct_ideal_spectrum_mse	direct_peak1_transmittance	direct_peak2_transmittance	direct_worst_valley_transmittance	direct_peak1_fwhm_nm	direct_peak2_fwhm_nm	direct_widest_fwhm_nm	direct_minimum_prominence	direct_R	direct_n_host1	direct_n_host2	cvae_detected	cvae_significant_minima_count	cvae_extra_minima_count	cvae_predicted_low_nm	cvae_predicted_high_nm	cvae_low_signed_error_nm	cvae_high_signed_error_nm	cvae_low_absolute_error_nm	cvae_high_absolute_error_nm	cvae_emax_nm	cvae_pair_rmse_nm	cvae_midpoint_error_nm	cvae_separation_error_nm	cvae_ideal_spectrum_mse	cvae_peak1_transmittance	cvae_peak2_transmittance	cvae_worst_valley_transmittance	cvae_peak1_fwhm_nm	cvae_peak2_fwhm_nm	cvae_widest_fwhm_nm	cvae_minimum_prominence	cvae_R	cvae_n_host1	cvae_n_host2	cvae_emax_improvement_nm	cvae_selected_candidate_index	cvae_condition_order_code	cvae_candidate_valid_count	cvae_final_response_valid_count	cvae_selected_shape_gate_passed	cvae_selected_shape_minimax_score	cvae_best_available_position_error_nm	cvae_position_quality_window_nm	cvae_candidate_significant_minima_count	cvae_candidate_extra_minima_count	cvae_candidate_emax_nm	cvae_ideal_to_candidate_mse	cvae_candidate_to_final_mse
1	450_490	4.7000000000e+02	4.0000000000e+01	4.5000000000e+02	4.9000000000e+02	1	2	0	4.4647091462e+02	4.9012069650e+02	-3.5290853825e+00	1.2069650227e-01	3.5290853825e+00	1.2069650227e-01	3.5290853825e+00	2.4968992053e+00	1.7041944401e+00	3.6497818848e+00	3.4209746288e-03	1.9075638056e-01	2.8150547296e-02	1.9075638056e-01	8.9913534628e+00	6.8234541829e+01	6.8234541829e+01	1.5725630522e-01	5.4239592552e+00	2.1191167831e+00	1.8508740664e+00	1	2	0	4.4647091462e+02	4.9096011538e+02	-3.5290853825e+00	9.6011538467e-01	3.5290853825e+00	9.6011538467e-01	3.5290853825e+00	2.5861424158e+00	1.2844849989e+00	4.4892007672e+00	4.7261193894e-03	4.5308347791e-02	2.7273451909e-02	4.5308347791e-02	1.6250614294e+01	7.4613884554e+01	7.4613884554e+01	4.3177587166e-01	5.5905528069e+00	2.1002514362e+00	1.8239315748e+00	0.0000000000e+00	16	1	20	20	1	1.1580082001e+00	3.5290853825e+00	6.0290853825e+00	2	0	3.5290853825e+00	3.3121088054e-03	8.8559306460e-04
2	440_500	4.7000000000e+02	6.0000000000e+01	4.4000000000e+02	5.0000000000e+02	1	2	0	4.4563149574e+02	5.0606965527e+02	5.6314957351e+00	6.0696552679e+00	5.6314957351e+00	6.0696552679e+00	6.0696552679e+00	5.8546758785e+00	5.8505755015e+00	4.3815953280e-01	5.1310441556e-03	5.2860148251e-02	3.5794977099e-02	5.2860148251e-02	2.0299615590e+01	3.3228188708e+01	3.3228188708e+01	6.2598054856e-01	5.4249386787e+00	2.2076706886e+00	1.8091936111e+00	1	2	0	4.4479207685e+02	5.0564994583e+02	4.7920768527e+00	5.6499458267e+00	4.7920768527e+00	5.6499458267e+00	5.6499458267e+00	5.2386013594e+00	5.2210113397e+00	8.5786897400e-01	9.3449576382e-03	8.2847796381e-02	1.2328521162e-01	1.2328521162e-01	2.3802038795e+01	2.0725683556e+01	2.3802038795e+01	6.6265996546e-01	4.9004044533e+00	2.2284846306e+00	1.7958729267e+00	4.1970944120e-01	17	1	20	20	1	7.5453479320e-01	4.3723674115e+00	6.8723674115e+00	3	1	5.6499458267e+00	1.0277712718e-02	2.2053718567e-03
3	430_510	4.7000000000e+02	8.0000000000e+01	4.3000000000e+02	5.1000000000e+02	1	2	0	4.3010224641e+02	5.0690907415e+02	1.0224641067e-01	-3.0909258497e+00	1.0224641067e-01	3.0909258497e+00	3.0909258497e+00	2.1868101126e+00	1.4943397195e+00	3.1931722604e+00	6.7715533089e-03	4.9183275551e-02	5.9819083661e-02	5.9819083661e-02	2.7864312730e+01	2.7557487762e+01	2.7864312730e+01	7.5591023639e-01	5.4824953079e+00	2.2448630333e+00	1.7256040573e+00	1	2	0	4.3010224641e+02	5.0564994583e+02	1.0224641067e-01	-4.3500541733e+00	1.0224641067e-01	4.3500541733e+00	4.3500541733e+00	3.0768023693e+00	2.1239038813e+00	4.4523005840e+00	1.2792493891e-02	8.6700879037e-02	1.0460078716e-01	1.0460078716e-01	2.2161464876e+01	2.2174534836e+01	2.2174534836e+01	7.9083067179e-01	4.7533583641e+00	2.2296571732e+00	1.7227470875e+00	-1.2591283236e+00	19	1	20	20	1	6.3224659568e-01	3.0909258497e+00	5.5909258497e+00	3	1	4.7697636145e+00	1.1515288614e-02	2.5902150664e-03
4	420_520	4.7000000000e+02	1.0000000000e+02	4.2000000000e+02	5.2000000000e+02	1	2	0	4.1751096317e+02	5.2159890459e+02	-2.4890368253e+00	1.5989045923e+00	2.4890368253e+00	1.5989045923e+00	2.4890368253e+00	2.0918652219e+00	4.4506611653e-01	4.0879414176e+00	8.3147890199e-03	1.5321035683e-01	4.5304719359e-02	1.5321035683e-01	3.1599086415e+01	3.0743740593e+01	3.1599086415e+01	7.5525735319e-01	5.5223412514e+00	2.3247437477e+00	1.6411250830e+00	1	2	0	4.1667154429e+02	5.2159890459e+02	-3.3284557077e+00	1.5989045923e+00	3.3284557077e+00	1.5989045923e+00	3.3284557077e+00	2.6110451254e+00	8.6477555773e-01	4.9273603000e+00	1.4284863614e-02	6.4785726368e-02	3.3409643918e-02	6.4785726368e-02	2.3754178848e+01	2.9278882702e+01	2.9278882702e+01	8.4853078052e-01	5.4866385460e+00	2.3123106956e+00	1.6039317846e+00	-8.3941888240e-01	17	1	20	20	1	5.8925381551e-01	2.9087462665e+00	5.4087462665e+00	2	0	3.3284557077e+00	1.1455375701e-02	6.0959701659e-04
5	410_530	4.7000000000e+02	1.2000000000e+02	4.1000000000e+02	5.3000000000e+02	1	2	0	4.3052195585e+02	5.3670844448e+02	2.0521955852e+01	6.7084444755e+00	2.0521955852e+01	6.7084444755e+00	2.0521955852e+01	1.5266857883e+01	1.3615200164e+01	1.3813511376e+01	3.4094056815e-02	3.5400006920e-02	5.4220218211e-02	5.4220218211e-02	2.9446962277e+01	3.7342519480e+01	3.7342519480e+01	8.2511840388e-01	5.7453727722e+00	2.3567061424e+00	1.7158490419e+00	1	2	0	4.1667154429e+02	5.3670844448e+02	6.6715442923e+00	6.7084444755e+00	6.6715442923e+00	6.7084444755e+00	6.7084444755e+00	6.6900198252e+00	6.6899943839e+00	3.6900183200e-02	2.2738921122e-02	5.7565178722e-02	3.5432323813e-02	5.7565178722e-02	2.4619960155e+01	3.0021754351e+01	3.0021754351e+01	8.1530232728e-01	5.5201396942e+00	2.3773558140e+00	1.5809623003e+00	1.3813511376e+01	17	1	20	18	1	6.1326943794e-01	5.8321254099e+00	8.3321254099e+00	2	0	6.2518348511e+00	1.8955554813e-02	8.0044777133e-04
6	472_512	4.9200000000e+02	4.0000000000e+01	4.7200000000e+02	5.1200000000e+02	1	3	1	4.7501115662e+02	5.0774849303e+02	3.0111566191e+00	-4.2515069673e+00	3.0111566191e+00	4.2515069673e+00	4.2515069673e+00	3.6839093147e+00	6.2017517413e-01	7.2626635864e+00	5.1291038559e-03	4.2269580066e-02	1.8289048970e-01	1.8289048970e-01	6.9991811212e+01	2.4799195488e+01	6.9991811212e+01	1.7919491231e-01	5.4087505341e+00	2.2490310669e+00	1.9964044094e+00	1	3	1	4.7375202830e+02	5.0564994583e+02	1.7520282955e+00	-6.3500541733e+00	1.7520282955e+00	6.3500541733e+00	6.3500541733e+00	4.6579389837e+00	2.2990129389e+00	8.1020824688e+00	2.9526006946e-02	2.6411309838e-01	4.6263077855e-01	4.6263077855e-01	1.6707834523e+01	2.2873518944e+01	2.2873518944e+01	2.3890724778e-01	3.7672500610e+00	2.2512068748e+00	1.9905588627e+00	-2.0985472060e+00	5	0	20	20	0	2.3131538928e+00	5.0909258497e+00	7.5909258497e+00	3	1	6.3500541733e+00	2.8170667589e-02	2.3079223465e-03
7	462_522	4.9200000000e+02	6.0000000000e+01	4.6200000000e+02	5.2200000000e+02	1	3	1	4.7375202830e+02	5.2159890459e+02	1.1752028295e+01	-4.0109540773e-01	1.1752028295e+01	4.0109540773e-01	1.1752028295e+01	8.3147774048e+00	5.6754664439e+00	1.2153123703e+01	8.9046289969e-03	2.2952559590e-01	6.2457248569e-02	2.2952559590e-01	2.3258974245e+01	3.7213033944e+01	3.7213033944e+01	3.3539792895e-01	5.2921686172e+00	2.3302767277e+00	1.9541199207e+00	1	2	0	4.5906219785e+02	5.2159890459e+02	-2.9378021465e+00	-4.0109540773e-01	2.9378021465e+00	4.0109540773e-01	2.9378021465e+00	2.0966114302e+00	1.6694487771e+00	2.5367067388e+00	7.9363199211e-03	8.3013311028e-02	8.7155379355e-02	8.7155379355e-02	2.2746161872e+01	2.2544230429e+01	2.2746161872e+01	6.6145034879e-01	5.0244703293e+00	2.3255548477e+00	1.8776483536e+00	8.8142261489e+00	17	1	20	20	1	7.6112260797e-01	1.2589643817e+00	3.7589643817e+00	3	1	2.9378021465e+00	7.9521257430e-03	4.1786739603e-03
8	452_532	4.9200000000e+02	8.0000000000e+01	4.5200000000e+02	5.3200000000e+02	1	2	0	4.5990161674e+02	5.3586902559e+02	7.9016167359e+00	3.8690255931e+00	7.9016167359e+00	3.8690255931e+00	7.9016167359e+00	6.2211295630e+00	5.8853211645e+00	4.0325911428e+00	9.2895752636e-03	6.8798527122e-02	5.1738422364e-02	6.8798527122e-02	2.0746415753e+01	3.1298266454e+01	3.1298266454e+01	7.3407001793e-01	5.2674245834e+00	2.4017913342e+00	1.8909251690e+00	1	2	0	4.5906219785e+02	5.3670844448e+02	7.0621978535e+00	4.7084444755e+00	7.0621978535e+00	4.7084444755e+00	7.0621978535e+00	6.0018367147e+00	5.8853211645e+00	2.3537533780e+00	1.0343210741e-02	1.1915349215e-01	6.0432255268e-02	1.1915349215e-01	2.0694460467e+01	2.8398633095e+01	2.8398633095e+01	7.2980207950e-01	5.0304660797e+00	2.4263916016e+00	1.8541719913e+00	8.3941888240e-01	15	1	20	20	1	8.6018350214e-01	5.9487948237e+00	8.4487948237e+00	3	1	6.6424884123e+00	9.4039468095e-03	3.7342885043e-03
9	442_542	4.9200000000e+02	1.0000000000e+02	4.4200000000e+02	5.4200000000e+02	1	2	0	4.4521178629e+02	5.3838728224e+02	3.2117862939e+00	-3.6127177597e+00	3.2117862939e+00	3.6127177597e+00	3.6127177597e+00	3.4181355158e+00	2.0046573293e-01	6.8245040536e+00	7.5526074879e-03	5.8821603656e-02	1.7397667468e-01	1.7397667468e-01	2.7428167912e+01	3.7784185593e+01	3.7784185593e+01	7.1106497943e-01	5.2516002655e+00	2.4465847015e+00	1.7962775230e+00	1	2	0	4.4479207685e+02	5.3586902559e+02	2.7920768527e+00	-6.1309744069e+00	2.7920768527e+00	6.1309744069e+00	6.1309744069e+00	4.7636404319e+00	1.6694487771e+00	8.9230512596e+00	1.0377514218e-02	7.8266598284e-02	6.6743381321e-02	7.8266598284e-02	2.3683876235e+01	2.6228237053e+01	2.6228237053e+01	8.2291319221e-01	4.9467487335e+00	2.4157648087e+00	1.7975018024e+00	-2.5182566472e+00	19	1	20	20	1	6.0759750206e-01	4.4709146175e+00	6.9709146175e+00	2	0	5.7112649657e+00	9.6055809408e-03	9.8499593150e-05
10	432_552	4.9200000000e+02	1.2000000000e+02	4.3200000000e+02	5.5200000000e+02	1	2	0	4.5906219785e+02	5.5265740324e+02	2.7062197853e+01	6.5740324107e-01	2.7062197853e+01	6.5740324107e-01	2.7062197853e+01	1.9141508975e+01	1.3859800547e+01	2.6404794612e+01	2.8455010461e-02	1.1687032878e-01	4.8945266753e-02	1.1687032878e-01	2.3927897743e+01	3.2089327822e+01	3.2089327822e+01	7.6555795968e-01	5.1348576546e+00	2.4964833260e+00	1.8473176956e+00	1	2	0	4.3010224641e+02	5.5265740324e+02	-1.8977535893e+00	6.5740324107e-01	1.8977535893e+00	6.5740324107e-01	1.8977535893e+00	1.4201492364e+00	6.2017517413e-01	2.5551568304e+00	1.3951093813e-02	6.0070101172e-02	6.0965891927e-02	6.0965891927e-02	2.6127525494e+01	2.9417797696e+01	2.9417797696e+01	8.1068140641e-01	5.0411081314e+00	2.4918451309e+00	1.7006061077e+00	2.5164444264e+01	14	1	20	20	1	6.1676510161e-01	1.8977535893e+00	4.3977535893e+00	2	0	1.8977535893e+00	1.2319755740e-02	1.2637667533e-04
