method	rank	valid_case_count	emax_nm	empirical_cumulative_probability
Direct_Tandem	1	30	1.1791951511e+00	3.3333333333e-02
Direct_Tandem	2	30	2.1820156413e+00	6.6666666667e-02
Direct_Tandem	3	30	2.4890368253e+00	1.0000000000e-01
Direct_Tandem	4	30	2.8615681787e+00	1.3333333333e-01
Direct_Tandem	5	30	3.0260714479e+00	1.6666666667e-01
Direct_Tandem	6	30	3.0909258497e+00	2.0000000000e-01
Direct_Tandem	7	30	3.5290853825e+00	2.3333333333e-01
Direct_Tandem	8	30	3.6091824969e+00	2.6666666667e-01
Direct_Tandem	9	30	3.6127177597e+00	3.0000000000e-01
Direct_Tandem	10	30	3.8793034977e+00	3.3333333333e-01
Direct_Tandem	11	30	4.2515069673e+00	3.6666666667e-01
Direct_Tandem	12	30	4.3397762687e+00	4.0000000000e-01
Direct_Tandem	13	30	4.8474271275e+00	4.3333333333e-01
Direct_Tandem	14	30	5.0225361851e+00	4.6666666667e-01
Direct_Tandem	15	30	6.0696552679e+00	5.0000000000e-01
Direct_Tandem	16	30	6.2990129389e+00	5.3333333333e-01
Direct_Tandem	17	30	6.8208048489e+00	5.6666666667e-01
Direct_Tandem	18	30	7.8793034977e+00	6.0000000000e-01
Direct_Tandem	19	30	7.9016167359e+00	6.3333333333e-01
Direct_Tandem	20	30	8.1866525655e+00	6.6666666667e-01
Direct_Tandem	21	30	8.2376937999e+00	7.0000000000e-01
Direct_Tandem	22	30	8.9264225805e+00	7.3333333333e-01
Direct_Tandem	23	30	8.9739285521e+00	7.6666666667e-01
Direct_Tandem	24	30	9.3323188543e+00	8.0000000000e-01
Direct_Tandem	25	30	1.0796385893e+01	8.3333333333e-01
Direct_Tandem	26	30	1.1489751598e+01	8.6666666667e-01
Direct_Tandem	27	30	1.1752028295e+01	9.0000000000e-01
Direct_Tandem	28	30	2.0521955852e+01	9.3333333333e-01
Direct_Tandem	29	30	2.7062197853e+01	9.6666666667e-01
Direct_Tandem	30	30	3.5700987061e+01	1.0000000000e+00
CVAE_assisted_Tandem	1	30	1.1791951511e+00	3.3333333333e-02
CVAE_assisted_Tandem	2	30	1.3425967589e+00	6.6666666667e-02
CVAE_assisted_Tandem	3	30	1.8977535893e+00	1.0000000000e-01
CVAE_assisted_Tandem	4	30	2.9378021465e+00	1.3333333333e-01
CVAE_assisted_Tandem	5	30	3.0260714479e+00	1.6666666667e-01
CVAE_assisted_Tandem	6	30	3.3284557077e+00	2.0000000000e-01
CVAE_assisted_Tandem	7	30	3.4595940565e+00	2.3333333333e-01
CVAE_assisted_Tandem	8	30	3.5290853825e+00	2.6666666667e-01
CVAE_assisted_Tandem	9	30	3.6091824969e+00	3.0000000000e-01
CVAE_assisted_Tandem	10	30	3.7009870611e+00	3.3333333333e-01
CVAE_assisted_Tandem	11	30	4.1309744069e+00	3.6666666667e-01
CVAE_assisted_Tandem	12	30	4.3500541733e+00	4.0000000000e-01
CVAE_assisted_Tandem	13	30	4.7594857099e+00	4.3333333333e-01
CVAE_assisted_Tandem	14	30	5.0621978535e+00	4.6666666667e-01
CVAE_assisted_Tandem	15	30	5.6499458267e+00	5.0000000000e-01
CVAE_assisted_Tandem	16	30	5.8619550675e+00	5.3333333333e-01
CVAE_assisted_Tandem	17	30	5.8654903303e+00	5.6666666667e-01
CVAE_assisted_Tandem	18	30	6.1309744069e+00	6.0000000000e-01
CVAE_assisted_Tandem	19	30	6.1380449325e+00	6.3333333333e-01
CVAE_assisted_Tandem	20	30	6.3500541733e+00	6.6666666667e-01
CVAE_assisted_Tandem	21	30	6.7084444755e+00	7.0000000000e-01
CVAE_assisted_Tandem	22	30	6.8105269443e+00	7.3333333333e-01
CVAE_assisted_Tandem	23	30	6.8208048489e+00	7.6666666667e-01
CVAE_assisted_Tandem	24	30	6.9739285521e+00	8.0000000000e-01
CVAE_assisted_Tandem	25	30	7.0621978535e+00	8.3333333333e-01
CVAE_assisted_Tandem	26	30	7.2475848157e+00	8.6666666667e-01
CVAE_assisted_Tandem	27	30	7.2950907873e+00	9.0000000000e-01
CVAE_assisted_Tandem	28	30	7.3982749175e+00	9.3333333333e-01
CVAE_assisted_Tandem	29	30	7.7623062001e+00	9.6666666667e-01
CVAE_assisted_Tandem	30	30	8.5102484021e+00	1.0000000000e+00
