midpoint_nm	separation_nm	target_low_nm	target_high_nm	direct_emax_nm	cvae_emax_nm
4.7000000000e+02	4.0000000000e+01	4.5000000000e+02	4.9000000000e+02	3.5290853825e+00	3.5290853825e+00
4.7000000000e+02	6.0000000000e+01	4.4000000000e+02	5.0000000000e+02	6.0696552679e+00	5.6499458267e+00
4.7000000000e+02	8.0000000000e+01	4.3000000000e+02	5.1000000000e+02	3.0909258497e+00	4.3500541733e+00
4.7000000000e+02	1.0000000000e+02	4.2000000000e+02	5.2000000000e+02	2.4890368253e+00	3.3284557077e+00
4.7000000000e+02	1.2000000000e+02	4.1000000000e+02	5.3000000000e+02	2.0521955852e+01	6.7084444755e+00
4.9200000000e+02	4.0000000000e+01	4.7200000000e+02	5.1200000000e+02	4.2515069673e+00	6.3500541733e+00
4.9200000000e+02	6.0000000000e+01	4.6200000000e+02	5.2200000000e+02	1.1752028295e+01	2.9378021465e+00
4.9200000000e+02	8.0000000000e+01	4.5200000000e+02	5.3200000000e+02	7.9016167359e+00	7.0621978535e+00
4.9200000000e+02	1.0000000000e+02	4.4200000000e+02	5.4200000000e+02	3.6127177597e+00	6.1309744069e+00
4.9200000000e+02	1.2000000000e+02	4.3200000000e+02	5.5200000000e+02	2.7062197853e+01	1.8977535893e+00
5.1400000000e+02	4.0000000000e+01	4.9400000000e+02	5.3400000000e+02	3.8793034977e+00	3.4595940565e+00
5.1400000000e+02	6.0000000000e+01	4.8400000000e+02	5.4400000000e+02	8.2376937999e+00	7.3982749175e+00
5.1400000000e+02	8.0000000000e+01	4.7400000000e+02	5.5400000000e+02	2.1820156413e+00	1.3425967589e+00
5.1400000000e+02	1.0000000000e+02	4.6400000000e+02	5.6400000000e+02	9.3323188543e+00	5.8654903303e+00
5.1400000000e+02	1.2000000000e+02	4.5400000000e+02	5.7400000000e+02	3.5700987061e+01	5.0621978535e+00
5.3600000000e+02	4.0000000000e+01	5.1600000000e+02	5.5600000000e+02	4.3397762687e+00	4.7594857099e+00
5.3600000000e+02	6.0000000000e+01	5.0600000000e+02	5.6600000000e+02	3.0260714479e+00	3.0260714479e+00
5.3600000000e+02	8.0000000000e+01	4.9600000000e+02	5.7600000000e+02	6.2990129389e+00	6.9739285521e+00
5.3600000000e+02	1.0000000000e+02	4.8600000000e+02	5.8600000000e+02	2.8615681787e+00	3.7009870611e+00
5.3600000000e+02	1.2000000000e+02	4.7600000000e+02	5.9600000000e+02	8.9264225805e+00	7.2475848157e+00
5.5800000000e+02	4.0000000000e+01	5.3800000000e+02	5.7800000000e+02	8.9739285521e+00	7.2950907873e+00
5.5800000000e+02	6.0000000000e+01	5.2800000000e+02	5.8800000000e+02	6.8208048489e+00	6.8208048489e+00
5.5800000000e+02	8.0000000000e+01	5.1800000000e+02	5.9800000000e+02	5.0225361851e+00	5.8619550675e+00
5.5800000000e+02	1.0000000000e+02	5.0800000000e+02	6.0800000000e+02	3.6091824969e+00	3.6091824969e+00
5.5800000000e+02	1.2000000000e+02	4.9800000000e+02	6.1800000000e+02	7.8793034977e+00	6.8105269443e+00
5.8000000000e+02	4.0000000000e+01	5.6000000000e+02	6.0000000000e+02	8.1866525655e+00	7.7623062001e+00
5.8000000000e+02	6.0000000000e+01	5.5000000000e+02	6.1000000000e+02	1.1489751598e+01	6.1380449325e+00
5.8000000000e+02	8.0000000000e+01	5.4000000000e+02	6.2000000000e+02	4.8474271275e+00	4.1309744069e+00
5.8000000000e+02	1.0000000000e+02	5.3000000000e+02	6.3000000000e+02	1.0796385893e+01	8.5102484021e+00
5.8000000000e+02	1.2000000000e+02	5.2000000000e+02	6.4000000000e+02	1.1791951511e+00	1.1791951511e+00
