z1	z2	z3	z4	z5	z6	z7	z8	z9	z10	z11	z12	z13	z14	z15	z16	z17	z18	z19	z20
1.9269152880e+00	1.4872840643e+00	9.0071719885e-01	-2.1055209637e+00	6.7841845751e-01	-1.2345448732e+00	-4.3067477643e-02	-1.6046669483e+00	-7.5213527679e-01	1.6487230062e+00	-3.9247864485e-01	-1.4036071301e+00	-7.2788131237e-01	-5.5943018198e-01	-7.6883888245e-01	7.6244539022e-01	1.6423169374e+00	-1.5959747136e-01	-4.9739754200e-01	4.3958926201e-01
-7.5813114643e-01	1.0783176422e+00	8.0080056190e-01	1.6806205511e+00	1.2791243792e+00	1.2964228392e+00	6.1046648026e-01	1.3347377777e+00	-2.3162432015e-01	4.1759490967e-02	-2.5157529116e-01	8.5985851288e-01	-1.3846737146e+00	-8.7123614550e-01	-2.2336591780e-01	1.7173614502e+00	3.1888031960e-01	-4.2451897264e-01	3.0572092533e-01	-7.7459251881e-01
-1.5575724840e+00	9.9563610554e-01	-8.7978583574e-01	-6.0114204884e-01	-1.2741512060e+00	2.1227850914e+00	-1.2346531153e+00	-4.8791387677e-01	-9.1382300854e-01	-6.5813726187e-01	7.8023873270e-02	5.2580875158e-01	-4.8799172044e-01	1.1913690567e+00	-8.1400763988e-01	-7.3599278927e-01	-1.4032478333e+00	3.6003667861e-02	-6.3477270305e-02	6.7561489344e-01
-9.7806893289e-02	1.8445940018e+00	-1.1845374107e+00	1.3835493326e+00	1.4451338053e+00	8.5641252995e-01	2.2180757523e+00	5.2316552401e-01	3.4664666653e-01	-1.9733144343e-01	-1.0545889139e+00	1.2779955864e+00	-1.7219012976e-01	5.2378845215e-01	5.6621819735e-02	4.2629614472e-01	5.7500505447e-01	-6.4172410965e-01	-2.2063984871e+00	-7.5080305338e-01
1.0868144222e-02	-3.3874234557e-01	-1.3406795263e+00	-5.8537054062e-01	5.3618812561e-01	5.2462261915e-01	1.1412016153e+00	5.1643595099e-02	7.4395197630e-01	-4.8158439994e-01	-1.0494661331e+00	6.0389882326e-01	-1.7222950459e+00	-8.2776886225e-01	1.3347029686e+00	4.8353928328e-01	-2.5095443726e+00	4.8800104856e-01	7.8458684683e-01	2.8647186235e-02
6.4075529575e-01	5.8324742317e-01	1.0669267178e+00	-4.5015338063e-01	-1.8526747823e-01	7.5275886059e-01	4.0475779772e-01	1.7846599221e-01	2.6490950584e-01	1.2731683254e+00	-1.3108636485e-03	-3.0360376835e-01	-1.4570291042e+00	-1.0233523697e-01	-5.9915304184e-01	4.7705641389e-01	7.2617721558e-01	9.1151863337e-02	-3.8906520605e-01	5.2791649103e-01
-1.2685478665e-02	2.4083632231e-01	1.3253536820e-01	7.6424062252e-01	1.0950096846e+00	3.3989095688e-01	7.1996748447e-01	4.1140761971e-01	1.9311605692e+00	1.0118638277e+00	-1.4364064932e+00	-1.1298598051e+00	-1.3603453338e-01	1.6354095936e+00	6.5474075079e-01	5.7600456476e-01	1.1415079832e+00	1.8564576283e-02	-1.8058050871e+00	9.2543488741e-01
-3.7534436584e-01	1.0330873728e+00	-6.8665093184e-01	6.3681364059e-01	-9.7267389297e-01	9.5845776796e-01	1.6192004681e+00	1.4506098032e+00	2.6948153973e-01	-2.1037597954e-01	-7.3280274868e-01	1.0429783165e-01	3.4875169396e-01	9.6759414673e-01	-4.6568843722e-01	1.6047972441e+00	-2.4801201820e+00	-4.1754373908e-01	-1.1954537630e+00	8.1233692169e-01
-1.9005532265e+00	2.2857652605e-01	2.4859404191e-02	-3.4595024586e-01	2.8683280945e-01	-7.3084241152e-01	1.7482025921e-01	-1.0939292908e+00	-1.6021603346e+00	1.3528969288e+00	1.2888276577e+00	5.2295472473e-02	-1.5468504429e+00	7.5670605898e-01	7.7551949024e-01	2.0265355110e+00	3.5817611963e-02	1.2058872730e-01	-8.0566370487e-01	-2.0757682621e-01
-9.3194782734e-01	-1.5909662247e+00	-1.1359757185e+00	-5.2259761095e-01	-1.5933106840e-01	-4.2494368553e-01	9.4423097372e-01	-1.8493452668e-01	1.0607991219e+00	2.0830345154e-01	-5.7784807682e-01	3.2546144724e-01	2.6177796721e-01	-7.5993484259e-01	-2.0461385250e+00	-1.5294533968e+00	4.0486922860e-01	6.3187646866e-01	3.1253248453e-01	-3.3501520753e-02
