case_index	case_tag	target_low_nm	target_high_nm	candidate_index	condition_order_code	valid	candidate_spectrum_valid	candidate_spectrum_maximum_absolute_error_nm	candidate_spectrum_summed_absolute_error_nm	peak1_wavelength_nm	peak2_wavelength_nm	peak1_signed_error_nm	peak2_signed_error_nm	maximum_absolute_error_nm	summed_absolute_error_nm	mean_absolute_error_nm	peak1_transmittance	peak2_transmittance	worst_valley_transmittance	peak1_fwhm_nm	peak2_fwhm_nm	widest_fwhm_nm	peak1_prominence	peak2_prominence	minimum_prominence	valley_transmittance_imbalance	peak1_fwhm_to_ideal_ratio	peak2_fwhm_to_ideal_ratio	shape_gate_passed	shape_minimax_score	inside_position_window	selected
1	450_490	4.5000000000e+02	4.9000000000e+02	0	0	1	1	5.1571960449e+00	6.1680297852e+00	4.4982858276e+02	4.9263894653e+02	-1.7141723633e-01	2.6389465332e+00	2.6389465332e+00	2.8103637695e+00	1.4051818848e+00	4.8102971166e-02	8.9385747910e-02	8.9385747910e-02	2.9602436964e+01	2.3935288848e+01	2.9602436964e+01	8.1573224440e-01	3.9898264408e-01	3.9898264408e-01	4.1282776743e-02	1.7639129418e+00	3.4065918848e-01	0	2.1826084052e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	1	0	1	1	3.4783630371e+00	4.4891967773e+00	4.4898916626e+02	4.9431777954e+02	-1.0108337402e+00	4.3177795410e+00	4.3177795410e+00	5.3286132812e+00	2.6643066406e+00	4.2313121259e-02	4.4265765697e-02	4.4265765697e-02	2.6228674844e+01	2.3322069212e+01	2.6228674844e+01	8.2205752283e-01	5.7226083800e-01	5.7226083800e-01	1.9526444376e-03	1.5628814297e+00	3.3193153515e-01	0	1.9087670424e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	2	0	1	1	3.8980712891e+00	4.9089050293e+00	4.4898916626e+02	4.9347836304e+02	-1.0108337402e+00	3.4783630371e+00	3.4783630371e+00	4.4891967773e+00	2.2445983887e+00	4.0385928750e-01	3.8331347704e-01	4.0385928750e-01	1.1889052630e+01	1.5475489570e+01	1.5475489570e+01	4.5787379146e-01	5.2924746275e-01	4.5787379146e-01	2.0545810461e-02	7.0842997913e-01	2.2025502813e-01	0	2.2278427768e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	3	0	1	1	3.8980712891e+00	4.9089050293e+00	4.4898916626e+02	4.9389807129e+02	-1.0108337402e+00	3.8980712891e+00	3.8980712891e+00	4.9089050293e+00	2.4544525146e+00	5.0086832047e-01	5.0499784946e-01	5.0499784946e-01	1.2281449666e+01	1.3105380426e+01	1.3105380426e+01	4.1259443760e-01	3.7253695726e-01	3.7253695726e-01	4.1295289993e-03	7.3181164227e-01	1.8652243092e-01	0	2.5249892473e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	4	0	1	1	3.8980712891e+00	4.9089050293e+00	4.4898916626e+02	4.9305865479e+02	-1.0108337402e+00	3.0586547852e+00	3.0586547852e+00	4.0694885254e+00	2.0347442627e+00	5.4219621420e-01	5.1759451628e-01	5.4219621420e-01	1.1225134765e+01	1.4085086928e+01	1.4085086928e+01	3.3063733578e-01	3.9806520939e-01	3.3063733578e-01	2.4601697922e-02	6.6886927284e-01	2.0046611149e-01	0	2.7109810710e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	5	0	1	1	5.1571960449e+00	6.1680297852e+00	4.5024829102e+02	4.9431777954e+02	2.4829101562e-01	4.3177795410e+00	4.3177795410e+00	4.5660705566e+00	2.2830352783e+00	4.9417272210e-02	4.7115668654e-02	4.9417272210e-02	1.7059181148e+01	3.6110574143e+01	3.6110574143e+01	4.0870518982e-01	8.1224925816e-01	4.0870518982e-01	2.3016035557e-03	1.0165011226e+00	5.1394403307e-01	1	1.3887313341e+00	1	1
1	450_490	4.5000000000e+02	4.9000000000e+02	6	0	1	1	3.4783630371e+00	4.4891967773e+00	4.5024829102e+02	4.9347836304e+02	2.4829101562e-01	3.4783630371e+00	3.4783630371e+00	3.7266540527e+00	1.8633270264e+00	1.5340983868e-01	1.1806005239e-01	1.5340983868e-01	1.5085382230e+01	2.4759326163e+01	2.4759326163e+01	5.2209913731e-01	7.7215802670e-01	5.2209913731e-01	3.5349786282e-02	8.9888886447e-01	3.5238730611e-01	0	1.8503219825e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	7	0	1	1	4.3177795410e+00	4.9089050293e+00	4.4940887451e+02	4.9179953003e+02	-5.9112548828e-01	1.7995300293e+00	1.7995300293e+00	2.3906555176e+00	1.1953277588e+00	3.2159349322e-01	4.7693556547e-01	4.7693556547e-01	1.3539973582e+01	2.0453806851e+01	2.0453806851e+01	5.8645012975e-01	3.3024996519e-01	3.3024996519e-01	1.5534207225e-01	8.0680298927e-01	2.9110896833e-01	0	2.3846778274e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	8	0	1	1	3.8980712891e+00	4.4891967773e+00	4.4898916626e+02	4.9347836304e+02	-1.0108337402e+00	3.4783630371e+00	3.4783630371e+00	4.4891967773e+00	2.2445983887e+00	1.2699013948e-01	1.1966329068e-01	1.2699013948e-01	1.6494163571e+01	2.1281396089e+01	2.1281396089e+01	6.5500766039e-01	7.7085573226e-01	6.5500766039e-01	7.3268488050e-03	9.8283356278e-01	3.0288763874e-01	0	1.9917496036e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	9	0	1	1	3.4783630371e+00	4.0694885254e+00	4.4940887451e+02	4.9305865479e+02	-5.9112548828e-01	3.0586547852e+00	3.0586547852e+00	3.6497802734e+00	1.8248901367e+00	4.5842909813e-01	4.2967179418e-01	4.5842909813e-01	1.1458556242e+01	1.4892263673e+01	1.4892263673e+01	4.0240466595e-01	4.8535838723e-01	4.0240466595e-01	2.8757303953e-02	6.8277809946e-01	2.1195426091e-01	0	2.2921454906e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	10	0	1	1	4.7374877930e+00	5.3286132812e+00	4.4982858276e+02	4.9347836304e+02	-1.7141723633e-01	3.4783630371e+00	3.4783630371e+00	3.6497802734e+00	1.8248901367e+00	3.2171747088e-01	2.5341126323e-01	3.2171747088e-01	1.2821725876e+01	1.7341452061e+01	1.7341452061e+01	5.0128570199e-01	6.5349593759e-01	5.0128570199e-01	6.8306207657e-02	7.6400494448e-01	2.4681235409e-01	0	2.1519647026e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	11	0	1	1	4.3177795410e+00	5.3286132812e+00	4.5024829102e+02	4.9431777954e+02	2.4829101562e-01	4.3177795410e+00	4.3177795410e+00	4.5660705566e+00	2.2830352783e+00	4.8439949751e-02	4.8978343606e-02	4.8978343606e-02	3.2820491142e+01	2.2539157553e+01	3.2820491142e+01	8.1143745780e-01	4.3240328133e-01	4.3240328133e-01	5.3839385509e-04	1.9556663241e+00	3.2078873875e-01	0	2.7304752117e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	12	0	1	1	3.8980712891e+00	4.9089050293e+00	4.4898916626e+02	4.9347836304e+02	-1.0108337402e+00	3.4783630371e+00	3.4783630371e+00	4.4891967773e+00	2.2445983887e+00	2.9511880875e-01	2.9752740264e-01	2.9752740264e-01	1.4481798608e+01	1.5259304457e+01	1.5259304457e+01	6.1074119806e-01	5.5193969607e-01	5.5193969607e-01	2.4085938931e-03	8.6292327945e-01	2.1717817179e-01	0	2.2366337949e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	13	0	1	1	4.3177795410e+00	4.9089050293e+00	4.4940887451e+02	4.9347836304e+02	-5.9112548828e-01	3.4783630371e+00	3.4783630371e+00	4.0694885254e+00	2.0347442627e+00	1.6402620077e-01	1.4008112252e-01	1.6402620077e-01	1.5161153991e+01	1.9845963334e+01	1.9845963334e+01	6.2367767096e-01	7.5475738943e-01	6.2367767096e-01	2.3945078254e-02	9.0340385729e-01	2.8245783065e-01	0	2.0501204839e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	14	0	1	1	3.8980712891e+00	4.9089050293e+00	4.5024829102e+02	4.9221923828e+02	2.4829101562e-01	2.2192382812e+00	2.2192382812e+00	2.4675292969e+00	1.2337646484e+00	5.6237507612e-02	1.0067928582e-01	1.0067928582e-01	2.9915301523e+01	2.3598054016e+01	2.9915301523e+01	8.0890608951e-01	3.9100962132e-01	3.9100962132e-01	4.4441778213e-02	1.7825555234e+00	3.3585949107e-01	0	2.2358729239e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	15	0	1	1	3.4783630371e+00	4.4891967773e+00	4.4898916626e+02	4.9431777954e+02	-1.0108337402e+00	4.3177795410e+00	4.3177795410e+00	5.3286132812e+00	2.6643066406e+00	2.1677119657e-02	2.3503990844e-02	2.3503990844e-02	3.1058123349e+01	2.5469051827e+01	3.1058123349e+01	8.2366468199e-01	4.7240102105e-01	4.7240102105e-01	1.8268711865e-03	1.8506525591e+00	3.6248848226e-01	0	2.4304358832e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	16	0	1	1	3.8980712891e+00	4.9089050293e+00	4.4898916626e+02	4.9431777954e+02	-1.0108337402e+00	4.3177795410e+00	4.3177795410e+00	5.3286132812e+00	2.6643066406e+00	3.3952645957e-02	3.7180826068e-02	3.7180826068e-02	2.8327528422e+01	2.3575395720e+01	2.8327528422e+01	8.2255417854e-01	5.0610114634e-01	5.0610114634e-01	3.2281801105e-03	1.6879452882e+00	3.3553700669e-01	0	1.9655579663e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	17	0	1	1	4.7374877930e+00	5.3286132812e+00	4.4982858276e+02	4.9389807129e+02	-1.7141723633e-01	3.8980712891e+00	3.8980712891e+00	4.0694885254e+00	2.0347442627e+00	3.1113052368e-01	2.3705863953e-01	3.1113052368e-01	1.2995022832e+01	1.7574654129e+01	1.7574654129e+01	5.0588387251e-01	6.6932415962e-01	5.0588387251e-01	7.4071884155e-02	7.7433114645e-01	2.5013140436e-01	0	2.1424817018e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	18	0	1	1	3.8980712891e+00	4.4891967773e+00	4.4940887451e+02	4.9305865479e+02	-5.9112548828e-01	3.0586547852e+00	3.0586547852e+00	3.6497802734e+00	1.8248901367e+00	1.3782021403e-01	2.1021555364e-01	2.1021555364e-01	1.8741780124e+01	2.1175590948e+01	2.1175590948e+01	7.5341036916e-01	5.0582952797e-01	5.0582952797e-01	7.2395339608e-02	1.1167617231e+00	3.0138176622e-01	0	1.9960520965e+00	1	0
1	450_490	4.5000000000e+02	4.9000000000e+02	19	0	1	1	4.7374877930e+00	5.3286132812e+00	4.4982858276e+02	4.9389807129e+02	-1.7141723633e-01	3.8980712891e+00	3.8980712891e+00	4.0694885254e+00	2.0347442627e+00	2.9227074981e-01	2.3600906134e-01	2.9227074981e-01	1.3136186996e+01	1.7607739431e+01	1.7607739431e+01	5.2904525399e-01	6.6925823689e-01	5.2904525399e-01	5.6261688471e-02	7.8274265989e-01	2.5060229120e-01	0	2.1411363109e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	0	0	1	1	4.8612365723e+00	8.0251770020e+00	4.3387963867e+02	4.7794912720e+02	-6.1203613281e+00	-2.2050872803e+01	2.2050872803e+01	2.8171234131e+01	1.4085617065e+01	6.4618632197e-02	6.3659176230e-02	6.4618632197e-02	1.8195468533e+01	2.3523888862e+01	2.3523888862e+01	6.5276046097e-01	7.6418264210e-01	6.5276046097e-01	9.5945596695e-04	6.0681866972e-01	1.0868092362e+00	1	1.1233752294e+00	0	0
2	440_500	4.4000000000e+02	5.0000000000e+02	1	0	1	1	4.4415283203e+00	6.3463439941e+00	4.4731033325e+02	4.9767547607e+02	7.3103332520e+00	-2.3245239258e+00	7.3103332520e+00	9.6348571777e+00	4.8174285889e+00	4.7693382949e-02	9.2050932348e-02	9.2050932348e-02	2.7106372021e+01	3.1899724139e+01	3.1899724139e+01	8.1617753580e-01	6.3366613537e-01	6.3366613537e-01	4.4357549399e-02	9.0399720024e-01	1.4737748096e+00	1	1.3536423131e+00	1	1
2	440_500	4.4000000000e+02	5.0000000000e+02	2	0	1	1	4.4415283203e+00	7.6054687500e+00	4.3262051392e+02	4.9431777954e+02	-7.3794860840e+00	-5.6822204590e+00	7.3794860840e+00	1.3061706543e+01	6.5308532715e+00	5.6280696392e-01	4.4636082649e-01	5.6280696392e-01	1.1284438460e+01	1.5088306390e+01	1.5088306390e+01	2.9566359520e-01	4.4097024202e-01	2.9566359520e-01	1.1644613743e-01	3.7633589499e-01	6.9708332835e-01	0	2.8140348196e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	3	0	1	1	6.9090881348e+00	1.0511199951e+01	4.4898916626e+02	4.9599664307e+02	8.9891662598e+00	-4.0033569336e+00	8.9891662598e+00	1.2992523193e+01	6.4962615967e+00	4.9331879616e-01	6.1555856466e-01	6.1555856466e-01	1.2224222789e+01	2.0394289077e+01	2.0394289077e+01	4.1826874018e-01	2.4151682854e-01	2.4151682854e-01	1.2223976851e-01	4.0767769170e-01	9.4222098504e-01	0	3.0777928233e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	4	0	1	1	4.0218200684e+00	6.7660522461e+00	4.4898916626e+02	4.9515719604e+02	8.9891662598e+00	-4.8428039551e+00	8.9891662598e+00	1.3831970215e+01	6.9159851074e+00	5.2514481544e-01	5.5461281538e-01	5.5461281538e-01	1.2024651047e+01	1.3404084696e+01	1.3404084696e+01	3.8419687748e-01	3.0992192030e-01	3.0992192030e-01	2.9467999935e-02	4.0102197637e-01	6.1927188723e-01	0	2.7730640769e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	5	0	1	1	4.8612365723e+00	8.0251770020e+00	4.4814974976e+02	4.9431777954e+02	8.1497497559e+00	-5.6822204590e+00	8.1497497559e+00	1.3831970215e+01	6.9159851074e+00	3.7128668278e-02	3.3842608333e-02	3.7128668278e-02	2.1185420140e+01	3.2420300925e+01	3.2420300925e+01	5.7648213580e-01	8.2545198500e-01	5.7648213580e-01	3.2860599458e-03	7.0653352201e-01	1.4978255804e+00	1	1.4223588010e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	6	0	1	1	4.4415283203e+00	7.6054687500e+00	4.4814974976e+02	4.9431777954e+02	8.1497497559e+00	-5.6822204590e+00	8.1497497559e+00	1.3831970215e+01	6.9159851074e+00	1.5765747428e-01	1.1130148917e-01	1.5765747428e-01	1.7784009369e+01	2.1490260826e+01	2.1490260826e+01	6.4723733068e-01	7.7658908814e-01	6.4723733068e-01	4.6355985105e-02	5.9309651126e-01	9.9285513939e-01	1	1.1625813964e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	7	0	1	1	4.0218200684e+00	7.1857604980e+00	4.4814974976e+02	4.9431777954e+02	8.1497497559e+00	-5.6822204590e+00	8.1497497559e+00	1.3831970215e+01	6.9159851074e+00	4.2615807056e-01	3.6990067363e-01	4.2615807056e-01	1.3197003675e+01	1.6198081044e+01	1.6198081044e+01	4.3703877926e-01	5.3314206004e-01	4.3703877926e-01	5.6257396936e-02	4.4011992325e-01	7.4835518018e-01	0	2.1307903528e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	8	0	1	1	4.0218200684e+00	7.1857604980e+00	4.4773004150e+02	4.9557690430e+02	7.7300415039e+00	-4.4230957031e+00	7.7300415039e+00	1.2153137207e+01	6.0765686035e+00	1.4463008940e-01	1.2505055964e-01	1.4463008940e-01	1.6366622159e+01	2.1489404137e+01	2.1489404137e+01	6.7528806627e-01	7.6824556291e-01	6.7528806627e-01	1.9579529762e-02	5.4582666385e-01	9.9281556015e-01	1	1.2976381033e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	9	0	1	1	4.4415283203e+00	8.4448852539e+00	4.4898916626e+02	4.9431777954e+02	8.9891662598e+00	-5.6822204590e+00	8.9891662598e+00	1.4671386719e+01	7.3356933594e+00	4.8465117812e-01	5.0254029036e-01	5.0254029036e-01	1.2018153660e+01	1.3389645832e+01	1.3389645832e+01	4.2378512025e-01	3.6124193668e-01	3.6124193668e-01	1.7889112234e-02	4.0080528860e-01	6.1860480832e-01	0	2.5127014518e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	10	0	1	1	4.4415283203e+00	7.6054687500e+00	4.4814974976e+02	4.9347836304e+02	8.1497497559e+00	-6.5216369629e+00	8.1497497559e+00	1.4671386719e+01	7.3356933594e+00	3.0014038086e-01	3.0056160688e-01	3.0056160688e-01	1.5535800869e+01	1.5616779197e+01	1.5616779197e+01	6.0551983118e-01	5.6136369705e-01	5.6136369705e-01	4.2122602463e-04	5.1811878324e-01	7.2149889720e-01	1	1.5028080344e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	11	0	1	1	4.8612365723e+00	7.6054687500e+00	4.4814974976e+02	4.9431777954e+02	8.1497497559e+00	-5.6822204590e+00	8.1497497559e+00	1.3831970215e+01	6.9159851074e+00	3.5958245397e-02	3.0690735206e-02	3.5958245397e-02	2.1611174237e+01	3.2683685377e+01	3.2683685377e+01	5.7630960643e-01	8.2742082514e-01	5.7630960643e-01	5.2675101906e-03	7.2073241631e-01	1.5099940044e+00	0	1.4571257269e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	12	0	1	1	4.0218200684e+00	7.1857604980e+00	4.3345993042e+02	5.0900762939e+02	-6.5400695801e+00	9.0076293945e+00	9.0076293945e+00	1.5547698975e+01	7.7738494873e+00	4.2463180423e-01	3.4356722236e-01	4.2463180423e-01	1.2858470440e+01	1.5945365619e+01	1.5945365619e+01	4.3744435906e-01	5.3610715270e-01	4.3744435906e-01	8.1064581871e-02	4.2882984369e-01	7.3667966771e-01	0	2.1231590211e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	13	0	1	1	7.3287963867e+00	1.1770324707e+01	4.3345993042e+02	5.0690908813e+02	-6.5400695801e+00	6.9090881348e+00	6.9090881348e+00	1.3449157715e+01	6.7245788574e+00	3.5416042805e-01	3.3558458090e-01	3.5416042805e-01	2.5141833189e+01	2.7468976133e+01	2.7468976133e+01	5.0651496649e-01	5.4376095533e-01	5.0651496649e-01	1.8575847149e-02	8.3847985241e-01	1.2690732024e+00	0	1.7708021402e+00	1	0
2	440_500	4.4000000000e+02	5.0000000000e+02	14	0	1	1	4.8612365723e+00	7.1857604980e+00	4.4814974976e+02	4.9515719604e+02	8.1497497559e+00	-4.8428039551e+00	8.1497497559e+00	1.2992553711e+01	6.4962768555e+00	5.5354695767e-02	4.9550391734e-02	5.5354695767e-02	2.0437675209e+01	2.8426327955e+01	2.8426327955e+01	6.4896853641e-01	8.2292213291e-01	6.4896853641e-01	5.8043040335e-03	6.8159623701e-01	1.3133030833e+00	1	9.0972503712e-01	1	0
