wavelength_nm	450_490_ideal_target	450_490_direct_tandem	450_490_cvae_assisted_tandem	440_500_ideal_target	440_500_direct_tandem	440_500_cvae_assisted_tandem	430_510_ideal_target	430_510_direct_tandem	430_510_cvae_assisted_tandem	420_520_ideal_target	420_520_direct_tandem	420_520_cvae_assisted_tandem	410_530_ideal_target	410_530_direct_tandem	410_530_cvae_assisted_tandem	472_512_ideal_target	472_512_direct_tandem	472_512_cvae_assisted_tandem	462_522_ideal_target	462_522_direct_tandem	462_522_cvae_assisted_tandem	452_532_ideal_target	452_532_direct_tandem	452_532_cvae_assisted_tandem	442_542_ideal_target	442_542_direct_tandem	442_542_cvae_assisted_tandem	432_552_ideal_target	432_552_direct_tandem	432_552_cvae_assisted_tandem	494_534_ideal_target	494_534_direct_tandem	494_534_cvae_assisted_tandem	484_544_ideal_target	484_544_direct_tandem	484_544_cvae_assisted_tandem	474_554_ideal_target	474_554_direct_tandem	474_554_cvae_assisted_tandem	464_564_ideal_target	464_564_direct_tandem	464_564_cvae_assisted_tandem	454_574_ideal_target	454_574_direct_tandem	454_574_cvae_assisted_tandem	516_556_ideal_target	516_556_direct_tandem	516_556_cvae_assisted_tandem	506_566_ideal_target	506_566_direct_tandem	506_566_cvae_assisted_tandem	496_576_ideal_target	496_576_direct_tandem	496_576_cvae_assisted_tandem	486_586_ideal_target	486_586_direct_tandem	486_586_cvae_assisted_tandem	476_596_ideal_target	476_596_direct_tandem	476_596_cvae_assisted_tandem	538_578_ideal_target	538_578_direct_tandem	538_578_cvae_assisted_tandem	528_588_ideal_target	528_588_direct_tandem	528_588_cvae_assisted_tandem	518_598_ideal_target	518_598_direct_tandem	518_598_cvae_assisted_tandem	508_608_ideal_target	508_608_direct_tandem	508_608_cvae_assisted_tandem	498_618_ideal_target	498_618_direct_tandem	498_618_cvae_assisted_tandem	560_600_ideal_target	560_600_direct_tandem	560_600_cvae_assisted_tandem	550_610_ideal_target	550_610_direct_tandem	550_610_cvae_assisted_tandem	540_620_ideal_target	540_620_direct_tandem	540_620_cvae_assisted_tandem	530_630_ideal_target	530_630_direct_tandem	530_630_cvae_assisted_tandem	520_640_ideal_target	520_640_direct_tandem	520_640_cvae_assisted_tandem
3.7973712158e+02	9.3903297186e-01	8.5545951128e-01	8.5936492682e-01	9.2723393440e-01	8.5293829441e-01	8.6387091875e-01	9.0620595217e-01	7.6847368479e-01	8.3278042078e-01	8.6819225550e-01	7.2921717167e-01	7.8879100084e-01	7.9485642910e-01	6.2634521723e-01	5.8236879110e-01	9.6187716722e-01	9.0632605553e-01	9.0875208378e-01	9.5717996359e-01	8.9934462309e-01	9.0494209528e-01	9.4947761297e-01	8.9074480534e-01	8.6223840714e-01	9.3713581562e-01	8.6398267746e-01	9.1081351042e-01	9.1694164276e-01	8.1022179127e-01	8.8068056107e-01	9.7385078669e-01	9.0509402752e-01	9.0247607231e-01	9.7161984444e-01	9.0326738358e-01	9.1391110420e-01	9.6813011169e-01	9.1043639183e-01	9.1812419891e-01	9.6290326118e-01	9.1975295544e-01	9.2799395323e-01	9.5510673523e-01	9.0573406219e-01	9.2718583345e-01	9.8092329502e-01	8.7304532528e-01	8.7646049261e-01	9.7972917557e-01	8.7630021572e-01	8.7735164165e-01	9.7791463137e-01	8.9251935482e-01	8.9279121161e-01	9.7530531883e-01	9.0008908510e-01	9.0537399054e-01	9.7162038088e-01	9.1922336817e-01	9.2221766710e-01	9.8545616865e-01	8.3616459370e-01	8.2842522860e-01	9.8475956917e-01	8.4834271669e-01	8.4732156992e-01	9.8372089863e-01	8.6049389839e-01	8.6779111624e-01	9.8226612806e-01	8.7491554022e-01	8.7732958794e-01	9.8028206825e-01	8.9495575428e-01	8.8899374008e-01	9.8853892088e-01	8.2954323292e-01	8.2615286112e-01	9.8810517788e-01	8.3833354712e-01	8.3527719975e-01	9.8746699095e-01	8.4738463163e-01	8.4366691113e-01	9.8658901453e-01	8.4652769566e-01	8.5713613033e-01	9.8541945219e-01	8.6106401682e-01	8.6317574978e-01
3.8015682983e+02	9.3840926886e-01	8.5547089577e-01	8.5927087069e-01	9.2637348175e-01	8.4994304180e-01	8.6225217581e-01	9.0487766266e-01	7.6810240746e-01	8.3156907558e-01	8.6589813232e-01	7.2714823484e-01	7.8665351868e-01	7.9039698839e-01	6.2232601643e-01	5.7926124334e-01	9.6157240868e-01	9.0517610312e-01	9.0747272968e-01	9.5680099726e-01	8.9717274904e-01	9.0279233456e-01	9.4896775484e-01	8.8966864347e-01	8.6137259007e-01	9.3639498949e-01	8.6190408468e-01	9.0944784880e-01	9.1577488184e-01	8.1159132719e-01	8.7975478172e-01	9.7367912531e-01	9.0464895964e-01	9.0219449997e-01	9.7141903639e-01	9.0231776237e-01	9.1292780638e-01	9.6788138151e-01	9.1017037630e-01	9.1723525524e-01	9.6257752180e-01	9.1844022274e-01	9.2684847116e-01	9.5465558767e-01	9.0418821573e-01	9.2599672079e-01	9.8081690073e-01	8.7246835232e-01	8.7598872185e-01	9.7960954905e-01	8.7551563978e-01	8.7689453363e-01	9.7777408361e-01	8.9172172546e-01	8.9253461361e-01	9.7513300180e-01	8.9972203970e-01	9.0553361177e-01	9.7140014172e-01	9.1924834251e-01	9.2215734720e-01	9.8538559675e-01	8.3710706234e-01	8.2935464382e-01	9.8468226194e-01	8.4920960665e-01	8.4830027819e-01	9.8363327980e-01	8.6110889912e-01	8.6836344004e-01	9.8216342926e-01	8.7573885918e-01	8.7829011679e-01	9.8015761375e-01	8.9485454559e-01	8.9025402069e-01	9.8848968744e-01	8.3054900169e-01	8.2803505659e-01	9.8805230856e-01	8.3885157108e-01	8.3677870035e-01	9.8740845919e-01	8.4824979305e-01	8.4577691555e-01	9.8652255535e-01	8.4837204218e-01	8.5799187422e-01	9.8534196615e-01	8.6274176836e-01	8.6449372768e-01
3.8057653809e+02	9.3777579069e-01	8.5363274813e-01	8.5773926973e-01	9.2549735308e-01	8.4993720055e-01	8.6096370220e-01	9.0352046490e-01	7.6553118229e-01	8.2993125916e-01	8.6354404688e-01	7.2541588545e-01	7.8494846821e-01	7.8579932451e-01	6.2012642622e-01	5.7617920637e-01	9.6126401424e-01	9.0467411280e-01	9.0654802322e-01	9.5641684532e-01	8.9656507969e-01	9.0204519033e-01	9.4844985008e-01	8.8820898533e-01	8.6008149385e-01	9.3564063311e-01	8.6053597927e-01	9.0805917978e-01	9.1458296776e-01	8.0642998219e-01	8.7721729279e-01	9.7350567579e-01	9.0389293432e-01	9.0155124664e-01	9.7121608257e-01	9.0179240704e-01	9.1204929352e-01	9.6762967110e-01	9.0868735313e-01	9.1680300236e-01	9.6224731207e-01	9.1746497154e-01	9.2656600475e-01	9.5419740677e-01	9.0286362171e-01	9.2514121532e-01	9.8070961237e-01	8.7104171515e-01	8.7435513735e-01	9.7948884964e-01	8.7512463331e-01	8.7748533487e-01	9.7763210535e-01	8.9154523611e-01	8.9257895947e-01	9.7495877743e-01	8.9910775423e-01	9.0604376793e-01	9.7117727995e-01	9.1915738583e-01	9.2244362831e-01	9.8531454802e-01	8.3720129728e-01	8.2989525795e-01	9.8460441828e-01	8.4947293997e-01	8.4913897514e-01	9.8354488611e-01	8.6167430878e-01	8.6854082346e-01	9.8205977678e-01	8.7601155043e-01	8.7870615721e-01	9.8003202677e-01	8.9548414946e-01	8.9104646444e-01	9.8844015598e-01	8.3047008514e-01	8.2896232605e-01	9.8799902201e-01	8.3972984552e-01	8.3836853504e-01	9.8734951019e-01	8.4873557091e-01	8.4659308195e-01	9.8645555973e-01	8.4940737486e-01	8.5902214050e-01	9.8526376486e-01	8.6394828558e-01	8.6571508646e-01
3.8099624634e+02	9.3713235855e-01	8.5225182772e-01	8.5613554716e-01	9.2460507154e-01	8.4931504726e-01	8.6027741432e-01	9.0213346481e-01	7.6383495331e-01	8.2773089409e-01	8.6112803221e-01	7.2322231531e-01	7.8264504671e-01	7.8105831146e-01	6.1680293083e-01	5.7175707817e-01	9.6095174551e-01	9.0323477983e-01	9.0505647659e-01	9.5602738857e-01	8.9537936449e-01	9.0069115162e-01	9.4792377949e-01	8.8593679667e-01	8.5738098621e-01	9.3487232924e-01	8.5908794403e-01	9.0702795982e-01	9.1336518526e-01	8.0515861511e-01	8.7612962723e-01	9.7333055735e-01	9.0203720331e-01	8.9940601587e-01	9.7101086378e-01	9.0014481544e-01	9.1176992655e-01	9.6737480164e-01	9.0828776360e-01	9.1544121504e-01	9.6191251278e-01	9.1607093811e-01	9.2569404840e-01	9.5373195410e-01	9.0117245913e-01	9.2403501272e-01	9.8060142994e-01	8.7118399143e-01	8.7469488382e-01	9.7936701775e-01	8.7434220314e-01	8.7704819441e-01	9.7748869658e-01	8.9053052664e-01	8.9186650515e-01	9.7478264570e-01	8.9907288551e-01	9.0605902672e-01	9.7095161676e-01	9.1907429695e-01	9.2238163948e-01	9.8524296284e-01	8.3739429712e-01	8.3011472225e-01	9.8452591896e-01	8.4957581758e-01	8.4919816256e-01	9.8345583677e-01	8.6155217886e-01	8.6838328838e-01	9.8195517063e-01	8.7641912699e-01	8.7955397367e-01	9.7990512848e-01	8.9531105757e-01	8.9168339968e-01	9.8839032650e-01	8.3083492517e-01	8.2969665527e-01	9.8794537783e-01	8.4036153555e-01	8.3905678988e-01	9.8729014397e-01	8.4895539284e-01	8.4772288799e-01	9.8638802767e-01	8.5055327415e-01	8.6100620031e-01	9.8518496752e-01	8.6524540186e-01	8.6677807570e-01
3.8141595459e+02	9.3647867441e-01	8.5244458914e-01	8.5638415813e-01	9.2369621992e-01	8.4702724218e-01	8.5781329870e-01	9.0071582794e-01	7.6304787397e-01	8.2666176558e-01	8.5864794254e-01	7.2103434801e-01	7.8041672707e-01	7.7616864443e-01	6.1276412010e-01	5.6852161884e-01	9.6063572168e-01	9.0225398540e-01	9.0417551994e-01	9.5563250780e-01	8.9390599728e-01	8.9933043718e-01	9.4738930464e-01	8.8460242748e-01	8.5559588671e-01	9.3408977985e-01	8.5692554712e-01	9.0542739630e-01	9.1212087870e-01	8.0250632763e-01	8.7455087900e-01	9.7315365076e-01	9.0076476336e-01	8.9838761091e-01	9.7080343962e-01	8.9909833670e-01	9.0979456902e-01	9.6711683273e-01	9.0710270405e-01	9.1479611397e-01	9.6157312393e-01	9.1404414177e-01	9.2436015606e-01	9.5325911045e-01	8.9927709103e-01	9.2280352116e-01	9.8049229383e-01	8.7103176117e-01	8.7428116798e-01	9.7924411297e-01	8.7462264299e-01	8.7679588795e-01	9.7734391689e-01	8.9079439640e-01	8.9147949219e-01	9.7460460663e-01	8.9876788855e-01	9.0614122152e-01	9.7072321177e-01	9.1787707806e-01	9.2212045193e-01	9.8517090082e-01	8.3758759499e-01	8.3074378967e-01	9.8444682360e-01	8.4962242842e-01	8.4949839115e-01	9.8336601257e-01	8.6100524664e-01	8.6899262667e-01	9.8184961081e-01	8.7702435255e-01	8.7986481190e-01	9.7977697849e-01	8.9564669132e-01	8.9203673601e-01	9.8834013939e-01	8.3207124472e-01	8.3093518019e-01	9.8789137602e-01	8.4088373184e-01	8.3942103386e-01	9.8723036051e-01	8.4956771135e-01	8.4867000580e-01	9.8632001877e-01	8.5202318430e-01	8.6191338301e-01	9.8510545492e-01	8.6711740494e-01	8.6844319105e-01
3.8183566284e+02	9.3581467867e-01	8.5064685345e-01	8.5463827848e-01	9.2277038097e-01	8.4596699476e-01	8.5749483109e-01	8.9926660061e-01	7.6141923666e-01	8.2511347532e-01	8.5610163212e-01	7.1989494562e-01	7.7910917997e-01	7.7112478018e-01	6.1050051451e-01	5.6538391113e-01	9.6031576395e-01	9.0161967278e-01	9.0348500013e-01	9.5523214340e-01	8.9261579514e-01	8.9848190546e-01	9.4684624672e-01	8.8415712118e-01	8.5522711277e-01	9.3329268694e-01	8.5520690680e-01	9.0376192331e-01	9.1084927320e-01	8.0041110516e-01	8.7279981375e-01	9.7297495604e-01	9.0034323931e-01	8.9790898561e-01	9.7059369087e-01	8.9805513620e-01	9.0939170122e-01	9.6685570478e-01	9.0544790030e-01	9.1398835182e-01	9.6122890711e-01	9.1372525692e-01	9.2414188385e-01	9.5277869701e-01	8.9744687080e-01	9.2166572809e-01	9.8038226366e-01	8.7065827847e-01	8.7422347069e-01	9.7912001610e-01	8.7402290106e-01	8.7685924768e-01	9.7719764709e-01	8.8987123966e-01	8.9058369398e-01	9.7442454100e-01	8.9794868231e-01	9.0559244156e-01	9.7049194574e-01	9.1778135300e-01	9.2235171795e-01	9.8509824276e-01	8.3701586723e-01	8.3027392626e-01	9.8436713219e-01	8.4924036264e-01	8.4978634119e-01	9.8327541351e-01	8.6118483543e-01	8.6870020628e-01	9.8174309731e-01	8.7710267305e-01	8.8006979227e-01	9.7964751720e-01	8.9603167772e-01	8.9303392172e-01	9.8828965425e-01	8.3167612553e-01	8.3142727613e-01	9.8783695698e-01	8.4182637930e-01	8.4096032381e-01	9.8717010021e-01	8.5059940815e-01	8.4957271814e-01	9.8625141382e-01	8.5260909796e-01	8.6269581318e-01	9.8502528667e-01	8.6752134562e-01	8.6866241693e-01
3.8225537109e+02	9.3514001369e-01	8.4991455078e-01	8.5370534658e-01	9.2182719707e-01	8.4419316053e-01	8.5605275631e-01	8.9778494835e-01	7.6048719883e-01	8.2262223959e-01	8.5348683596e-01	7.1657592058e-01	7.7758073807e-01	7.6592093706e-01	6.0570836067e-01	5.6106382608e-01	9.5999181271e-01	9.0017515421e-01	9.0167593956e-01	9.5482617617e-01	8.9152413607e-01	8.9749878645e-01	9.4629448652e-01	8.8164758682e-01	8.5310405493e-01	9.3248057365e-01	8.5357576609e-01	9.0264880657e-01	9.0954953432e-01	7.9806005955e-01	8.7078452110e-01	9.7279447317e-01	8.9898550510e-01	8.9655071497e-01	9.7038161755e-01	8.9666193724e-01	9.0856134892e-01	9.6659135818e-01	9.0482032299e-01	9.1281807423e-01	9.6087992191e-01	9.1147637367e-01	9.2267358303e-01	9.5229059458e-01	8.9632612467e-01	9.2001003027e-01	9.8027127981e-01	8.6917287111e-01	8.7198817730e-01	9.7899484634e-01	8.7295871973e-01	8.7575489283e-01	9.7704988718e-01	8.8907635212e-01	8.8985639811e-01	9.7424250841e-01	8.9744615555e-01	9.0534961224e-01	9.7025781870e-01	9.1638445854e-01	9.2149543762e-01	9.8502504826e-01	8.3711659908e-01	8.3053421974e-01	9.8428678513e-01	8.4822171926e-01	8.4932982922e-01	9.8318403959e-01	8.6046111584e-01	8.6838072538e-01	9.8163563013e-01	8.7746489048e-01	8.8063770533e-01	9.7951674461e-01	8.9599460363e-01	8.9329278469e-01	9.8823881149e-01	8.3157050610e-01	8.3233511448e-01	9.8778223991e-01	8.4262025356e-01	8.4130269289e-01	9.8710942268e-01	8.5010516644e-01	8.5088920593e-01	9.8618233204e-01	8.5311186314e-01	8.6348247528e-01	9.8494446278e-01	8.6836522818e-01	8.6957842112e-01
3.8267507935e+02	9.3445450068e-01	8.5110437870e-01	8.5470330715e-01	9.2086619139e-01	8.4274804592e-01	8.5348373652e-01	8.9626979828e-01	7.5690752268e-01	8.2179284096e-01	8.5080122948e-01	7.1680849791e-01	7.7449184656e-01	7.6055121422e-01	6.0278415680e-01	5.5809092522e-01	9.5966380835e-01	9.0047627687e-01	9.0151250362e-01	9.5441454649e-01	8.8964295387e-01	8.9583349228e-01	9.4573372602e-01	8.8060575724e-01	8.5207444429e-01	9.3165314198e-01	8.5129517317e-01	9.0067887306e-01	9.0822082758e-01	7.9610115290e-01	8.6945927143e-01	9.7261214256e-01	8.9846169949e-01	8.9603996277e-01	9.7016716003e-01	8.9507043362e-01	9.0706610680e-01	9.6632367373e-01	9.0383243561e-01	9.1207695007e-01	9.6052598953e-01	9.0987193584e-01	9.2162716389e-01	9.5179468393e-01	8.9451187849e-01	9.1886931658e-01	9.8015934229e-01	8.6853659153e-01	8.7201064825e-01	9.7886848450e-01	8.7156838179e-01	8.7456518412e-01	9.7690069675e-01	8.8769370317e-01	8.8935828209e-01	9.7405838966e-01	8.9655297995e-01	9.0431874990e-01	9.7002083063e-01	9.1600412130e-01	9.2086368799e-01	9.8495131731e-01	8.3687371016e-01	8.3027338982e-01	9.8420584202e-01	8.4901827574e-01	8.4946638346e-01	9.8309189081e-01	8.5984420776e-01	8.6795556545e-01	9.8152709007e-01	8.7707006931e-01	8.8060915470e-01	9.7938472033e-01	8.9538896084e-01	8.9360415936e-01	9.8818767071e-01	8.3127230406e-01	8.3211386204e-01	9.8772710562e-01	8.4203237295e-01	8.4140789509e-01	9.8704832792e-01	8.5061466694e-01	8.5148161650e-01	9.8611271381e-01	8.5482239723e-01	8.6389732361e-01	9.8486298323e-01	8.6939555407e-01	8.7083327770e-01
3.8309478760e+02	9.3375784159e-01	8.4811490774e-01	8.5217386484e-01	9.1988694668e-01	8.4061944485e-01	8.5325402021e-01	8.9472025633e-01	7.5857323408e-01	8.1981164217e-01	8.4804230928e-01	7.1248596907e-01	7.7254807949e-01	7.5500941277e-01	5.9892326593e-01	5.5448168516e-01	9.5933175087e-01	8.9878416061e-01	9.0000468493e-01	9.5399707556e-01	8.8867872953e-01	8.9445090294e-01	9.4516390562e-01	8.7877345085e-01	8.5118865967e-01	9.3080991507e-01	8.4932947159e-01	8.9970439672e-01	9.0686231852e-01	7.9263448715e-01	8.6699092388e-01	9.7242790461e-01	8.9725273848e-01	8.9463496208e-01	9.6995031834e-01	8.9390760660e-01	9.0698570013e-01	9.6605265141e-01	9.0195816755e-01	9.1089886427e-01	9.6016710997e-01	9.0898340940e-01	9.2089164257e-01	9.5129066706e-01	8.9251279831e-01	9.1774260998e-01	9.8004645109e-01	8.6738467216e-01	8.7129330635e-01	9.7874093056e-01	8.7112897635e-01	8.7429493666e-01	9.7674995661e-01	8.8724660873e-01	8.8897377253e-01	9.7387230396e-01	8.9478188753e-01	9.0425264835e-01	9.6978080273e-01	9.1537469625e-01	9.2024761438e-01	9.8487704992e-01	8.3691215515e-01	8.2941782475e-01	9.8412424326e-01	8.4817856550e-01	8.4947353601e-01	9.8299896717e-01	8.5932934284e-01	8.6741203070e-01	9.8141765594e-01	8.7698984146e-01	8.8066482544e-01	9.7925132513e-01	8.9556533098e-01	8.9395147562e-01	9.8813617229e-01	8.3124870062e-01	8.3232486248e-01	9.8767161369e-01	8.4281605482e-01	8.4241867065e-01	9.8698675632e-01	8.5053884983e-01	8.5237997770e-01	9.8604249954e-01	8.5453522205e-01	8.6475449800e-01	9.8478072882e-01	8.7045264244e-01	8.7173414230e-01
3.8351449585e+02	9.3304991722e-01	8.4807318449e-01	8.5138034821e-01	9.1888892651e-01	8.3985924721e-01	8.5150134563e-01	8.9313524961e-01	7.5473737717e-01	8.1843817234e-01	8.4520757198e-01	7.0889580250e-01	7.7043306828e-01	7.4928909540e-01	5.9604299068e-01	5.5110889673e-01	9.5899546146e-01	8.9804500341e-01	8.9944392443e-01	9.5357364416e-01	8.8669866323e-01	8.9260149002e-01	9.4458472729e-01	8.7740170956e-01	8.4815847874e-01	9.2995065451e-01	8.4705418348e-01	8.9854937792e-01	9.0547317266e-01	7.9155576229e-01	8.6553823948e-01	9.7224181890e-01	8.9618128538e-01	8.9362949133e-01	9.6973109245e-01	8.9350271225e-01	9.0561729670e-01	9.6577823162e-01	9.0122115612e-01	9.0951341391e-01	9.5980304480e-01	9.0675067902e-01	9.2004066706e-01	9.5077842474e-01	8.9112305641e-01	9.1645050049e-01	9.7993254662e-01	8.6658006907e-01	8.7033510208e-01	9.7861224413e-01	8.6977875233e-01	8.7336337566e-01	9.7659766674e-01	8.8658016920e-01	8.8780373335e-01	9.7368407249e-01	8.9477366209e-01	9.0367293358e-01	9.6953779459e-01	9.1407728195e-01	9.1945707798e-01	9.8480224609e-01	8.3572834730e-01	8.2872343063e-01	9.8404198885e-01	8.4734392166e-01	8.4845358133e-01	9.8290526867e-01	8.5838335752e-01	8.6646372080e-01	9.8130714893e-01	8.7666332722e-01	8.7993264198e-01	9.7911655903e-01	8.9549994469e-01	8.9419233799e-01	9.8808431625e-01	8.3120656013e-01	8.3216643333e-01	9.8761570454e-01	8.4326416254e-01	8.4235173464e-01	9.8692476749e-01	8.5069447756e-01	8.5256952047e-01	9.8597174883e-01	8.5457664728e-01	8.6467230320e-01	9.8469781876e-01	8.7054342031e-01	8.7229484320e-01
