case_index	case_tag	midpoint_nm	separation_nm	target_low_nm	target_high_nm	direct_detected	direct_significant_minima_count	direct_extra_minima_count	direct_predicted_low_nm	direct_predicted_high_nm	direct_low_signed_error_nm	direct_high_signed_error_nm	direct_low_absolute_error_nm	direct_high_absolute_error_nm	direct_emax_nm	direct_pair_rmse_nm	direct_midpoint_error_nm	direct_separation_error_nm	direct_ideal_spectrum_mse	direct_peak1_transmittance	direct_peak2_transmittance	direct_worst_valley_transmittance	direct_peak1_fwhm_nm	direct_peak2_fwhm_nm	direct_widest_fwhm_nm	direct_minimum_prominence	direct_R	direct_n_host1	direct_n_host2	cvae_detected	cvae_significant_minima_count	cvae_extra_minima_count	cvae_predicted_low_nm	cvae_predicted_high_nm	cvae_low_signed_error_nm	cvae_high_signed_error_nm	cvae_low_absolute_error_nm	cvae_high_absolute_error_nm	cvae_emax_nm	cvae_pair_rmse_nm	cvae_midpoint_error_nm	cvae_separation_error_nm	cvae_ideal_spectrum_mse	cvae_peak1_transmittance	cvae_peak2_transmittance	cvae_worst_valley_transmittance	cvae_peak1_fwhm_nm	cvae_peak2_fwhm_nm	cvae_widest_fwhm_nm	cvae_minimum_prominence	cvae_R	cvae_n_host1	cvae_n_host2	cvae_emax_improvement_nm	cvae_selected_candidate_index	cvae_condition_order_code	cvae_candidate_valid_count	cvae_final_response_valid_count	cvae_selected_shape_gate_passed	cvae_selected_shape_minimax_score	cvae_best_available_position_error_nm	cvae_position_quality_window_nm	cvae_candidate_significant_minima_count	cvae_candidate_extra_minima_count	cvae_candidate_emax_nm	cvae_ideal_to_candidate_mse	cvae_candidate_to_final_mse
1	450_490	4.7000000000e+02	4.0000000000e+01	4.5000000000e+02	4.9000000000e+02	1	2	0	4.5024829102e+02	4.9431777954e+02	2.4829101562e-01	4.3177795410e+00	2.4829101562e-01	4.3177795410e+00	4.3177795410e+00	3.0581749944e+00	2.2830352783e+00	4.0694885254e+00	3.3275702839e-03	4.5759644359e-02	4.5495077968e-02	4.5759644359e-02	1.6502177401e+01	7.3526524263e+01	7.3526524263e+01	3.6285347119e-01	5.6698532104e+00	1.8475823402e+00	2.0770478249e+00	1	2	0	4.5024829102e+02	4.9431777954e+02	2.4829101562e-01	4.3177795410e+00	2.4829101562e-01	4.3177795410e+00	4.3177795410e+00	3.0581749944e+00	2.2830352783e+00	4.0694885254e+00	3.1743930329e-03	4.9417272210e-02	4.7115668654e-02	4.9417272210e-02	1.7059181148e+01	3.6110574143e+01	3.6110574143e+01	4.0870518982e-01	5.5735073090e+00	1.8472772837e+00	2.0764069557e+00	0.0000000000e+00	5	0	20	20	1	1.3887313341e+00	4.3177795410e+00	6.8177795410e+00	2	0	5.1571960449e+00	5.6582232937e-03	3.2590765040e-03
2	440_500	4.7000000000e+02	6.0000000000e+01	4.4000000000e+02	5.0000000000e+02	1	2	0	4.4814974976e+02	4.9557690430e+02	8.1497497559e+00	-4.4230957031e+00	8.1497497559e+00	4.4230957031e+00	8.1497497559e+00	6.5567597440e+00	1.8633270264e+00	1.2572845459e+01	7.2307931798e-03	2.9966602102e-02	2.3921329528e-02	2.9966602102e-02	2.2536996873e+01	3.4133812338e+01	3.4133812338e+01	5.6430088542e-01	5.7832279205e+00	1.7727009058e+00	2.1272890568e+00	1	2	0	4.4731033325e+02	4.9767547607e+02	7.3103332520e+00	-2.3245239258e+00	7.3103332520e+00	2.3245239258e+00	7.3103332520e+00	5.4242226971e+00	2.4929046631e+00	9.6348571777e+00	6.0856469779e-03	4.7693382949e-02	9.2050932348e-02	9.2050932348e-02	2.7106372021e+01	3.1899724139e+01	3.1899724139e+01	6.3366613537e-01	5.4509449005e+00	1.7584364414e+00	2.1563384533e+00	8.3941650391e-01	1	0	20	20	1	1.3536423131e+00	7.3103332520e+00	9.8103332520e+00	2	0	4.4415283203e+00	7.2576128878e-03	3.4945851658e-03
3	430_510	4.7000000000e+02	8.0000000000e+01	4.3000000000e+02	5.1000000000e+02	1	2	0	4.3262051392e+02	5.0942733765e+02	2.6205139160e+00	-5.7266235352e-01	2.6205139160e+00	5.7266235352e-01	2.6205139160e+00	1.8967123339e+00	1.0239257812e+00	3.1931762695e+00	1.0933808261e-02	2.3441443220e-02	2.7510274202e-02	2.7510274202e-02	2.6558920278e+01	3.6820613724e+01	3.6820613724e+01	7.4503224157e-01	5.9598827362e+00	1.7069888115e+00	2.1666851044e+00	1	2	0	4.3262051392e+02	5.0984704590e+02	2.6205139160e+00	-1.5295410156e-01	2.6205139160e+00	1.5295410156e-01	2.6205139160e+00	1.8561368674e+00	1.2337799072e+00	2.7734680176e+00	1.0174675578e-02	1.6213183105e-01	9.8910585046e-02	1.6213183105e-01	1.9177074937e+01	2.2454387522e+01	2.2454387522e+01	6.7064858973e-01	4.4746637344e+00	1.6798036098e+00	2.2096335888e+00	0.0000000000e+00	6	0	20	20	1	9.2071614373e-01	2.6205139160e+00	5.1205139160e+00	2	0	1.3613891602e+00	1.0676800273e-02	2.6329993852e-04
4	420_520	4.7000000000e+02	1.0000000000e+02	4.2000000000e+02	5.2000000000e+02	1	2	0	4.3220080566e+02	5.1152587891e+02	1.2200805664e+01	-8.4741210938e+00	1.2200805664e+01	8.4741210938e+00	1.2200805664e+01	1.0504056054e+01	1.8633422852e+00	2.0674926758e+01	2.1274583836e-02	5.6785713881e-02	1.3722048141e-02	5.6785713881e-02	2.9783226243e+01	4.0530401207e+01	4.0530401207e+01	6.7243145779e-01	6.1394276619e+00	1.6500189304e+00	2.2344527245e+00	1	2	0	4.1918978882e+02	5.2327777100e+02	-8.1021118164e-01	3.2777709961e+00	8.1021118164e-01	3.2777709961e+00	3.2777709961e+00	2.3874908232e+00	1.2337799072e+00	4.0879821777e+00	1.5072503668e-02	1.3582903147e-01	8.5985876620e-02	1.3582903147e-01	1.5334472471e+01	2.2834509655e+01	2.2834509655e+01	6.5296196938e-01	4.3961248398e+00	1.6262038946e+00	2.2837347984e+00	8.9230346680e+00	18	0	20	20	1	1.2243501825e+00	3.2777709961e+00	5.7777709961e+00	2	0	3.6974487305e+00	2.7213562280e-02	1.0432829149e-02
5	410_530	4.7000000000e+02	1.2000000000e+02	4.1000000000e+02	5.3000000000e+02	1	2	0	4.1793066406e+02	5.2453686523e+02	7.9306640625e+00	-5.4631347656e+00	7.9306640625e+00	5.4631347656e+00	7.9306640625e+00	6.8095988846e+00	1.2337646484e+00	1.3393798828e+01	2.1761137940e-02	1.2671144307e-01	1.3757036999e-02	1.2671144307e-01	2.4531239194e+01	4.1379915680e+01	4.1379915680e+01	4.9963377416e-01	6.0417737961e+00	1.5621083975e+00	2.3129901886e+00	1	2	0	4.0659851074e+02	5.2453686523e+02	-3.4014892578e+00	-5.4631347656e+00	3.4014892578e+00	5.4631347656e+00	5.4631347656e+00	4.5506027424e+00	4.4323120117e+00	2.0616455078e+00	2.4601138943e-02	6.8534910679e-02	1.6287146136e-02	6.8534910679e-02	1.6193606454e+01	3.8394623997e+01	3.8394623997e+01	5.1383388042e-01	5.7857131958e+00	1.5278339386e+00	2.3086390495e+00	2.4675292969e+00	15	0	20	20	1	1.1842127697e+00	5.4631347656e+00	7.9631347656e+00	2	0	2.1423645020e+00	2.1885661408e-02	2.4092891254e-03
6	472_512	4.9200000000e+02	4.0000000000e+01	4.7200000000e+02	5.1200000000e+02	1	2	0	4.7710971069e+02	5.0942733765e+02	5.1097106934e+00	-2.5726623535e+00	5.1097106934e+00	2.5726623535e+00	5.1097106934e+00	4.0452277411e+00	1.2685241699e+00	7.6823730469e+00	3.4542414908e-03	5.6621510535e-02	2.6712276042e-02	5.6621510535e-02	1.4684040743e+01	6.6537249311e+01	6.6537249311e+01	2.3068098351e-01	5.4252271652e+00	1.9801750183e+00	2.1948692799e+00	1	2	0	4.7585058594e+02	5.1026675415e+02	3.8505859375e+00	-1.7332458496e+00	3.8505859375e+00	1.7332458496e+00	3.8505859375e+00	2.9858962840e+00	1.0586700439e+00	5.5838317871e+00	2.7076138284e-03	1.4887933433e-01	3.4961927682e-02	1.4887933433e-01	2.1715584030e+01	7.1211994469e+01	7.1211994469e+01	2.6085479558e-01	5.2729225159e+00	1.9671026468e+00	2.2042222023e+00	1.2591247559e+00	1	0	20	20	0	1.9167751887e+00	3.8505859375e+00	6.3505859375e+00	2	0	2.5914611816e+00	3.1299679540e-03	1.8888965133e-04
7	462_522	4.9200000000e+02	6.0000000000e+01	4.6200000000e+02	5.2200000000e+02	1	2	0	4.6325927734e+02	5.2369744873e+02	1.2592773438e+00	1.6974487305e+00	1.2592773438e+00	1.6974487305e+00	1.6974487305e+00	1.4945085515e+00	1.4783630371e+00	4.3817138672e-01	6.1018162385e-03	4.1235201061e-02	4.1585925967e-02	4.1585925967e-02	3.1230710455e+01	3.0141727971e+01	3.1230710455e+01	6.1176102981e-01	5.5343713760e+00	1.9430708885e+00	2.2614364624e+00	1	2	0	4.6367901611e+02	5.2243829346e+02	1.6790161133e+00	4.3829345703e-01	1.6790161133e+00	4.3829345703e-01	1.6790161133e+00	1.2270281706e+00	1.0586547852e+00	1.2407226562e+00	4.5261557440e-03	6.0790989548e-02	6.2496453524e-02	6.2496453524e-02	3.2882130051e+01	2.8950324733e+01	3.2882130051e+01	5.5388006568e-01	5.4223117828e+00	1.9521037340e+00	2.2562072277e+00	1.8432617188e-02	0	0	20	20	1	9.6512546765e-01	1.6790161133e+00	4.1790161133e+00	2	0	3.3762817383e+00	6.3839005306e-03	4.2299591005e-03
8	452_532	4.9200000000e+02	8.0000000000e+01	4.5200000000e+02	5.3200000000e+02	1	2	0	4.6158044434e+02	5.2789453125e+02	9.5804443359e+00	-4.1054687500e+00	9.5804443359e+00	4.1054687500e+00	9.5804443359e+00	7.3702030953e+00	2.7374877930e+00	1.3685913086e+01	1.2641180665e-02	3.3695720136e-02	5.2585635334e-02	5.2585635334e-02	3.2296467579e+01	3.6172011796e+01	3.6172011796e+01	6.8470564112e-01	5.6780195236e+00	1.8699235916e+00	2.3392698765e+00	1	2	0	4.4898916626e+02	5.2957336426e+02	-3.0108337402e+00	-2.4266357422e+00	3.0108337402e+00	2.4266357422e+00	3.0108337402e+00	2.7343811765e+00	2.7187347412e+00	5.8419799805e-01	1.2763153790e-02	4.3868772686e-02	8.2546815276e-02	8.2546815276e-02	2.9312353318e+01	3.6300705015e+01	3.6300705015e+01	7.2813458741e-01	5.4334058762e+00	1.8425091505e+00	2.3394699097e+00	6.5696105957e+00	11	0	20	20	1	1.3866495410e+00	3.0108337402e+00	5.5108337402e+00	2	0	2.5911254883e+00	1.5237702057e-02	4.8825917765e-03
9	442_542	4.9200000000e+02	1.0000000000e+02	4.4200000000e+02	5.4200000000e+02	1	2	0	4.4814974976e+02	5.3964642334e+02	6.1497497559e+00	-2.3535766602e+00	6.1497497559e+00	2.3535766602e+00	6.1497497559e+00	4.6561113150e+00	1.8980865479e+00	8.5033264160e+00	1.1762621227e-02	2.8262281790e-02	2.3505141959e-02	2.8262281790e-02	2.8618955312e+01	3.6304672415e+01	3.6304672415e+01	8.1002364121e-01	5.5842661858e+00	1.8020973206e+00	2.3900294304e+00	1	2	0	4.4731033325e+02	5.4174493408e+02	5.3103332520e+00	-2.5506591797e-01	5.3103332520e+00	2.5506591797e-01	5.3103332520e+00	3.7593016552e+00	2.5276336670e+00	5.5653991699e+00	1.7234055717e-02	2.4642996490e-01	2.5132486224e-01	2.5132486224e-01	1.6712185897e+01	2.0119248300e+01	2.0119248300e+01	5.7780936360e-01	3.6400322914e+00	1.7632070780e+00	2.3784837723e+00	8.3941650391e-01	10	0	20	20	1	1.2566243112e+00	5.3103332520e+00	7.8103332520e+00	2	0	2.7920837402e+00	2.8555169702e-02	9.3260183930e-03
10	432_552	4.9200000000e+02	1.2000000000e+02	4.3200000000e+02	5.5200000000e+02	1	2	0	4.3345993042e+02	5.5391650391e+02	1.4599304199e+00	1.9165039062e+00	1.4599304199e+00	1.9165039062e+00	1.9165039062e+00	1.7035821163e+00	1.6882171631e+00	4.5657348633e-01	2.2288449845e-02	3.3744126558e-02	2.7707941830e-02	3.3744126558e-02	3.1131000223e+01	4.4816950522e+01	4.4816950522e+01	7.7784720063e-01	5.7760834694e+00	1.7315762043e+00	2.4602439404e+00	1	3	1	4.3220080566e+02	5.5391650391e+02	2.0080566406e-01	1.9165039062e+00	2.0080566406e-01	1.9165039062e+00	1.9165039062e+00	1.3625913066e+00	1.0586547852e+00	1.7156982422e+00	1.5893735377e-02	1.8026807904e-01	1.7653600872e-01	1.8026807904e-01	1.5124318993e+01	2.6555067424e+01	2.6555067424e+01	6.4902785420e-01	3.9080245495e+00	1.7378587723e+00	2.4547951221e+00	0.0000000000e+00	17	0	20	20	1	1.2654027741e+00	1.9165039062e+00	4.4165039062e+00	2	0	3.1756591797e+00	3.0539585277e-02	1.0346701369e-02
