method	rank	valid_case_count	emax_nm	empirical_cumulative_probability
Direct_Tandem	1	30	1.6974487305e+00	3.3333333333e-02
Direct_Tandem	2	30	1.9165039062e+00	6.6666666667e-02
Direct_Tandem	3	30	2.0394897461e+00	1.0000000000e-01
Direct_Tandem	4	30	2.4521484375e+00	1.3333333333e-01
Direct_Tandem	5	30	2.6205139160e+00	1.6666666667e-01
Direct_Tandem	6	30	2.8580322266e+00	2.0000000000e-01
Direct_Tandem	7	30	3.5294189453e+00	2.3333333333e-01
Direct_Tandem	8	30	3.6162719727e+00	2.6666666667e-01
Direct_Tandem	9	30	3.8828125000e+00	3.0000000000e-01
Direct_Tandem	10	30	4.0394897461e+00	3.3333333333e-01
Direct_Tandem	11	30	4.3096313477e+00	3.6666666667e-01
Direct_Tandem	12	30	4.3177795410e+00	4.0000000000e-01
Direct_Tandem	13	30	4.5911254883e+00	4.3333333333e-01
Direct_Tandem	14	30	5.1097106934e+00	4.6666666667e-01
Direct_Tandem	15	30	5.3135375977e+00	5.0000000000e-01
Direct_Tandem	16	30	5.9920043945e+00	5.3333333333e-01
Direct_Tandem	17	30	6.1497497559e+00	5.6666666667e-01
Direct_Tandem	18	30	6.3096313477e+00	6.0000000000e-01
Direct_Tandem	19	30	6.4556884766e+00	6.3333333333e-01
Direct_Tandem	20	30	6.5251464844e+00	6.6666666667e-01
Direct_Tandem	21	30	7.4783630371e+00	7.0000000000e-01
Direct_Tandem	22	30	7.9306640625e+00	7.3333333333e-01
Direct_Tandem	23	30	8.1497497559e+00	7.6666666667e-01
Direct_Tandem	24	30	8.4046020508e+00	8.0000000000e-01
Direct_Tandem	25	30	8.6818237305e+00	8.3333333333e-01
Direct_Tandem	26	30	9.4783630371e+00	8.6666666667e-01
Direct_Tandem	27	30	9.5687255859e+00	9.0000000000e-01
Direct_Tandem	28	30	9.5804443359e+00	9.3333333333e-01
Direct_Tandem	29	30	9.9849243164e+00	9.6666666667e-01
Direct_Tandem	30	30	1.2200805664e+01	1.0000000000e+00
CVAE_assisted_Tandem	1	30	3.6065673828e-01	3.3333333333e-02
CVAE_assisted_Tandem	2	30	1.0700683594e+00	6.6666666667e-02
CVAE_assisted_Tandem	3	30	1.2266845703e+00	1.0000000000e-01
CVAE_assisted_Tandem	4	30	1.6790161133e+00	1.3333333333e-01
CVAE_assisted_Tandem	5	30	1.9165039062e+00	1.6666666667e-01
CVAE_assisted_Tandem	6	30	2.0115356445e+00	2.0000000000e-01
CVAE_assisted_Tandem	7	30	2.2702941895e+00	2.3333333333e-01
CVAE_assisted_Tandem	8	30	2.2887573242e+00	2.6666666667e-01
CVAE_assisted_Tandem	9	30	2.3571166992e+00	3.0000000000e-01
CVAE_assisted_Tandem	10	30	2.6205139160e+00	3.3333333333e-01
CVAE_assisted_Tandem	11	30	2.8580322266e+00	3.6666666667e-01
CVAE_assisted_Tandem	12	30	3.0108337402e+00	4.0000000000e-01
CVAE_assisted_Tandem	13	30	3.0504760742e+00	4.3333333333e-01
CVAE_assisted_Tandem	14	30	3.2777709961e+00	4.6666666667e-01
CVAE_assisted_Tandem	15	30	3.4968261719e+00	5.0000000000e-01
CVAE_assisted_Tandem	16	30	3.8470458984e+00	5.3333333333e-01
CVAE_assisted_Tandem	17	30	3.8505859375e+00	5.6666666667e-01
CVAE_assisted_Tandem	18	30	3.9849243164e+00	6.0000000000e-01
CVAE_assisted_Tandem	19	30	4.1019287109e+00	6.3333333333e-01
CVAE_assisted_Tandem	20	30	4.3177795410e+00	6.6666666667e-01
CVAE_assisted_Tandem	21	30	5.2114562988e+00	7.0000000000e-01
CVAE_assisted_Tandem	22	30	5.3103332520e+00	7.3333333333e-01
CVAE_assisted_Tandem	23	30	5.3135375977e+00	7.6666666667e-01
CVAE_assisted_Tandem	24	30	5.4305419922e+00	8.0000000000e-01
CVAE_assisted_Tandem	25	30	5.4631347656e+00	8.3333333333e-01
CVAE_assisted_Tandem	26	30	5.7995300293e+00	8.6666666667e-01
CVAE_assisted_Tandem	27	30	5.8898925781e+00	9.0000000000e-01
CVAE_assisted_Tandem	28	30	6.8314208984e+00	9.3333333333e-01
CVAE_assisted_Tandem	29	30	7.1246337891e+00	9.6666666667e-01
CVAE_assisted_Tandem	30	30	7.3103332520e+00	1.0000000000e+00
