midpoint_nm	separation_nm	target_low_nm	target_high_nm	direct_emax_nm	cvae_emax_nm
4.7000000000e+02	4.0000000000e+01	4.5000000000e+02	4.9000000000e+02	4.3177795410e+00	4.3177795410e+00
4.7000000000e+02	6.0000000000e+01	4.4000000000e+02	5.0000000000e+02	8.1497497559e+00	7.3103332520e+00
4.7000000000e+02	8.0000000000e+01	4.3000000000e+02	5.1000000000e+02	2.6205139160e+00	2.6205139160e+00
4.7000000000e+02	1.0000000000e+02	4.2000000000e+02	5.2000000000e+02	1.2200805664e+01	3.2777709961e+00
4.7000000000e+02	1.2000000000e+02	4.1000000000e+02	5.3000000000e+02	7.9306640625e+00	5.4631347656e+00
4.9200000000e+02	4.0000000000e+01	4.7200000000e+02	5.1200000000e+02	5.1097106934e+00	3.8505859375e+00
4.9200000000e+02	6.0000000000e+01	4.6200000000e+02	5.2200000000e+02	1.6974487305e+00	1.6790161133e+00
4.9200000000e+02	8.0000000000e+01	4.5200000000e+02	5.3200000000e+02	9.5804443359e+00	3.0108337402e+00
4.9200000000e+02	1.0000000000e+02	4.4200000000e+02	5.4200000000e+02	6.1497497559e+00	5.3103332520e+00
4.9200000000e+02	1.2000000000e+02	4.3200000000e+02	5.5200000000e+02	1.9165039062e+00	1.9165039062e+00
5.1400000000e+02	4.0000000000e+01	4.9400000000e+02	5.3400000000e+02	6.5251464844e+00	2.2887573242e+00
5.1400000000e+02	6.0000000000e+01	4.8400000000e+02	5.4400000000e+02	9.4783630371e+00	5.2114562988e+00
5.1400000000e+02	8.0000000000e+01	4.7400000000e+02	5.5400000000e+02	3.5294189453e+00	2.2702941895e+00
5.1400000000e+02	1.0000000000e+02	4.6400000000e+02	5.6400000000e+02	8.4046020508e+00	7.1246337891e+00
5.1400000000e+02	1.2000000000e+02	4.5400000000e+02	5.7400000000e+02	4.5911254883e+00	5.4305419922e+00
5.3600000000e+02	4.0000000000e+01	5.1600000000e+02	5.5600000000e+02	5.3135375977e+00	5.3135375977e+00
5.3600000000e+02	6.0000000000e+01	5.0600000000e+02	5.6600000000e+02	9.9849243164e+00	3.8470458984e+00
5.3600000000e+02	8.0000000000e+01	4.9600000000e+02	5.7600000000e+02	3.6162719727e+00	2.3571166992e+00
5.3600000000e+02	1.0000000000e+02	4.8600000000e+02	5.8600000000e+02	7.4783630371e+00	5.7995300293e+00
5.3600000000e+02	1.2000000000e+02	4.7600000000e+02	5.9600000000e+02	4.3096313477e+00	3.0504760742e+00
5.5800000000e+02	4.0000000000e+01	5.3800000000e+02	5.7800000000e+02	6.4556884766e+00	1.2266845703e+00
5.5800000000e+02	6.0000000000e+01	5.2800000000e+02	5.8800000000e+02	3.8828125000e+00	2.0115356445e+00
5.5800000000e+02	8.0000000000e+01	5.1800000000e+02	5.9800000000e+02	6.3096313477e+00	5.8898925781e+00
5.5800000000e+02	1.0000000000e+02	5.0800000000e+02	6.0800000000e+02	2.0394897461e+00	3.6065673828e-01
5.5800000000e+02	1.2000000000e+02	4.9800000000e+02	6.1800000000e+02	8.6818237305e+00	4.1019287109e+00
5.8000000000e+02	4.0000000000e+01	5.6000000000e+02	6.0000000000e+02	9.5687255859e+00	3.9849243164e+00
5.8000000000e+02	6.0000000000e+01	5.5000000000e+02	6.1000000000e+02	4.0394897461e+00	3.4968261719e+00
5.8000000000e+02	8.0000000000e+01	5.4000000000e+02	6.2000000000e+02	2.4521484375e+00	1.0700683594e+00
5.8000000000e+02	1.0000000000e+02	5.3000000000e+02	6.3000000000e+02	5.9920043945e+00	6.8314208984e+00
5.8000000000e+02	1.2000000000e+02	5.2000000000e+02	6.4000000000e+02	2.8580322266e+00	2.8580322266e+00
