z1	z2	z3	z4	z5	z6	z7	z8	z9	z10	z11	z12	z13	z14	z15	z16	z17	z18	z19	z20
1.9269152880e+00	1.4872840643e+00	9.0071719885e-01	-2.1055209637e+00	6.7841845751e-01	-1.2345448732e+00	-4.3067477643e-02	-1.6046669483e+00	-7.5213527679e-01	1.6487230062e+00	-3.9247864485e-01	-1.4036071301e+00	-7.2788131237e-01	-5.5943018198e-01	-7.6883888245e-01	7.6244539022e-01	1.6423169374e+00	-1.5959747136e-01	-4.9739754200e-01	4.3958926201e-01
-7.5813114643e-01	1.0783176422e+00	8.0080056190e-01	1.6806205511e+00	1.2791243792e+00	1.2964228392e+00	6.1046648026e-01	1.3347377777e+00	-2.3162432015e-01	4.1759490967e-02	-2.5157529116e-01	8.5985851288e-01	-1.3846737146e+00	-8.7123614550e-01	-2.2336591780e-01	1.7173614502e+00	3.1888031960e-01	-4.2451897264e-01	3.0572092533e-01	-7.7459251881e-01
-1.5575724840e+00	9.9563610554e-01	-8.7978583574e-01	-6.0114204884e-01	-1.2741512060e+00	2.1227850914e+00	-1.2346531153e+00	-4.8791387677e-01	-9.1382300854e-01	-6.5813726187e-01	7.8023873270e-02	5.2580875158e-01	-4.8799172044e-01	1.1913690567e+00	-8.1400763988e-01	-7.3599278927e-01	-1.4032478333e+00	3.6003667861e-02	-6.3477270305e-02	6.7561489344e-01
-9.7806893289e-02	1.8445940018e+00	-1.1845374107e+00	1.3835493326e+00	1.4451338053e+00	8.5641252995e-01	2.2180757523e+00	5.2316552401e-01	3.4664666653e-01	-1.9733144343e-01	-1.0545889139e+00	1.2779955864e+00	-1.7219012976e-01	5.2378845215e-01	5.6621819735e-02	4.2629614472e-01	5.7500505447e-01	-6.4172410965e-01	-2.2063984871e+00	-7.5080305338e-01
1.0868144222e-02	-3.3874234557e-01	-1.3406795263e+00	-5.8537054062e-01	5.3618812561e-01	5.2462261915e-01	1.1412016153e+00	5.1643595099e-02	7.4395197630e-01	-4.8158439994e-01	-1.0494661331e+00	6.0389882326e-01	-1.7222950459e+00	-8.2776886225e-01	1.3347029686e+00	4.8353928328e-01	-2.5095443726e+00	4.8800104856e-01	7.8458684683e-01	2.8647186235e-02
6.4075529575e-01	5.8324742317e-01	1.0669267178e+00	-4.5015338063e-01	-1.8526747823e-01	7.5275886059e-01	4.0475779772e-01	1.7846599221e-01	2.6490950584e-01	1.2731683254e+00	-1.3108636485e-03	-3.0360376835e-01	-1.4570291042e+00	-1.0233523697e-01	-5.9915304184e-01	4.7705641389e-01	7.2617721558e-01	9.1151863337e-02	-3.8906520605e-01	5.2791649103e-01
-1.2685478665e-02	2.4083632231e-01	1.3253536820e-01	7.6424062252e-01	1.0950096846e+00	3.3989095688e-01	7.1996748447e-01	4.1140761971e-01	1.9311605692e+00	1.0118638277e+00	-1.4364064932e+00	-1.1298598051e+00	-1.3603453338e-01	1.6354095936e+00	6.5474075079e-01	5.7600456476e-01	1.1415079832e+00	1.8564576283e-02	-1.8058050871e+00	9.2543488741e-01
-3.7534436584e-01	1.0330873728e+00	-6.8665093184e-01	6.3681364059e-01	-9.7267389297e-01	9.5845776796e-01	1.6192004681e+00	1.4506098032e+00	2.6948153973e-01	-2.1037597954e-01	-7.3280274868e-01	1.0429783165e-01	3.4875169396e-01	9.6759414673e-01	-4.6568843722e-01	1.6047972441e+00	-2.4801201820e+00	-4.1754373908e-01	-1.1954537630e+00	8.1233692169e-01
-1.9005532265e+00	2.2857652605e-01	2.4859404191e-02	-3.4595024586e-01	2.8683280945e-01	-7.3084241152e-01	1.7482025921e-01	-1.0939292908e+00	-1.6021603346e+00	1.3528969288e+00	1.2888276577e+00	5.2295472473e-02	-1.5468504429e+00	7.5670605898e-01	7.7551949024e-01	2.0265355110e+00	3.5817611963e-02	1.2058872730e-01	-8.0566370487e-01	-2.0757682621e-01
-9.3194782734e-01	-1.5909662247e+00	-1.1359757185e+00	-5.2259761095e-01	-5.1877331734e-01	-1.5012763739e+00	-1.9266542196e+00	1.2785123289e-01	1.0229133368e+00	-5.5579513311e-01	7.0427274704e-01	7.0987600088e-01	1.7743884325e+00	-9.2155098915e-01	9.6244990826e-01	-3.3701515198e-01	-1.1753336191e+00	3.5805708170e-01	4.7876790166e-01	1.3537000418e+00
5.2606207132e-01	2.1120378971e+00	-5.2075713873e-01	-9.3200612068e-01	1.8516133726e-01	1.0686918497e+00	1.3065344095e+00	4.5983451605e-01	-8.1462687254e-01	-1.0212392807e+00	-4.9492356181e-01	-5.9225165844e-01	1.5431594849e-01	4.4076707959e-01	-1.4829230309e-01	-2.3184432983e+00	-3.9799532294e-01	1.0804862976e+00	-1.7808643579e+00	1.5080454350e+00
3.0942854285e-01	-5.0030905008e-01	1.0350031853e+00	1.6896470785e+00	-4.5050517656e-03	1.6667923927e+00	1.5392017365e-01	-1.0602530241e+00	-5.7265758514e-01	8.3568036556e-02	3.9990535378e-01	1.9892071486e+00	-7.1987509727e-02	-9.0609449148e-01	-2.0487122536e+00	-1.0810555220e+00	1.7623079941e-02	7.8225985169e-02	1.9315829873e-01	4.0967342257e-01
-9.2913031578e-01	2.7619087696e-01	-5.3887528181e-01	4.6258231997e-01	-8.7188911438e-01	-2.7118360624e-02	-3.5324576497e-01	1.4638569355e+00	1.2554342747e+00	-7.1495580673e-01	8.5391932726e-01	5.1299118996e-01	5.3973102570e-01	5.6550502777e-01	5.0579172373e-01	2.2245365381e-01	-6.8548160791e-01	5.6355899572e-01	-1.5071750879e+00	-1.6106660366e+00
-1.4790465832e+00	4.3227428198e-01	-1.2502540648e-01	7.8211838007e-01	-1.5987676382e+00	-1.0912995040e-01	7.1519947052e-01	3.9139222354e-02	1.3058601618e+00	2.4659274518e-01	-1.9775909185e+00	1.7896043137e-02	-1.3793021441e+00	6.2580275536e-01	-2.5849502087e+00	-2.3999555036e-02	-1.2219287455e-01	-7.4699544907e-01	1.7093087435e+00	5.7922694832e-02
1.1929805279e+00	1.9372931719e+00	7.2871339321e-01	9.8089379072e-01	4.1459226608e-01	1.1565631628e+00	2.6905456185e-01	-3.6629438400e-02	9.7329390049e-01	-1.0150787830e+00	-5.4191756248e-01	-4.4102486968e-01	-3.1361779571e-01	-1.2925422192e-01	-7.1496242285e-01	-4.7562163323e-02	2.0207436085e+00	2.5391900539e-01	9.3643850088e-01	7.1223634481e-01
-3.1765542924e-02	1.0164086521e-01	1.3433040380e+00	7.1326959133e-01	4.0380296111e-01	-7.1397835016e-01	8.3372914791e-01	-9.5854520798e-01	4.5363426208e-01	1.2460919619e+00	-2.3065085411e+00	-1.2868918180e+00	1.7988650501e-01	-2.1267626286e+00	-1.3408313692e-01	-1.0407685041e+00	-7.6472288370e-01	-5.5282544345e-02	1.2048506737e+00	-9.8247361183e-01
4.3343800306e-01	-7.1719056368e-01	1.0553692579e+00	-1.4533969164e+00	4.6515071392e-01	3.7139150500e-01	-4.6567856334e-03	7.9549439251e-02	3.7817847729e-01	7.0511412621e-01	-1.7236974239e+00	-8.4348106384e-01	4.3514356017e-01	2.6588720083e-01	-5.8709853888e-01	8.2688845694e-02	8.8538080454e-01	1.8244399130e-01	7.8638100624e-01	-5.7920295745e-02
5.6666529179e-01	-7.0976233482e-01	-4.8750543594e-01	5.0095997751e-02	6.0840845108e-01	1.6308681965e+00	-8.4723062813e-02	1.0844124556e+00	9.4776564837e-01	-6.7662936449e-01	-5.7301682234e-01	-3.3031743765e-01	-7.9394304752e-01	3.7523198128e-01	8.7909691036e-02	-1.2414834499e+00	-3.2025346160e-01	-8.4437787533e-01	-5.5134654045e-01	1.9889612198e+00
1.9003118277e+00	1.6950805187e+00	2.8089528903e-02	-1.7536965013e-01	-1.7734959126e+00	-7.0464140177e-01	-3.9465200901e-01	1.8868111372e+00	-2.1844321489e-01	1.6629981995e-01	2.1441681385e+00	1.7045671940e+00	3.4590125084e-01	6.4247512817e-01	-2.0395424962e-01	6.8536734581e-01	-1.3968797028e-01	-1.1807502508e+00	-1.2829295397e+00	4.4848579168e-01
-5.9073752165e-01	8.5406315327e-01	-4.9006801844e-01	-3.5945725441e-01	6.6637378931e-01	-7.4264563620e-02	-2.0960482955e-01	1.6632132232e-01	1.4703037739e+00	-9.3908667564e-01	-6.0131895542e-01	-9.9640227854e-02	-9.8515182734e-01	-2.4884593487e+00	-3.3131900430e-01	8.4357994795e-01	9.8744738102e-01	-3.3197471499e-01	-8.0761897564e-01	8.2436418533e-01
