Epoch 0 | Train Loss: 83.141541 | Val Loss: 75.532585
Epoch 1 | Train Loss: 59.938956 | Val Loss: 59.281967
Epoch 2 | Train Loss: 53.072372 | Val Loss: 49.710594
Epoch 3 | Train Loss: 46.171518 | Val Loss: 44.509583
Epoch 4 | Train Loss: 42.994671 | Val Loss: 39.905090
Epoch 5 | Train Loss: 40.927614 | Val Loss: 39.126724
Epoch 6 | Train Loss: 39.308176 | Val Loss: 37.668373
Epoch 7 | Train Loss: 37.450371 | Val Loss: 35.629368
Epoch 8 | Train Loss: 35.528852 | Val Loss: 33.489292
Epoch 9 | Train Loss: 34.429236 | Val Loss: 32.886841
Epoch 10 | Train Loss: 33.116235 | Val Loss: 31.159544
Epoch 11 | Train Loss: 32.345732 | Val Loss: 29.962425
Epoch 12 | Train Loss: 31.546659 | Val Loss: 30.797827
Epoch 13 | Train Loss: 30.323943 | Val Loss: 28.302235
Epoch 14 | Train Loss: 29.824420 | Val Loss: 27.371872
Epoch 15 | Train Loss: 29.139827 | Val Loss: 28.458290
Epoch 16 | Train Loss: 28.767466 | Val Loss: 26.808826
Epoch 17 | Train Loss: 28.511277 | Val Loss: 26.721930
Epoch 18 | Train Loss: 27.774352 | Val Loss: 25.230602
Epoch 19 | Train Loss: 27.628938 | Val Loss: 25.503727
Epoch 20 | Train Loss: 26.903353 | Val Loss: 25.587078
Epoch 21 | Train Loss: 26.921931 | Val Loss: 26.509169
Epoch 22 | Train Loss: 26.489391 | Val Loss: 24.970989
Epoch 23 | Train Loss: 26.525393 | Val Loss: 25.326889
Epoch 24 | Train Loss: 26.140313 | Val Loss: 25.982494
Epoch 25 | Train Loss: 26.104256 | Val Loss: 24.330173
Epoch 26 | Train Loss: 25.406180 | Val Loss: 23.497501
Epoch 27 | Train Loss: 25.275030 | Val Loss: 25.254633
Epoch 28 | Train Loss: 25.398837 | Val Loss: 23.392262
Epoch 29 | Train Loss: 25.208616 | Val Loss: 24.473511
Epoch 30 | Train Loss: 24.854872 | Val Loss: 24.799046
Epoch 31 | Train Loss: 24.950916 | Val Loss: 22.958847
Epoch 32 | Train Loss: 24.612490 | Val Loss: 22.997253
Epoch 33 | Train Loss: 24.454429 | Val Loss: 23.151432
Epoch 34 | Train Loss: 24.803370 | Val Loss: 23.686169
