Epoch 0 | Train Loss: 0.035595 | Val Loss: 0.034872
Epoch 1 | Train Loss: 0.033168 | Val Loss: 0.029511
Epoch 2 | Train Loss: 0.030957 | Val Loss: 0.026399
Epoch 3 | Train Loss: 0.028711 | Val Loss: 0.026477
Epoch 4 | Train Loss: 0.025395 | Val Loss: 0.022460
Epoch 5 | Train Loss: 0.022104 | Val Loss: 0.021470
Epoch 6 | Train Loss: 0.019845 | Val Loss: 0.021011
Epoch 7 | Train Loss: 0.019591 | Val Loss: 0.017803
Epoch 8 | Train Loss: 0.019071 | Val Loss: 0.017414
Epoch 9 | Train Loss: 0.017814 | Val Loss: 0.017296
Epoch 10 | Train Loss: 0.017160 | Val Loss: 0.014393
Epoch 11 | Train Loss: 0.016141 | Val Loss: 0.016471
Epoch 12 | Train Loss: 0.015704 | Val Loss: 0.018074
Epoch 13 | Train Loss: 0.016285 | Val Loss: 0.014287
Epoch 14 | Train Loss: 0.014802 | Val Loss: 0.012257
Epoch 15 | Train Loss: 0.011968 | Val Loss: 0.012787
Epoch 16 | Train Loss: 0.014215 | Val Loss: 0.011766
Epoch 17 | Train Loss: 0.015410 | Val Loss: 0.014037
Epoch 18 | Train Loss: 0.014361 | Val Loss: 0.015013
Epoch 19 | Train Loss: 0.011697 | Val Loss: 0.009577
Epoch 20 | Train Loss: 0.009711 | Val Loss: 0.008515
Epoch 21 | Train Loss: 0.008101 | Val Loss: 0.008065
Epoch 22 | Train Loss: 0.009894 | Val Loss: 0.008655
Epoch 23 | Train Loss: 0.007836 | Val Loss: 0.006301
Epoch 24 | Train Loss: 0.009800 | Val Loss: 0.008259
Epoch 25 | Train Loss: 0.009364 | Val Loss: 0.010818
Epoch 26 | Train Loss: 0.009932 | Val Loss: 0.008057
Epoch 27 | Train Loss: 0.008833 | Val Loss: 0.008751
Epoch 28 | Train Loss: 0.008376 | Val Loss: 0.013515
Epoch 29 | Train Loss: 0.010628 | Val Loss: 0.009295
Epoch 30 | Train Loss: 0.012178 | Val Loss: 0.009317
Epoch 31 | Train Loss: 0.010492 | Val Loss: 0.008078
Epoch 32 | Train Loss: 0.007077 | Val Loss: 0.006454
Epoch 33 | Train Loss: 0.006593 | Val Loss: 0.005724
Epoch 34 | Train Loss: 0.006502 | Val Loss: 0.007216
Epoch 35 | Train Loss: 0.007735 | Val Loss: 0.006396
Epoch 36 | Train Loss: 0.006501 | Val Loss: 0.005705
Epoch 37 | Train Loss: 0.006382 | Val Loss: 0.005392
Epoch 38 | Train Loss: 0.006051 | Val Loss: 0.005200
Epoch 39 | Train Loss: 0.005759 | Val Loss: 0.004812
Epoch 40 | Train Loss: 0.005344 | Val Loss: 0.004975
Epoch 41 | Train Loss: 0.006752 | Val Loss: 0.007556
Epoch 42 | Train Loss: 0.007852 | Val Loss: 0.010439
Epoch 43 | Train Loss: 0.007793 | Val Loss: 0.006735
Epoch 44 | Train Loss: 0.006243 | Val Loss: 0.004784
Epoch 45 | Train Loss: 0.006785 | Val Loss: 0.009149
Epoch 46 | Train Loss: 0.010227 | Val Loss: 0.016852
Epoch 47 | Train Loss: 0.011015 | Val Loss: 0.007111
Epoch 48 | Train Loss: 0.006950 | Val Loss: 0.007837
Epoch 49 | Train Loss: 0.008151 | Val Loss: 0.008273
Epoch 50 | Train Loss: 0.010227 | Val Loss: 0.007866
Epoch 51 | Train Loss: 0.008511 | Val Loss: 0.007476
Epoch 52 | Train Loss: 0.008980 | Val Loss: 0.006281
Epoch 53 | Train Loss: 0.006894 | Val Loss: 0.006643
Epoch 54 | Train Loss: 0.007455 | Val Loss: 0.009384
Epoch 55 | Train Loss: 0.010294 | Val Loss: 0.006320
Epoch 56 | Train Loss: 0.007817 | Val Loss: 0.013270
Epoch 57 | Train Loss: 0.010512 | Val Loss: 0.006845
Epoch 58 | Train Loss: 0.008889 | Val Loss: 0.013461
Epoch 59 | Train Loss: 0.008910 | Val Loss: 0.005522
Epoch 60 | Train Loss: 0.007073 | Val Loss: 0.007302
Epoch 61 | Train Loss: 0.006535 | Val Loss: 0.005302
Epoch 62 | Train Loss: 0.006622 | Val Loss: 0.005852
Epoch 63 | Train Loss: 0.006528 | Val Loss: 0.005203
Epoch 64 | Train Loss: 0.008725 | Val Loss: 0.007060
Epoch 65 | Train Loss: 0.005959 | Val Loss: 0.005757
Epoch 66 | Train Loss: 0.005850 | Val Loss: 0.004730
Epoch 67 | Train Loss: 0.007376 | Val Loss: 0.004557
Epoch 68 | Train Loss: 0.004972 | Val Loss: 0.004446
Epoch 69 | Train Loss: 0.004169 | Val Loss: 0.003652
Epoch 70 | Train Loss: 0.004099 | Val Loss: 0.003517
Epoch 71 | Train Loss: 0.007852 | Val Loss: 0.006997
Epoch 72 | Train Loss: 0.005697 | Val Loss: 0.005101
Epoch 73 | Train Loss: 0.004412 | Val Loss: 0.004002
Epoch 74 | Train Loss: 0.006121 | Val Loss: 0.006898
Epoch 75 | Train Loss: 0.006447 | Val Loss: 0.005529
